소재지(시군구)별,문화시설별,항목,단위,2020 년
전국,계,시설수,개,1055
전국,계,면적,㎡,24506055
전국,공연장,시설수,개,5
전국,공연장,면적,㎡,631262
전국,박물관,시설수,개,
전국,박물관,면적,㎡,
전국,미술관,시설수,개,23
전국,미술관,면적,㎡,371260
전국,과학관,시설수,개,55
전국,과학관,면적,㎡,3158088
전국,문화산업단지,시설수,개,18
전국,문화산업단지,면적,㎡,282080
전국,문화산업진흥시설,시설수,개,6
전국,문화산업진흥시설,면적,㎡,196829
전국,지방문화원,시설수,개,14
전국,지방문화원,면적,㎡,139446
전국,문화예술진흥시설,시설수,개,687
전국,문화예술진흥시설,면적,㎡,18560542
전국,전시시설,시설수,개,2
전국,전시시설,면적,㎡,4047
전국,국제회의시설,시설수,개,
전국,국제회의시설,면적,㎡,
전국,공공도서관,시설수,개,245
전국,공공도서관,면적,㎡,1162501
전국,전문도서관,시설수,개,
전국,전문도서관,면적,㎡,
서울특별시,계,시설수,개,120
서울특별시,계,면적,㎡,850497
서울특별시,공연장,시설수,개,
서울특별시,공연장,면적,㎡,
서울특별시,박물관,시설수,개,
서울특별시,박물관,면적,㎡,
서울특별시,미술관,시설수,개,2
서울특별시,미술관,면적,㎡,70633
서울특별시,과학관,시설수,개,
서울특별시,과학관,면적,㎡,
서울특별시,문화산업단지,시설수,개,1
서울특별시,문화산업단지,면적,㎡,4065
서울특별시,문화산업진흥시설,시설수,개,2
서울특별시,문화산업진흥시설,면적,㎡,88150
서울특별시,지방문화원,시설수,개,
서울특별시,지방문화원,면적,㎡,
서울특별시,문화예술진흥시설,시설수,개,76
서울특별시,문화예술진흥시설,면적,㎡,589204
서울특별시,전시시설,시설수,개,
서울특별시,전시시설,면적,㎡,
서울특별시,국제회의시설,시설수,개,
서울특별시,국제회의시설,면적,㎡,
서울특별시,공공도서관,시설수,개,39
서울특별시,공공도서관,면적,㎡,98445
서울특별시,전문도서관,시설수,개,
서울특별시,전문도서관,면적,㎡,
종로구,계,시설수,개,19
종로구,계,면적,㎡,48295
종로구,공연장,시설수,개,
종로구,공연장,면적,㎡,
종로구,박물관,시설수,개,
종로구,박물관,면적,㎡,
종로구,미술관,시설수,개,
종로구,미술관,면적,㎡,
종로구,과학관,시설수,개,
종로구,과학관,면적,㎡,
종로구,문화산업단지,시설수,개,
종로구,문화산업단지,면적,㎡,
종로구,문화산업진흥시설,시설수,개,
종로구,문화산업진흥시설,면적,㎡,
종로구,지방문화원,시설수,개,
종로구,지방문화원,면적,㎡,
종로구,문화예술진흥시설,시설수,개,17
종로구,문화예술진흥시설,면적,㎡,45633
종로구,전시시설,시설수,개,
종로구,전시시설,면적,㎡,
종로구,국제회의시설,시설수,개,
종로구,국제회의시설,면적,㎡,
종로구,공공도서관,시설수,개,2
종로구,공공도서관,면적,㎡,2662
종로구,전문도서관,시설수,개,
종로구,전문도서관,면적,㎡,
중구,계,시설수,개,3
중구,계,면적,㎡,139664
중구,공연장,시설수,개,
중구,공연장,면적,㎡,
중구,박물관,시설수,개,
중구,박물관,면적,㎡,
중구,미술관,시설수,개,2
중구,미술관,면적,㎡,70633
중구,과학관,시설수,개,
중구,과학관,면적,㎡,
중구,문화산업단지,시설수,개,
중구,문화산업단지,면적,㎡,
