"[11101HJG]행정구역(시군구)별","행정구역(시군구)별","[15110AA0]거주외국인별","거주외국인별","[C01]성별","성별","[Item]항목","항목","단위","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년",
"11101HJG00","합계","15110AA0AA","총인구","C001","계","16110AAA0","외국인","명","51069375","51269554","51422507","51629512","51779203","51829136",
"11101HJG00","합계","15110AA000","합계","C001","계","16110AAA0","외국인","명","1711013","1764664","1861084","2054621","2216612","2146748",
"11101HJG00","합계","15110AA0AD","한국국적을 가지지 않은 자","C001","계","16110AAA0","외국인","명","1363712","1413758","1479247","1651561","1778918","1695643",
"11101HJG00","합계","15110AA0ADAA","외국인근로자","C001","계","16110AAA0","외국인","","573378","541673","495792","528063","515051","455287",
"11101HJG00","합계","15110AA0ADAK","결혼이민자","C001","계","16110AAA0","외국인","","144912","159501","160653","166882","173882","173756",
"11101HJG00","합계","15110AA0ADAC","유학생","C001","계","16110AAA0","외국인","","82181","95963","117127","142757","160610","142569",
"11101HJG00","합계","15110AA0ADAL","외국국적동포","C001","계","16110AAA0","외국인","","216213","235926","276750","296023","303245","345110",
"11101HJG00","합계","15110AA0ADAD","기타외국인","C001","계","16110AAA0","외국인","","347028","380695","428925","517836","626130","578921",
"11101HJG00","합계","15110AA0AF","한국국적을 취득한 자","C001","계","16110AAA0","외국인","명","149751","159447","169535","176915","185728","199128",
"11101HJG00","합계","15110AA0AFAA","혼인귀화자","C001","계","16110AAA0","외국인","","93249","","","","","",
"11101HJG00","합계","15110AA0AFAB","기타사유","C001","계","16110AAA0","외국인","","56502","","","","","",
"11101HJG00","합계","15110AA0AM","외국인주민자녀(출생)","C001","계","16110AAA0","외국인","명","197550","191459","212302","226145","251966","251977",
"11101HJG00","합계","15110AA0AMA3","외국인 부모","C001","계","16110AAA0","외국인","","6001","","","","","",
"11101HJG00","합계","15110AA0AMA4","외국인-한국인부모","C001","계","16110AAA0","외국인","","183181","","","","","",
"11101HJG00","합계","15110AA0AMA5","한국인 부모","C001","계","16110AAA0","외국인","","8368","","","","","",
"11101HJG00","합계","15110AA0AN","외국인주민세대수","C001","계","16110AAA0","외국인","세대","299241","","","","","",
"11101HJG11","서울특별시","15110AA0AA","총인구","C001","계","16110AAA0","외국인","명","9904312","9805506","9741871","9673936","9639541","9586195",
"11101HJG11","서울특별시","15110AA000","합계","C001","계","16110AAA0","외국인","명","408083","404037","413943","446473","465885","443262",
"11101HJG11","서울특별시","15110AA0AD","한국국적을 가지지 않은 자","C001","계","16110AAA0","외국인","명","337116","335167","343927","374425","390177","366454",
"11101HJG11","서울특별시","15110AA0ADAA","외국인근로자","C001","계","16110AAA0","외국인","","102081","85878","70077","80567","75322","63526",
"11101HJG11","서울특별시","15110AA0ADAK","결혼이민자","C001","계","16110AAA0","외국인","","27573","33139","32061","32677","33281","31661",
"11101HJG11","서울특별시","15110AA0ADAC","유학생","C001","계","16110AAA0","외국인","","31129","37178","44150","50488","54647","46925",
"11101HJG11","서울특별시","15110AA0ADAL","외국국적동포","C001","계","16110AAA0","외국인","","80707","80712","92060","93067","91166","102828",
"11101HJG11","서울특별시","15110AA0ADAD","기타외국인","C001","계","16110AAA0","외국인","","95626","98260","105579","117626","135761","121514",
"11101HJG11","서울특별시","15110AA0AF","한국국적을 취득한 자","C001","계","16110AAA0","외국인","명","40520","40775","41692","42040","42208","43769",
"11101HJG11","서울특별시","15110AA0AFAA","혼인귀화자","C001","계","16110AAA0","외국인","","20439","","","","","",
"11101HJG11","서울특별시","15110AA0AFAB","기타사유","C001","계","16110AAA0","외국인","","20081","","","","","",
"11101HJG11","서울특별시","15110AA0AM","외국인주민자녀(출생)","C001","계","16110AAA0","외국인","명","30447","28095","28324","30008","33500","33039",
"11101HJG11","서울특별시","15110AA0AMA3","외국인 부모","C001","계","16110AAA0","외국인","","1963","","","","","",
"11101HJG11","서울특별시","15110AA0AMA4","외국인-한국인부모","C001","계","16110AAA0","외국인","","27068","","","","","",
"11101HJG11","서울특별시","15110AA0AMA5","한국인 부모","C001","계","16110AAA0","외국인","","1416","","","","","",
"11101HJG11","서울특별시","15110AA0AN","외국인주민세대수","C001","계","16110AAA0","외국인","세대","64013","","","","","",
"11101HJG11010","종로구","15110AA0AA","총인구","C001","계","16110AAA0","외국인","명","161521","154398","157277","157967","154969","151291",
"11101HJG11010","종로구","15110AA000","합계","C001","계","16110AAA0","외국인","명","16440","11325","11908","13012","14195","12610",
"11101HJG11010","종로구","15110AA0AD","한국국적을 가지지 않은 자","C001","계","16110AAA0","외국인","명","15402","10349","10979","12056","13159","11573",
"11101HJG11010","종로구","15110AA0ADAA","외국인근로자","C001","계","16110AAA0","외국인","","4577","1867","1479","1545","1302","1157",
"11101HJG11010","종로구","15110AA0ADAK","결혼이민자","C001","계","16110AAA0","외국인","","772","584","600","616","613","628",
"11101HJG11010","종로구","15110AA0ADAC","유학생","C001","계","16110AAA0","외국인","","2727","2870","3584","4293","5037","4232",
"11101HJG11010","종로구","15110AA0ADAL","외국국적동포","C001","계","16110AAA0","외국인","","1871","1662","1740","1636","1649","1798",
"11101HJG11010","종로구","15110AA0ADAD","기타외국인","C001","계","16110AAA0","외국인","","5455","3366","3576","3966","4558","3758",
"11101HJG11010","종로구","15110AA0AF","한국국적을 취득한 자","C001","계","16110AAA0","외국인","명","572","552","536","514","518","532",
"11101HJG11010","종로구","15110AA0AFAA","혼인귀화자","C001","계","16110AAA0","외국인","","286","","","","","",
"11101HJG11010","종로구","15110AA0AFAB","기타사유","C001","계","16110AAA0","외국인","","286","","","","","",
"11101HJG11010","종로구","15110AA0AM","외국인주민자녀(출생)","C001","계","16110AAA0","외국인","명","466","424","393","442","518","505",
"11101HJG11010","종로구","15110AA0AMA3","외국인 부모","C001","계","16110AAA0","외국인","","21","","","","","",
"11101HJG11010","종로구","15110AA0AMA4","외국인-한국인부모","C001","계","16110AAA0","외국인","","414","","","","","",
"11101HJG11010","종로구","15110AA0AMA5","한국인 부모","C001","계","16110AAA0","외국인","","31","","","","","",
"11101HJG11010","종로구","15110AA0AN","외국인주민세대수","C001","계","16110AAA0","외국인","세대","1331","","","","","",
"11101HJG11020","중구","15110AA0AA","총인구","C001","계","16110AAA0","외국인","명","128478","128160","127896","129797","130957","128744",
"11101HJG11020","중구","15110AA000","합계","C001","계","16110AAA0","외국인","명","11622","11312","11382","13141","13796","12733",
"11101HJG11020","중구","15110AA0AD","한국국적을 가지지 않은 자","C001","계","16110AAA0","외국인","명","10457","10200","10265","11988","12559","11492",
"11101HJG11020","중구","15110AA0ADAA","외국인근로자","C001","계","16110AAA0","외국인","","2736","2215","1781","1933","1771","1501",
"11101HJG11020","중구","15110AA0ADAK","결혼이민자","C001","계","16110AAA0","외국인","","533","612","638","662","663","649",
"11101HJG11020","중구","15110AA0ADAC","유학생","C001","계","16110AAA0","외국인","","1262","1650","1909","2503","2628","2395",
"11101HJG11020","중구","15110AA0ADAL","외국국적동포","C001","계","16110AAA0","외국인","","2176","2155","2321","2422","2383","2486",
"11101HJG11020","중구","15110AA0ADAD","기타외국인","C001","계","16110AAA0","외국인","","3750","3568","3616","4468","5114","4461",
"11101HJG11020","중구","15110AA0AF","한국국적을 취득한 자","C001","계","16110AAA0","외국인","명","626","612","640","633","658","682",
"11101HJG11020","중구","15110AA0AFAA","혼인귀화자","C001","계","16110AAA0","외국인","","310","","","","","",
"11101HJG11020","중구","15110AA0AFAB","기타사유","C001","계","16110AAA0","외국인","","316","","","","","",
"11101HJG11020","중구","15110AA0AM","외국인주민자녀(출생)","C001","계","16110AAA0","외국인","명","539","500","477","520","579","559",
"11101HJG11020","중구","15110AA0AMA3","외국인 부모","C001","계","16110AAA0","외국인","","24","","","","","",
