"[A]행정구역(시군구)별","행정구역(시군구)별","[Item]항목","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"00","전국","T10","총전입","명","8127195","7506691","7411784","7629098","7755286","7378430","7154226","7297099","7104398","7735491","7213422",
"00","전국","T20","총전출","명","8127195","7506691","7411784","7629098","7755286","7378430","7154226","7297099","7104398","7735491","7213422",
"00","전국","T25","순이동","명","0","0","0","0","0","0","0","0","0","0","0",
"00","전국","T30","시도내이동-시군구내","명","3143729","2827998","2864028","2957867","3014020","2840295","2701400","2776681","2659826","2926406","2649108",
"00","전국","T31","시도내이동-시군구간 전입","명","2378953","2165953","2124327","2163435","2189842","2084793","2041896","2091234","2059624","2274971","2117080",
"00","전국","T32","시도내이동-시군구간 전출","명","2378953","2165953","2124327","2163435","2189842","2084793","2041896","2091234","2059624","2274971","2117080",
"00","전국","T40","시도간전입","명","2604513","2512740","2423429","2507796","2551424","2453342","2410930","2429184","2384948","2534114","2447234",
"00","전국","T50","시도간전출","명","2604513","2512740","2423429","2507796","2551424","2453342","2410930","2429184","2384948","2534114","2447234",
"11","서울특별시","T10","총전입","명","1721748","1555281","1520090","1573594","1589431","1515602","1472937","1439707","1426493","1578127","1418187",
"11","서울특별시","T20","총전출","명","1834806","1658928","1620640","1661425","1726687","1655859","1571423","1549937","1476081","1642977","1524430",
"11","서울특별시","T25","순이동","명","-113058","-103647","-100550","-87831","-137256","-140257","-98486","-110230","-49588","-64850","-106243",
"11","서울특별시","T30","시도내이동-시군구내","명","543807","473458","468394","495401","524267","487722","454536","430780","406796","444682","387416",
"11","서울특별시","T31","시도내이동-시군구간 전입","명","671315","595842","584614","602622","605262","574193","564271","548796","543831","623431","569648",
"11","서울특별시","T32","시도내이동-시군구간 전출","명","671315","595842","584614","602622","605262","574193","564271","548796","543831","623431","569648",
"11","서울특별시","T40","시도간전입","명","506626","485981","467082","475571","459902","453687","454130","460131","475866","510014","461123",
"11","서울특별시","T50","시도간전출","명","619684","589628","567632","563402","597158","593944","552616","570361","525454","574864","567366",
"11110","종로구","T10","총전입","명","28329","26001","24676","24191","24951","23604","28020","23187","22271","23632","22204",
"11110","종로구","T20","총전출","명","30663","29398","30007","27484","27470","26386","25814","24798","23945","25254","24428",
"11110","종로구","T25","순이동","명","-2334","-3397","-5331","-3293","-2519","-2782","2206","-1611","-1674","-1622","-2224",
"11110","종로구","T30","시도내이동-시군구내","명","5551","4935","4921","4507","4617","4145","4512","3807","3443","3355","3223",
"11110","종로구","T31","시도내이동-시군구간 전입","명","14089","12530","11803","11243","11846","11135","14610","11098","10560","11704","11004",
"11110","종로구","T32","시도내이동-시군구간 전출","명","16214","15681","16405","14657","14426","13913","13178","12793","12982","13881","13008",
"11110","종로구","T40","시도간전입","명","8689","8536","7952","8441","8488","8324","8898","8282","8268","8573","7977",
"11110","종로구","T50","시도간전출","명","8898","8782","8681","8320","8427","8328","8124","8198","7520","8018","8197",
"11140","중구","T10","총전입","명","23613","24872","19191","20105","20078","20595","20904","20771","19623","20777","19917",
"11140","중구","T20","총전출","명","23618","25198","22508","22972","22950","21655","20574","20873","19384","21733","21126",
"11140","중구","T25","순이동","명","-5","-326","-3317","-2867","-2872","-1060","330","-102","239","-956","-1209",
"11140","중구","T30","시도내이동-시군구내","명","4383","4832","3608","3967","4070","3844","3338","3424","3191","3290","3015",
"11140","중구","T31","시도내이동-시군구간 전입","명","12710","13064","9623","10018","10073","10582","11189","10733","9912","10760","10378",
"11140","중구","T32","시도내이동-시군구간 전출","명","12349","13252","12152","12323","12126","11618","11319","11100","10464","11997","11274",
"11140","중구","T40","시도간전입","명","6520","6976","5960","6120","5935","6169","6377","6614","6520","6727","6524",
"11140","중구","T50","시도간전출","명","6886","7114","6748","6682","6754","6193","5917","6349","5729","6446","6837",
"11170","용산구","T10","총전입","명","45054","36702","34935","35618","37064","34124","35154","37339","35099","40282","36011",
"11170","용산구","T20","총전출","명","44509","41248","39623","40635","41361","38615","36622","37801","35673","38985","39572",
"11170","용산구","T25","순이동","명","545","-4546","-4688","-5017","-4297","-4491","-1468","-462","-574","1297","-3561",
"11170","용산구","T30","시도내이동-시군구내","명","10048","8504","8140","8454","9049","7881","7302","7853","6998","7599","7113",
"11170","용산구","T31","시도내이동-시군구간 전입","명","20960","16106","15304","15452","16549","14917","16054","16999","15746","19374","16799",
"11170","용산구","T32","시도내이동-시군구간 전출","명","19444","18001","17614","18266","18532","17371","16866","16873","16435","18523","18922",
"11170","용산구","T40","시도간전입","명","14046","12092","11491","11712","11466","11326","11798","12487","12355","13309","12099",
"11170","용산구","T50","시도간전출","명","15017","14743","13869","13915","13780","13363","12454","13075","12240","12863","13537",
"11200","성동구","T10","총전입","명","46631","48010","45399","46521","48105","47629","50416","51358","39922","45153","39831",
"11200","성동구","T20","총전출","명","56542","50610","47356","51349","49091","46986","46031","49012","48102","53096","46075",
"11200","성동구","T25","순이동","명","-9911","-2600","-1957","-4828","-986","643","4385","2346","-8180","-7943","-6244",
"11200","성동구","T30","시도내이동-시군구내","명","13129","12882","11302","12336","12008","11320","11151","12243","8737","10312","7867",
"11200","성동구","T31","시도내이동-시군구간 전입","명","20378","21433","21032","21559","23324","23322","25046","24275","17927","20969","19106",
"11200","성동구","T32","시도내이동-시군구간 전출","명","26901","22444","21460","23717","21935","20542","20756","22031","24606","26826","22939",
"11200","성동구","T40","시도간전입","명","13124","13695","13065","12626","12773","12987","14219","14840","13258","13872","12858",
"11200","성동구","T50","시도간전출","명","16512","15284","14594","15296","15148","15124","14124","14738","14759","15958","15269",
"11215","광진구","T10","총전입","명","62574","58688","56235","56778","58871","55362","56010","55728","52191","55926","51522",
"11215","광진구","T20","총전출","명","68014","61194","60597","64189","63920","60446","56647","58774","57088","60703","56750",
"11215","광진구","T25","순이동","명","-5440","-2506","-4362","-7411","-5049","-5084","-637","-3046","-4897","-4777","-5228",
"11215","광진구","T30","시도내이동-시군구내","명","18762","17181","16772","18540","18401","16943","16364","17036","14861","15474","13736",
"11215","광진구","T31","시도내이동-시군구간 전입","명","24587","22632","21261","20616","22949","21257","22011","21274","19378","21585","20048",
"11215","광진구","T32","시도내이동-시군구간 전출","명","26394","22889","23081","24713","23570","21770","20936","21447","22499","24944","22708",
"11215","광진구","T40","시도간전입","명","19225","18875","18202","17622","17521","17162","17635","17418","17952","18867","17738",
"11215","광진구","T50","시도간전출","명","22858","21124","20744","20936","21949","21733","19347","20291","19728","20285","20306",
"11230","동대문구","T10","총전입","명","57586","51643","56066","57915","55990","49591","47899","54899","51660","54908","48955",
"11230","동대문구","T20","총전출","명","60047","54915","56084","59658","60917","55622","52733","57605","53660","58135","51031",
"11230","동대문구","T25","순이동","명","-2461","-3272","-18","-1743","-4927","-6031","-4834","-2706","-2000","-3227","-2076",
"11230","동대문구","T30","시도내이동-시군구내","명","16392","13798","16464","18216","17367","14207","13489","15918","14093","14233","10881",
"11230","동대문구","T31","시도내이동-시군구간 전입","명","24043","20956","22709","23219","22257","19652","18879","21820","20655","22290","20389",
"11230","동대문구","T32","시도내이동-시군구간 전출","명","24460","22422","21505","22990","23826","22181","21618","22741","22474","24953","21435",
"11230","동대문구","T40","시도간전입","명","17151","16889","16893","16480","16366","15732","15531","17161","16912","18385","17685",
"11230","동대문구","T50","시도간전출","명","19195","18695","18115","18452","19724","19234","17626","18946","17093","18949","18715",
"11260","중랑구","T10","총전입","명","65150","60157","61677","69157","64638","60566","56385","54168","49446","60214","52867",
"11260","중랑구","T20","총전출","명","70397","66109","65539","68497","71284","64823","59947","59616","55932","62212","57957",
"11260","중랑구","T25","순이동","명","-5247","-5952","-3862","660","-6646","-4257","-3562","-5448","-6486","-1998","-5090",
"11260","중랑구","T30","시도내이동-시군구내","명","25683","23447","24314","27759","27773","24608","22111","20671","18412","22003","19004",
"11260","중랑구","T31","시도내이동-시군구간 전입","명","22676","20288","21331","25390","22351","21351","20569","19406","17726","23717","20585",
"11260","중랑구","T32","시도내이동-시군구간 전출","명","22123","20098","19517","19459","20339","17417","16619","16476","17050","18719","17493",
"11260","중랑구","T40","시도간전입","명","16791","16422","16032","16008","14514","14607","13705","14091","13308","14494","13278",
"11260","중랑구","T50","시도간전출","명","22591","22564","21708","21279","23172","22798","21217","22469","20470","21490","21460",
"11290","성북구","T10","총전입","명","74040","67929","64081","65082","66804","60000","61285","57147","67841","62953","59054",
"11290","성북구","T20","총전출","명","80006","73180","71262","76521","76213","70396","68221","65477","61169","68231","62394",
"11290","성북구","T25","순이동","명","-5966","-5251","-7181","-11439","-9409","-10396","-6936","-8330","6672","-5278","-3340",
"11290","성북구","T30","시도내이동-시군구내","명","22231","19958","19260","20926","22463","19693","20294","17850","18649","17857","15232",
