"[A]행정구역(동읍면)별","행정구역(동읍면)별","[B]5세별","5세별","[Item]항목","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"00","전국","0","계","T2","총인구수","명","50734284","50948272","51141463","51327916","51529338","51696216","51778544","51826059","51849861","51829023","51638809",
"11","서울특별시","0","계","T2","총인구수","명","10249679","10195318","10143645","10103233","10022181","9930616","9857426","9765623","9729107","9668465","9509458",
"11110","종로구","0","계","T2","총인구수","명","168382","165207","160070","156993","154986","152737","154770","153065","151290","149384","144683",
"1111051500","청운효자동","0","계","T2","총인구수","명","15260","15089","14570","14308","14105","13769","13272","13045","12734","12431","11978",
"1111053000","사직동","0","계","T2","총인구수","명","10150","10033","9875","9774","9700","9695","9441","9546","9535","9526","9372",
"1111054000","삼청동","0","계","T2","총인구수","명","3415","3322","3218","3058","2960","2903","2907","2836","2758","2640","2456",
"1111055000","부암동","0","계","T2","총인구수","명","11369","11236","11109","10933","10780","10616","10317","10149","10100","10022","9579",
"1111056000","평창동","0","계","T2","총인구수","명","19677","19543","19544","19393","19212","19290","18995","18951","18659","18391","18152",
"1111057000","무악동","0","계","T2","총인구수","명","8562","8548","8581","8376","8541","8453","8320","8215","8695","8546","8259",
"1111058000","교남동","0","계","T2","총인구수","명","9048","8185","5347","4921","4797","4679","10225","10701","10562","10477","10046",
"1111060000","가회동","0","계","T2","총인구수","명","5555","5397","5219","5070","4837","4635","4531","4429","4383","4325","4088",
"1111061500","종로1.2.3.4가동","0","계","T2","총인구수","명","7923","7953","7856","7894","7876","7741","7590","7420","7227","7256","7197",
"1111063000","종로5.6가동","0","계","T2","총인구수","명","6156","6120","5926","5744","5719","5496","5357","5225","5343","5242","5089",
"1111064000","이화동","0","계","T2","총인구수","명","9252","9029","8995","8814","8690","8436","8249","8083","7847","7588","7231",
"1111065000","혜화동","0","계","T2","총인구수","명","12172","18173","17889","17761","17798","17735","17306","17083","16925","16799","16383",
"1111066000","명륜3가동","0","계","T2","총인구수","명","6246","","","","","","","","","","",
"1111067000","창신제1동","0","계","T2","총인구수","명","6854","6617","6334","6209","5983","5744","5520","5364","5243","5129","4891",
"1111068000","창신제2동","0","계","T2","총인구수","명","11486","11068","10679","10201","9831","9545","9181","8780","8550","8318","7911",
"1111069000","창신제3동","0","계","T2","총인구수","명","8549","8395","8189","7939","7767","7560","7350","7254","7106","6925","6575",
"1111070000","숭인제1동","0","계","T2","총인구수","명","7450","7299","7202","6973","6862","6761","6566","6376","6189","6078","5837",
"1111071000","숭인제2동","0","계","T2","총인구수","명","9258","9200","9537","9625","9528","9679","9643","9608","9434","9691","9639",
"11140","중구","0","계","T2","총인구수","명","133193","133360","130465","128065","125733","125249","125709","125725","126171","125240","122499",
"1114052000","소공동","0","계","T2","총인구수","명","1301","1357","1339","1278","1248","1931","2022","2033","2050","2069","2250",
"1114054000","회현동","0","계","T2","총인구수","명","5676","5892","5892","5795","5594","5481","5331","5337","5245","5136","4784",
"1114055000","명동","0","계","T2","총인구수","명","3411","3392","3279","3088","3010","3007","2942","2839","2936","2914","2884",
"1114057000","필동","0","계","T2","총인구수","명","4616","4573","4484","4418","4300","4210","4078","4003","3995","4034","4023",
"1114058000","장충동","0","계","T2","총인구수","명","5596","5583","5551","5314","5175","4970","4782","4722","4708","4664","4590",
"1114059000","광희동","0","계","T2","총인구수","명","5698","5603","5364","5167","4980","5105","5001","4929","4905","5224","5255",
"1114060500","을지로동","0","계","T2","총인구수","명","2027","1978","1901","1794","1731","1694","1623","1716","1802","1816","1738",
"1114061000","신당제1동","0","계","T2","총인구수","명","8187","7857","","","","","","","","","",
"1114061500","신당동","0","계","T2","총인구수","명","","","7640","7353","7549","7861","7878","7716","7526","7692","7673",
"1114062000","신당제2동","0","계","T2","총인구수","명","16647","16403","","","","","","","","","",
"1114062500","다산동","0","계","T2","총인구수","명","","","16163","15814","15492","15342","14923","14600","14526","14243","13798",
"1114063000","신당제3동","0","계","T2","총인구수","명","19523","19421","","","","","","","","","",
"1114063500","약수동","0","계","T2","총인구수","명","","","19030","18893","18720","18487","18181","17756","17525","17128","16676",
"1114064000","신당제4동","0","계","T2","총인구수","명","15991","15853","","","","","","","","","",
"1114064500","청구동","0","계","T2","총인구수","명","","","15598","15394","15367","15011","14807","14652","14297","14056","13588",
"1114065000","신당제5동","0","계","T2","총인구수","명","9404","10435","10397","10433","10096","9797","9495","9358","10554","10527","10363",
"1114066000","신당제6동","0","계","T2","총인구수","명","10144","11913","","","","","","","","","",
"1114066500","동화동","0","계","T2","총인구수","명","","","11913","11734","11510","11477","11197","11043","10830","10656","10266",
"1114067000","황학동","0","계","T2","총인구수","명","12523","12323","12259","12316","12305","12269","12170","12373","12650","12583","12576",
"1114068000","중림동","0","계","T2","총인구수","명","12449","10777","9655","9274","8656","8607","11279","12648","12622","12498","12035",
"11170","용산구","0","계","T2","총인구수","명","246501","243232","239740","235951","233342","230241","229161","228999","228670","230040","222953",
"1117051000","후암동","0","계","T2","총인구수","명","20156","19923","19561","19162","19098","18752","18327","18144","17896","17696","16833",
"1117052000","용산2가동","0","계","T2","총인구수","명","13142","12783","12477","12072","11802","11371","10981","10689","10402","9972","9456",
"1117053000","남영동","0","계","T2","총인구수","명","7852","7801","7987","8093","8115","8064","7974","7821","7771","7623","7351",
"1117055500","청파동","0","계","T2","총인구수","명","23634","23031","22494","22018","21493","21039","20415","20105","19831","19829","19471",
"1117056000","원효로제1동","0","계","T2","총인구수","명","12523","12569","12709","13113","13784","14129","14630","15421","15991","16089","15950",
"1117057000","원효로제2동","0","계","T2","총인구수","명","15815","15737","15646","15504","15542","15355","15077","14912","14562","14202","13751",
"1117058000","효창동","0","계","T2","총인구수","명","11373","11297","11244","11110","9652","9426","9467","8944","10178","10205","10037",
"1117059000","용문동","0","계","T2","총인구수","명","13311","12982","12894","12842","12867","12710","12635","12625","12444","12327","11863",
"1117062500","한강로동","0","계","T2","총인구수","명","15518","15436","15087","15034","14877","14899","16533","17667","17990","20444","21763",
"1117063000","이촌제1동","0","계","T2","총인구수","명","27107","26984","26919","26652","27711","27880","27769","28302","28342","28139","25893",
"1117064000","이촌제2동","0","계","T2","총인구수","명","10482","10316","9986","9706","9570","9290","9136","8990","8900","8727","8303",
"1117065000","이태원제1동","0","계","T2","총인구수","명","8556","8417","8175","7827","7473","7326","7147","7042","6861","6923","6392",
"1117066000","이태원제2동","0","계","T2","총인구수","명","11213","11014","10891","10392","9876","9596","9468","9463","9254","9285","8997",
"1117068500","한남동","0","계","T2","총인구수","명","23808","23389","22739","22036","21621","20771","20642","20514","20634","21176","20389",
"1117069000","서빙고동","0","계","T2","총인구수","명","14186","14080","13834","13699","13668","13827","13595","13502","13329","13187","13051",
"1117070000","보광동","0","계","T2","총인구수","명","17825","17473","17097","16691","16193","15806","15365","14858","14285","14216","13453",
"11200","성동구","0","계","T2","총인구수","명","300711","299604","299337","296086","297003","299259","304808","308221","300889","293556","285990",
"1120052000","왕십리제2동","0","계","T2","총인구수","명","17386","17153","16838","16452","16155","16575","17787","17748","17330","17085","16475",
"1120053500","왕십리도선동","0","계","T2","총인구수","명","12802","12848","12673","15697","20419","22461","27100","27345","27270","27081","26430",
"1120054000","마장동","0","계","T2","총인구수","명","25495","25235","24903","24509","24349","23816","23461","23446","23304","22785","22362",
"1120055000","사근동","0","계","T2","총인구수","명","10709","10535","10481","11206","11478","11187","11194","11624","11702","11932","11915",
"1120056000","행당제1동","0","계","T2","총인구수","명","17750","17667","17383","15103","14687","14255","13973","16238","15993","14077","13904",
"1120057000","행당제2동","0","계","T2","총인구수","명","27015","26943","26674","26307","26012","25647","25327","24986","24554","24063","23280",
"1120058000","응봉동","0","계","T2","총인구수","명","17581","17520","17306","17103","16956","16854","16636","16340","16120","15764","15408",
"1120059000","금호1가동","0","계","T2","총인구수","명","16114","15973","14717","14014","13699","13340","13108","16087","15853","15711","15240",
"1120061500","금호2.3가동","0","계","T2","총인구수","명","20002","23026","23303","22847","22770","24836","24522","24271","23964","23409","22735",
"1120062000","금호4가동","0","계","T2","총인구수","명","14969","14844","15058","14825","14597","14414","14311","15345","15078","14704","14325",
"1120064500","옥수동","0","계","T2","총인구수","명","21755","19819","23459","23261","23041","24594","27187","27245","26946","26661","26033",
"1120065000","성수1가제1동","0","계","T2","총인구수","명","18301","18108","17774","17356","17168","16890","17349","17242","16831","16553","16514",
"1120066000","성수1가제2동","0","계","T2","총인구수","명","18712","18523","18155","17687","17045","16563","15991","15332","14338","13452","12643",
"1120067000","성수2가제1동","0","계","T2","총인구수","명","20998","20588","20135","19699","19233","18633","18089","17580","17072","16589","15806",
"1120069000","성수2가제3동","0","계","T2","총인구수","명","11931","12054","11994","11982","11797","11720","11664","11556","11342","11177","10757",
"1120072000","송정동","0","계","T2","총인구수","명","12308","12150","12046","11802","11559","11537","11487","11267","10960","10725","10516",
"1120079000","용답동","0","계","T2","총인구수","명","16883","16618","16438","16236","16038","15937","15622","14569","12232","11788","11647",
"11215","광진구","0","계","T2","총인구수","명","371936","371313","368927","363354","360369","357215","357703","355559","351350","346682","339996",
"1121571000","화양동","0","계","T2","총인구수","명","21109","21127","21559","21423","21441","21442","21591","21441","22057","22658","23138",
"1121573000","군자동","0","계","T2","총인구수","명","21388","21347","21229","21048","20670","20384","20193","19935","19866","19930","19591",
"1121574000","중곡제1동","0","계","T2","총인구수","명","16769","16698","16532","16160","16012","15825","15883","16043","15832","15792","15496",
"1121575000","중곡제2동","0","계","T2","총인구수","명","22997","23029","22920","22350","22301","22558","22464","22327","22225","21943","21428",
"1121576000","중곡제3동","0","계","T2","총인구수","명","19211","18918","18631","18235","17862","17714","17749","17604","17062","16683","16135",
"1121577000","중곡제4동","0","계","T2","총인구수","명","32003","32113","31764","31607","31787","31513","31301","30782","30115","29387","28577",
"1121578000","능동","0","계","T2","총인구수","명","11062","11069","11102","11159","11400","11348","11533","11558","11595","11610","11301",
"1121581000","광장동","0","계","T2","총인구수","명","35406","36884","37309","36985","36721","36434","36404","36139","35893","35440","34665",
"1121582000","자양제1동","0","계","T2","총인구수","명","24583","24123","23777","23015","22792","22704","23285","23295","23045","22790","22285",
"1121583000","자양제2동","0","계","T2","총인구수","명","29216","28817","28312","28163","27531","27195","27379","27038","26460","25641","24632",
"1121584000","자양제3동","0","계","T2","총인구수","명","32046","31914","31595","31046","30841","30186","30201","29811","29190","28687","28073",
"1121584700","자양제4동","0","계","T2","총인구수","명","26169","25409","24760","23862","23047","22251","21320","19360","18454","17810","17957",
"1121585000","구의제1동","0","계","T2","총인구수","명","22888","22703","22454","22475","22699","22617","22669","22517","22319","22040","21542",
"1121586000","구의제2동","0","계","T2","총인구수","명","26931","27394","27459","26156","25549","25586","25556","27558","27444","26954","26522",
"1121587000","구의제3동","0","계","T2","총인구수","명","30158","29768","29524","29670","29716","29458","30175","30151","29793","29317","28654",
"11230","동대문구","0","계","T2","총인구수","명","365486","363258","364273","363687","360153","355069","350647","348052","346194","342837","337400",
"1123053600","용신동","0","계","T2","총인구수","명","32463","32189","31482","31197","31675","31834","31391","30452","30608","31190","31619",
"1123054500","제기동","0","계","T2","총인구수","명","28064","27883","27421","27189","26861","25958","25395","25099","24934","24994","24617",
"1123056000","전농제1동","0","계","T2","총인구수","명","27299","26762","32514","31510","30709","30120","29381","30459","30538","30204","29198",
"1123057000","전농제2동","0","계","T2","총인구수","명","21500","21465","21288","21056","20877","20569","20119","19946","19500","19181","18557",
"1123060000","답십리제1동","0","계","T2","총인구수","명","20534","20146","19861","25536","26091","24373","24759","29048","29352","29099","28991",
"1123061000","답십리제2동","0","계","T2","총인구수","명","32403","31910","31272","29733","29199","30013","29448","28670","30158","29209","28334",
"1123065000","장안제1동","0","계","T2","총인구수","명","37188","37317","37284","36880","37342","38154","38960","38588","38503","38710","38241",
"1123066000","장안제2동","0","계","T2","총인구수","명","32901","32791","32417","32433","32034","31184","31182","31368","32724","33039","32484",
"1123070500","청량리동","0","계","T2","총인구수","명","24628","24489","23940","23609","23187","22706","22317","21838","21157","19870","18813",
"1123071000","회기동","0","계","T2","총인구수","명","11224","11155","11249","11064","10792","10580","10271","10356","10321","10473","10498",
"1123072000","휘경제1동","0","계","T2","총인구수","명","17033","16601","16324","16041","14363","13647","13106","12932","14542","13631","13927",
"1123073000","휘경제2동","0","계","T2","총인구수","명","25010","26014","25741","25341","25127","25030","24751","24561","24330","24297","24115",
"1123074000","이문제1동","0","계","T2","총인구수","명","31925","31324","30672","29684","29467","28728","27666","23287","18845","18477","18019",
"1123075000","이문제2동","0","계","T2","총인구수","명","23314","23212","22808","22414","22429","22173","21901","21448","20682","20463","19987",
"11260","중랑구","0","계","T2","총인구수","명","423706","419295","416798","418836","413909","411005","408226","403209","397015","394702","387350",
"1126052000","면목제2동","0","계","T2","총인구수","명","28410","27943","27844","27571","27194","27057","26702","26112","25597","24865","24049",
"1126054000","면목제4동","0","계","T2","총인구수","명","23265","22424","22009","21461","22086","21670","20823","20422","19755","18972","19029",
"1126055000","면목제5동","0","계","T2","총인구수","명","14375","14247","13757","13467","11473","10693","10368","9951","9700","14537","14784",
"1126056500","면목본동","0","계","T2","총인구수","명","36808","36435","36475","35861","35809","36096","36031","35747","35341","34622","33478",
"1126057000","면목제7동","0","계","T2","총인구수","명","26138","25685","25137","24585","23702","23088","22439","21960","21872","22386","21756",
"1126057500","면목제3.8동","0","계","T2","총인구수","명","29767","29304","28795","28340","28245","27730","27271","26663","26141","25576","24759",
"1126058000","상봉제1동","0","계","T2","총인구수","명","25945","25590","25935","26546","26137","25995","25811","25466","25334","24763","24046",
"1126059000","상봉제2동","0","계","T2","총인구수","명","18652","18508","18329","18099","18271","18716","18331","18921","19511","19899","20341",
"1126060000","중화제1동","0","계","T2","총인구수","명","21652","21482","21329","21099","21118","21127","21028","20848","20726","20224","19611",
"1126061000","중화제2동","0","계","T2","총인구수","명","31261","30498","29903","29072","28441","27962","28135","28044","26720","25578","24875",
