"A 행정구역별",Y2007 2007,Y2008 2008,Y2009 2009,Y2010 2010,Y2011 2011,Y2012 2012,Y2013 2013,Y2014 2014,Y2015 2015,Y2016 2016,Y2017 2017,Y2018 2018,Y2019 2019,Y2020 2020,Y2021 2021
"A 행정구역별",T10 대학교 재학생수<br>(A+B+C+D),T10 대학교 재학생수<br>(A+B+C+D),T10 대학교 재학생수<br>(A+B+C+D),T10 대학교 재학생수<br>(A+B+C+D),T10 대학교 재학생수<br>(A+B+C+D),T10 대학교 재학생수<br>(A+B+C+D),T10 대학교 재학생수<br>(A+B+C+D),T10 대학교 재학생수<br>(A+B+C+D),T10 대학교 재학생수<br>(A+B+C+D),T10 대학교 재학생수<br>(A+B+C+D),T10 대학교 재학생수<br>(A+B+C+D),T10 대학교 재학생수<br>(A+B+C+D),T10 대학교 재학생수<br>(A+B+C+D),T10 대학교 재학생수<br>(A+B+C+D),T10 대학교 재학생수<br>(A+B+C+D)
"00 전국",2910719,2901283,2911219,2951282,2985346,2988168,2971894,2947495,2894405,2831169,2769522,2721315,2676858,2633787,2544243
"11 서울특별시",541288,527195,533420,553674,555787,574067,570583,575724,567207,562690,560323,560944,562971,563889,560242
"11010 종로구",28819,29417,29688,42149,41860,40895,40426,39902,39741,39434,39179,39033,38918,38626,38098
"11020 중구",23383,23416,23569,24544,24570,24394,23832,23321,23004,22678,22580,22672,22731,22740,22409
"11030 용산구",28064,12352,12596,13063,13259,13327,13227,13084,12847,12566,12317,12160,12141,12094,12065
"11040 성동구",30401,30282,30058,29905,29648,29483,29098,28961,28614,29748,29633,29827,29968,30206,30217
"11050 광진구",37152,37696,39142,40275,40921,41188,41252,40014,39423,39403,39617,39779,40186,40242,39791
"11060 동대문구",41919,42414,43557,44450,44968,62556,61893,72475,72133,72088,71975,72602,72765,72315,71578
"11070 중랑구",9718,9765,9824,9863,9886,9824,9806,10018,9916,9811,9604,9300,9080,8866,8477
"11080 성북구",86741,86796,88107,89468,90070,91012,90907,90144,89036,87187,86740,86755,86714,86693,86097
"11100 도봉구",6349,6497,6767,6949,7169,7368,7564,7492,7181,6988,6864,6872,6944,6964,6815
"11110 노원구",58037,58021,59464,60473,60302,59889,59113,58221,56475,55101,53876,52523,52345,52497,51698
"11120 은평구",758,777,811,845,835,931,912,823,819,731,712,743,726,616,555
"11130 서대문구",74570,74766,74692,74987,74958,75102,75024,74322,71555,70633,70479,70627,71720,72178,72976
"11140 마포구",27676,27665,28169,28707,28981,29103,28926,28458,27910,27906,27992,28216,28705,29650,29569
"11160 강서구",1801,1837,1893,1976,2119,2068,1878,1872,1933,1900,1852,1859,1775,1736,2022
"11170 구로구",15868,15943,16070,16390,16625,16735,16532,16475,16199,15667,15203,14783,14489,14155,13914
"11200 동작구",39787,40417,40851,41900,42409,43266,43399,43674,44060,44457,45235,46372,46806,47150,46976
"11210 관악구",23783,22792,22087,21776,21441,21363,21370,21200,21068,21032,21004,21220,21279,21404,21333
"11220 서초구",3386,3241,2995,2827,2605,2413,2227,2071,2073,2120,2202,2314,2445,2566,2557
"11240 송파구",3076,3101,3080,3127,3161,3150,3197,3197,3220,3240,3259,3287,3234,3191,3095
"21 부산광역시",265238,266666,270828,274946,276245,277133,274955,273109,265792,258579,250518,245402,238814,230984,220221
"21040 영도구",13835,14068,14302,14611,14679,14792,14875,14796,14701,14474,13975,13676,13318,13115,12825
"21050 부산진구",39808,40152,40024,40747,41372,41508,40912,40499,37873,36993,36492,35783,34888,32795,30874
"21070 남구",72072,72776,73052,74210,75186,75391,73645,59382,58225,56291,54620,53784,52766,51881,50397
"21080 북구",12902,12797,12276,12605,10530,10148,10254,10630,10296,9902,8628,8357,7659,6469,5779
"21090 해운대구",9998,9743,9491,9448,9870,10760,11045,10859,10651,10161,9247,8798,7981,7043,5858
"21100 사하구",34205,34477,34588,35211,36028,36446,36646,36380,35149,34028,32688,31493,30611,29988,28935
"21110 금정구",31752,32274,36604,37102,37141,37166,37210,51622,51223,50079,48992,48283,47245,46450,44794
"21130 연제구",8256,7702,7501,7790,8173,8006,7888,7104,6414,6376,6157,6095,5764,5530,5307
"21150 사상구",42410,42677,42990,43222,43266,42916,42480,41837,41260,40275,39719,39133,38582,37713,35452
"22 대구광역시",124318,124567,123998,125759,126260,126354,130792,128645,126257,123536,120802,118165,116125,114809,109881
"22010 중구",,,159,162,,,,,,,,,,,
"22040 남구",15425,15135,13655,13193,12862,12795,12544,12170,11812,11549,11371,10971,10825,10797,9882
"22050 북구",57370,57377,57769,58404,58414,58361,64072,63140,62312,61175,60163,59174,58162,57628,55036
"22060 수성구",6002,5581,5241,5435,5679,5803,5973,6008,5884,5876,5513,5168,4988,4961,4595
"22070 달서구",45521,46474,47174,48565,49305,49395,48203,47159,45882,44374,42999,42001,41252,40471,39374
