"SGG 행정구역별",Y2007 2007,Y2008 2008,Y2009 2009,Y2010 2010,Y2011 2011,Y2012 2012,Y2013 2013,Y2014 2014,Y2015 2015,Y2016 2016,Y2017 2017,Y2018 2018,Y2019 2019,Y2020 2020,Y2021 2021
"SGG 행정구역별",T10 대학교 수<br>(A+B+C+D),T10 대학교 수<br>(A+B+C+D),T10 대학교 수<br>(A+B+C+D),T10 대학교 수<br>(A+B+C+D),T10 대학교 수<br>(A+B+C+D),T10 대학교 수<br>(A+B+C+D),T10 대학교 수<br>(A+B+C+D),T10 대학교 수<br>(A+B+C+D),T10 대학교 수<br>(A+B+C+D),T10 대학교 수<br>(A+B+C+D),T10 대학교 수<br>(A+B+C+D),T10 대학교 수<br>(A+B+C+D),T10 대학교 수<br>(A+B+C+D),T10 대학교 수<br>(A+B+C+D),T10 대학교 수<br>(A+B+C+D)
"00 전국",348,344,345,345,349,343,340,340,339,339,339,340,340,339,336
"11 서울특별시",50,49,49,49,49,48,48,48,48,48,48,48,48,48,48
"11010 종로구",4,4,4,4,4,3,3,3,3,3,3,3,3,3,3
"11020 중구",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"11030 용산구",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"11040 성동구",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"11050 광진구",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"11060 동대문구",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"11070 중랑구",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"11080 성북구",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"11100 도봉구",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"11110 노원구",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"11120 은평구",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"11130 서대문구",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"11140 마포구",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"11160 강서구",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"11170 구로구",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"11200 동작구",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"11210 관악구",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"11220 서초구",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"11240 송파구",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"21 부산광역시",22,22,22,22,22,22,22,22,22,22,22,22,22,22,21
"21040 영도구",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"21050 부산진구",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"21070 남구",5,5,5,5,5,5,5,4,4,4,4,4,4,4,4
"21080 북구",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"21090 해운대구",1,1,1,1,1,1,1,1,1,1,1,1,1,1,
"21100 사하구",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"21110 금정구",3,3,3,3,3,3,3,4,4,4,4,4,4,4,4
"21130 연제구",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"21150 사상구",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"22 대구광역시",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"22040 남구",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"22050 북구",5,5,5,5,5,5,5,4,4,4,4,4,4,4,4
"22060 수성구",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"22070 달서구",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"22310 달성군",,,,,,,,1,1,1,1,1,1,1,1
"23 인천광역시",9,9,9,8,8,7,7,7,7,7,7,7,7,7,7
"23020 동구",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"23030 남구",4,4,4,2,2,2,2,2,2,2,2,2,,,
"23040 연수구",,,,1,2,1,1,1,1,1,1,1,1,1,1
"23070 계양구",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"23090 미추홀구",,,,,,,,,,,,,2,2,2
"23310 강화군",2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
"24 광주광역시",16,16,16,16,17,17,17,17,17,17,17,17,17,17,17
