,대학교,면적(m^2),상권업종대분류명,사업체수
0,강원관광대학교,184661.0,관광/여가/오락,5
1,강원관광대학교,184661.0,부동산,2
2,강원관광대학교,184661.0,생활서비스,49
3,강원관광대학교,184661.0,소매,89
4,강원관광대학교,184661.0,숙박,4
5,강원관광대학교,184661.0,스포츠,8
6,강원관광대학교,184661.0,음식,121
7,강원관광대학교,184661.0,학문/교육,27
8,경주대학교,376087.0,관광/여가/오락,2
9,경주대학교,376087.0,부동산,6
10,경주대학교,376087.0,생활서비스,15
11,경주대학교,376087.0,소매,34
12,경주대학교,376087.0,스포츠,2
13,경주대학교,376087.0,음식,45
14,경주대학교,376087.0,학문/교육,2
15,고구려대학교,104096.0,생활서비스,5
16,고구려대학교,104096.0,소매,6
17,고구려대학교,104096.0,음식,5
18,광양보건대학교,55875.0,관광/여가/오락,10
19,광양보건대학교,55875.0,부동산,11
20,광양보건대학교,55875.0,생활서비스,62
21,광양보건대학교,55875.0,소매,123
22,광양보건대학교,55875.0,숙박,21
23,광양보건대학교,55875.0,스포츠,5
24,광양보건대학교,55875.0,음식,176
25,광양보건대학교,55875.0,학문/교육,20
26,금강대학교,133788.0,소매,3
27,금강대학교,133788.0,음식,1
28,금강대학교,133788.0,학문/교육,1
29,대구예술대학교,65377.0,소매,3
30,대구예술대학교,65377.0,음식,5
31,대구예술대학교,65377.0,학문/교육,1
32,대덕대학교,205131.0,관광/여가/오락,3
33,대덕대학교,205131.0,부동산,1
34,대덕대학교,205131.0,생활서비스,17
35,대덕대학교,205131.0,소매,28
36,대덕대학교,205131.0,숙박,1
37,대덕대학교,205131.0,스포츠,2
38,대덕대학교,205131.0,음식,66
39,대덕대학교,205131.0,학문/교육,20
40,두원공대학교,429876.0,관광/여가/오락,5
41,두원공대학교,429876.0,부동산,13
42,두원공대학교,429876.0,생활서비스,55
43,두원공대학교,429876.0,소매,105
44,두원공대학교,429876.0,숙박,3
45,두원공대학교,429876.0,스포츠,5
46,두원공대학교,429876.0,음식,184
47,두원공대학교,429876.0,학문/교육,10
48,부산과학기술대학교,130880.0,관광/여가/오락,91
49,부산과학기술대학교,130880.0,부동산,77
50,부산과학기술대학교,130880.0,생활서비스,527
51,부산과학기술대학교,130880.0,소매,960
52,부산과학기술대학교,130880.0,숙박,58
53,부산과학기술대학교,130880.0,스포츠,25
54,부산과학기술대학교,130880.0,음식,1084
55,부산과학기술대학교,130880.0,학문/교육,109
56,서라벌대학교,141315.0,관광/여가/오락,18
57,서라벌대학교,141315.0,부동산,12
58,서라벌대학교,141315.0,생활서비스,115
59,서라벌대학교,141315.0,소매,125
60,서라벌대학교,141315.0,숙박,12
61,서라벌대학교,141315.0,스포츠,11
62,서라벌대학교,141315.0,음식,237
63,서라벌대학교,141315.0,학문/교육,81
64,서울기독대학교,7940.0,관광/여가/오락,91
65,서울기독대학교,7940.0,부동산,166
66,서울기독대학교,7940.0,생활서비스,892
67,서울기독대학교,7940.0,소매,1074
68,서울기독대학교,7940.0,숙박,8
69,서울기독대학교,7940.0,스포츠,53
70,서울기독대학교,7940.0,음식,1532
71,서울기독대학교,7940.0,학문/교육,330
72,신경대학교,68572.0,관광/여가/오락,2
73,신경대학교,68572.0,부동산,27
74,신경대학교,68572.0,생활서비스,55
75,신경대학교,68572.0,소매,72
76,신경대학교,68572.0,숙박,2
77,신경대학교,68572.0,스포츠,4
78,신경대학교,68572.0,음식,116
79,신경대학교,68572.0,학문/교육,34
80,영남외대학교,81852.0,관광/여가/오락,1
81,영남외대학교,81852.0,부동산,4
82,영남외대학교,81852.0,생활서비스,22
83,영남외대학교,81852.0,소매,54
84,영남외대학교,81852.0,숙박,6
85,영남외대학교,81852.0,스포츠,1
86,영남외대학교,81852.0,음식,64
87,영남외대학교,81852.0,학문/교육,7
88,예원예술대학교,143151.0,생활서비스,6
89,예원예술대학교,143151.0,소매,18
90,예원예술대학교,143151.0,음식,9
91,웅지세무대학교,38513.0,관광/여가/오락,4
92,웅지세무대학교,38513.0,부동산,9
93,웅지세무대학교,38513.0,생활서비스,19
94,웅지세무대학교,38513.0,소매,53
95,웅지세무대학교,38513.0,숙박,2
96,웅지세무대학교,38513.0,음식,59
97,웅지세무대학교,38513.0,학문/교육,4
98,제주국제대학교,177643.0,관광/여가/오락,3
99,제주국제대학교,177643.0,부동산,2
100,제주국제대학교,177643.0,생활서비스,16
101,제주국제대학교,177643.0,소매,37
102,제주국제대학교,177643.0,스포츠,1
103,제주국제대학교,177643.0,음식,43
104,제주국제대학교,177643.0,학문/교육,9
105,한국국제대학교,412805.0,부동산,1
106,한국국제대학교,412805.0,생활서비스,3
107,한국국제대학교,412805.0,소매,14
108,한국국제대학교,412805.0,음식,12
109,한려대학교,90042.0,관광/여가/오락,8
110,한려대학교,90042.0,부동산,8
111,한려대학교,90042.0,생활서비스,56
112,한려대학교,90042.0,소매,108
113,한려대학교,90042.0,숙박,21
114,한려대학교,90042.0,스포츠,5
115,한려대학교,90042.0,음식,155
116,한려대학교,90042.0,학문/교육,17
