,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,경도,위도,좌표_x,대학교,면적(m^2),반경,시도,시군구,읍면동,하위,좌표_y,코드종류,읍면동코드,주소코드,1km 이내 거리(m)
938,D,소매,D05,의복의류,D05A01,일반의류,42,강원도,42190,태백시,4219054000,상장동,4219010100.0,황지동,4219010100106640002,128.982513192579,37.162565598277,"(128.982513192579, 37.162565598277)",강원관광대학교,184661.0,429.7220031601826,강원도,태백시,황지동,-,"(128.97419025184723, 37.16149477794874)",B,4219010100,4219010100,498.77386324402204
1155,Q,음식,Q01,한식,Q01A02,갈비/삼겹살,42,강원도,42190,태백시,4219054000,상장동,4219010100.0,황지동,4219010100104070008,128.983482042674,37.1591333641985,"(128.983482042674, 37.1591333641985)",강원관광대학교,184661.0,429.7220031601826,강원도,태백시,황지동,-,"(128.97419025184723, 37.16149477794874)",B,4219010100,4219010100,616.5983738113771
2224,F,생활서비스,F15,주택수리,F15A01,주택수리종합,42,강원도,42190,태백시,4219053500,삼수동,4219010900.0,화전동,4219010900100040068,128.978898552315,37.179986807198,"(128.978898552315, 37.179986807198)",강원관광대학교,184661.0,429.7220031601826,강원도,태백시,황지동,-,"(128.97419025184723, 37.16149477794874)",B,4219010100,4219010100,965.5902269580447
2710,Q,음식,Q01,한식,Q01A02,갈비/삼겹살,42,강원도,42190,태백시,4219054000,상장동,4219010100.0,황지동,4219010100102400016,128.985277832734,37.1621731922359,"(128.985277832734, 37.1621731922359)",강원관광대학교,184661.0,429.7220031601826,강원도,태백시,황지동,-,"(128.97419025184723, 37.16149477794874)",B,4219010100,4219010100,804.0753197109141
3165,D,소매,D03,종합소매점,D03A02,수퍼마켓,42,강원도,42190,태백시,4219054000,상장동,4219010100.0,황지동,4219010100106620000,128.984027003125,37.162958534866,"(128.984027003125, 37.162958534866)",강원관광대학교,184661.0,429.7220031601826,강원도,태백시,황지동,-,"(128.97419025184723, 37.16149477794874)",B,4219010100,4219010100,668.8576443187683
3428,D,소매,D03,종합소매점,D03A02,수퍼마켓,42,강원도,42190,태백시,4219051500,황지동,4219010100.0,황지동,4219010100100590113,128.985888424124,37.1675747372682,"(128.985888424124, 37.1675747372682)",강원관광대학교,184661.0,429.7220031601826,강원도,태백시,황지동,-,"(128.97419025184723, 37.16149477794874)",B,4219010100,4219010100,938.8124089956357
4936,D,소매,D16,화장품소매,D16A01,화장품판매점,42,강원도,42190,태백시,4219054000,상장동,4219010100.0,황지동,4219010100101880021,128.985572048755,37.1553493825123,"(128.985572048755, 37.1553493825123)",강원관광대학교,184661.0,429.7220031601826,강원도,태백시,황지동,-,"(128.97419025184723, 37.16149477794874)",B,4219010100,4219010100,906.8839723997387
5049,D,소매,D14,운동/경기용품소매,D14A01,운동/경기용품,42,강원도,42190,태백시,4219054000,상장동,4219010100.0,황지동,4219010100104920006,128.972054891178,37.1573983986985,"(128.972054891178, 37.1573983986985)",강원관광대학교,184661.0,429.7220031601826,강원도,태백시,황지동,-,"(128.97419025184723, 37.16149477794874)",B,4219010100,4219010100,-57.62838672263922
5259,D,소매,D20,의약/의료품소매,D20A01,의료용품소매,42,강원도,42190,태백시,4219054000,상장동,4219010100.0,황지동,4219010100104210061,128.97675626811,37.1526649820303,"(128.97675626811, 37.1526649820303)",강원관광대학교,184661.0,429.7220031601826,강원도,태백시,황지동,-,"(128.97419025184723, 37.16149477794874)",B,4219010100,4219010100,250.5656139231507
5287,R,학문/교육,R05,학원-음악미술무용,R05A02,피아노/바이올린/기타,42,강원도,42190,태백시,4219054000,상장동,4219010100.0,황지동,4219010100104100000,128.980851840021,37.1551091991022,"(128.980851840021, 37.1551091991022)",강원관광대학교,184661.0,429.7220031601826,강원도,태백시,황지동,-,"(128.97419025184723, 37.16149477794874)",B,4219010100,4219010100,435.24461420589506
