,대학교,시도명,시군구명,Y2007 2007,Y2008 2008,Y2009 2009,Y2010 2010,Y2011 2011,Y2012 2012,Y2013 2013,Y2014 2014,Y2015 2015,Y2016 2016,Y2017 2017,Y2018 2018,Y2019 2019,Y2020 2020,Y2021 2021
0,강원관광대학교,강원도,태백시,29,36,29,29,31,32,38,37,37,38,37,30,28,24,10
1,경주대학교,경상북도,경주시,744,749,731,647,666,702,709,719,710,679,650,612,584,579,553
2,고구려대학교,전라남도,나주시,304,302,305,302,312,309,311,342,352,356,361,363,358,347,334
3,광양보건대학교,전라남도,광양시,111,118,121,145,228,152,127,137,133,132,131,124,108,87,76
4,금강대학교,충청남도,논산시,206,210,219,218,214,218,214,217,197,188,181,168,162,152,145
5,대구예술대학교,경상북도,칠곡군,94,95,86,88,111,122,118,113,114,111,104,100,97,90,89
6,대덕대학교,대전광역시,유성구,1272,1271,1074,1059,1563,1575,1573,1584,1595,1592,1789,1823,1841,1846,1890
7,두원공대학교,경기도,안성시,592,603,602,589,579,594,609,582,573,590,577,592,587,585,555
8,부산과학기술대학교,부산광역시,북구,134,129,131,121,128,131,135,129,124,123,122,116,113,116,116
9,서라벌대학교,경상북도,경주시,744,749,731,647,666,702,709,719,710,679,650,612,584,579,553
10,서울기독대학교,서울특별시,은평구,21,22,22,22,23,23,24,26,26,26,27,28,27,24,24
11,신경대학교,경기도,화성시,667,678,673,718,753,896,974,974,944,941,929,887,838,797,784
12,영남외대학교,경상북도,경산시,1927,2040,2109,2350,2580,2710,2837,2915,3039,3051,3006,2896,2864,2789,2840
13,예원예술대학교,전라북도,임실군,37,36,42,40,50,46,48,30,50,52,57,55,53,53,50
14,웅지세무대학교,경기도,파주시,24,32,53,62,62,64,56,55,56,49,51,48,46,44,38
15,제주국제대학교,제주특별자치도,제주시,777,780,777,778,691,713,709,738,756,773,760,761,745,735,889
16,한국국제대학교,경상남도,진주시,1195,1239,1099,1102,1130,1142,1143,1140,1148,1150,1303,1307,1293,1271,1270
17,한려대학교,전라남도,광양시,111,118,121,145,228,152,127,137,133,132,131,124,108,87,76
