대학교,강원관광대학교,경주대학교,고구려대학교,광양보건대학교,금강대학교,대구예술대학교,대덕대학교,두원공대학교,부산과학기술대학교,서라벌대학교,서울기독대학교,신경대학교,영남외대학교,예원예술대학교,웅지세무대학교,제주국제대학교,한국국제대학교,한려대학교
시도명,강원도,경상북도,전라남도,전라남도,충청남도,경상북도,대전광역시,경기도,부산광역시,경상북도,서울특별시,경기도,경상북도,전라북도,경기도,제주특별자치도,경상남도,전라남도
시군구명,태백시,경주시,나주시,광양시,논산시,칠곡군,유성구,안성시,북구,경주시,은평구,화성시,경산시,임실군,파주시,제주시,진주시,광양시
2011 년,-663.0,-1677.0,-1482.0,4142.0,207.0,-1070.0,9968.0,1874.0,-5057.0,-1677.0,3528.0,4409.0,1813.0,321.0,21010.0,3075.0,-714.0,4142.0
2012 년,-682.0,-1383.0,178.0,-1076.0,-628.0,190.0,9221.0,24.0,3970.0,-1383.0,5683.0,3097.0,1480.0,-680.0,13065.0,4404.0,794.0,-1076.0
2013 년,-693.0,-633.0,-50.0,-344.0,-498.0,734.0,5064.0,-112.0,-4160.0,-633.0,116.0,-158.0,1244.0,-88.0,5292.0,6370.0,-1008.0,-344.0
2014 년,-553.0,-1494.0,3150.0,-529.0,-733.0,293.0,10751.0,-832.0,-3696.0,-1494.0,-6900.0,6118.0,4061.0,405.0,7553.0,8338.0,2325.0,-529.0
2015 년,-693.0,-1587.0,7566.0,475.0,-180.0,126.0,4937.0,-2202.0,2573.0,-1587.0,-2954.0,50669.0,1746.0,492.0,9757.0,8507.0,3425.0,475.0
2016 년,-348.0,25.0,6168.0,1319.0,-712.0,-275.0,5143.0,2378.0,-1259.0,25.0,-8061.0,39036.0,-18.0,129.0,5467.0,8539.0,1657.0,1319.0
2017 년,-1000.0,-961.0,5756.0,-291.0,-395.0,-2640.0,2933.0,-164.0,-7798.0,-961.0,-5235.0,45213.0,792.0,203.0,5733.0,6643.0,-258.0,-291.0
2018 년,-893.0,-121.0,3746.0,242.0,-1373.0,-2229.0,-463.0,902.0,-6184.0,-121.0,-4030.0,62608.0,1239.0,130.0,12947.0,5877.0,-723.0,242.0
2019 년,-837.0,-537.0,998.0,-200.0,-795.0,-1742.0,-1905.0,-66.0,-5665.0,-537.0,-3322.0,51838.0,1938.0,-895.0,1375.0,2458.0,1463.0,-200.0
2020 년,-952.0,-862.0,1232.0,-5230.0,-1386.0,-1997.0,438.0,3989.0,-6755.0,-862.0,199.0,36165.0,841.0,-1344.0,11289.0,2506.0,1177.0,-5230.0
2021 년,-1014.0,210.0,1840.0,-1161.0,-741.0,-281.0,-644.0,3359.0,357.0,210.0,-3682.0,28479.0,5148.0,-250.0,18625.0,1485.0,20.0,-1161.0
