대학교,강원관광대학교,경주대학교,고구려대학교,광양보건대학교,금강대학교,대구예술대학교,대덕대학교,두원공대학교,부산과학기술대학교,서라벌대학교,서울기독대학교,신경대학교,영남외대학교,예원예술대학교,웅지세무대학교,제주국제대학교,한국국제대학교,한려대학교
시도명,강원도,경상북도,전라남도,전라남도,충청남도,경상북도,대전광역시,경기도,부산광역시,경상북도,서울특별시,경기도,경상북도,전라북도,경기도,제주특별자치도,경상남도,전라남도
시군구명,태백시,경주시,나주시,광양시,논산시,칠곡군,유성구,안성시,북구,경주시,은평구,화성시,경산시,임실군,파주시,제주시,진주시,광양시
2011 년,7845.8,14549.0,4421.0,46984.0,4149.0,3966.0,27800.0,7319.0,23964.0,14549.0,25738.5,,3493.0,1961.0,13572.0,14048.0,8770.0,46984.0
2012 년,7788.4,15010.0,4373.0,47003.0,4057.0,3970.0,27213.0,7280.0,23498.333333333332,15010.0,25577.0,,3489.0,1857.0,13592.0,15206.0,9082.0,47003.0
2013 년,7682.0,15104.0,4337.0,48081.0,4009.0,3912.0,27690.0,7411.0,22981.0,15104.0,25404.0,,3451.0,1792.0,13728.0,20248.0,9238.0,48081.0
2014 년,7620.4,15195.0,4271.0,48974.0,3997.0,3860.0,27159.0,7444.0,23183.333333333332,15195.0,25127.5,24907.0,3547.0,1751.0,13610.0,22009.0,9026.0,48974.0
2015 년,7543.2,15890.0,4183.0,49720.0,3953.0,3787.0,26498.0,7448.0,22813.666666666668,15890.0,25180.5,25663.0,3499.0,1762.0,13753.0,24123.0,9000.0,49720.0
2016 년,7538.0,16064.0,4076.0,50834.0,3930.0,3751.0,25657.0,7372.0,22379.0,16064.0,25158.5,28810.0,3418.0,1731.0,13953.0,27295.0,8934.0,50834.0
2017 년,7384.4,15728.0,3982.0,50261.0,3859.0,3704.0,24677.0,7319.0,21995.666666666668,15728.0,25003.0,32298.0,3326.0,1691.0,14085.0,30128.0,8765.0,50261.0
2018 년,7216.8,15406.0,3793.0,50844.0,3738.0,3619.0,24946.0,7146.0,21649.333333333332,15406.0,25389.5,37495.0,3195.0,1681.0,13930.0,33099.0,8655.0,50844.0
2019 년,7074.4,15102.0,3662.0,50938.0,3691.0,3564.0,25157.0,6901.0,21044.666666666668,15102.0,25023.5,39167.0,3098.0,1567.0,13581.0,34806.0,8548.0,50938.0
2020 년,6897.0,14914.0,3585.0,49131.0,3622.0,3520.0,25858.0,6850.0,20486.0,14914.0,24176.0,41654.0,3034.0,1454.0,13265.0,37070.0,8188.0,49131.0
2021 년,6606.2,14685.0,3551.0,48325.0,3492.0,3428.0,26086.0,6915.0,20350.666666666668,14685.0,23621.0,43217.0,2919.0,1426.0,13450.0,38622.0,8059.0,48325.0
