,대학교,시도명,시군구명,Y2007 2007,Y2008 2008,Y2009 2009,Y2010 2010,Y2011 2011,Y2012 2012,Y2013 2013,Y2014 2014,Y2015 2015,Y2016 2016,Y2017 2017,Y2018 2018,Y2019 2019,Y2020 2020,Y2021 2021
0,강원관광대학교,강원도,태백시,1420,1472,1380,1353,1484,1596,1678,1642,1830,1868,1836,1860,1849,1688,718
1,경주대학교,경상북도,경주시,29255,28304,27464,26291,26054,24905,23521,22128,21317,20114,19325,18395,17364,16896,15762
2,고구려대학교,전라남도,나주시,13091,12091,11523,11650,11928,12280,12206,12054,12133,11834,11702,11540,10990,10635,10002
3,광양보건대학교,전라남도,광양시,4058,4063,4184,4423,4874,5230,4136,3411,3279,2754,2415,2106,1702,1277,878
4,금강대학교,충청남도,논산시,10082,10088,10084,10048,9354,9034,8702,8491,7090,6835,6552,5857,5567,5221,4748
5,대구예술대학교,경상북도,칠곡군,4167,4064,3878,3872,4443,4745,4873,4827,4805,4792,4539,3626,3390,3424,3265
6,대덕대학교,대전광역시,유성구,50347,50078,49033,48999,53701,53642,53275,53247,52872,52088,50703,49767,48442,47263,44972
7,두원공대학교,경기도,안성시,37212,36940,37152,37394,37069,35974,35600,34742,33699,32255,30570,29052,27068,26031,24190
8,부산과학기술대학교,부산광역시,북구,12902,12797,12276,12605,10530,10148,10254,10630,10296,9902,8628,8357,7659,6469,5779
9,서라벌대학교,경상북도,경주시,29255,28304,27464,26291,26054,24905,23521,22128,21317,20114,19325,18395,17364,16896,15762
10,서울기독대학교,서울특별시,은평구,758,777,811,845,835,931,912,823,819,731,712,743,726,616,555
11,신경대학교,경기도,화성시,41017,41142,41543,42311,44624,45268,45518,44972,42068,40784,39591,38311,37180,35937,32534
12,영남외대학교,경상북도,경산시,113394,113922,115418,118013,119943,118974,117992,116842,114037,110061,106066,102658,99766,98635,95212
13,예원예술대학교,전라북도,임실군,863,895,1307,1473,1449,1424,1409,701,714,744,832,929,1021,1347,1373
14,웅지세무대학교,경기도,파주시,1387,1677,2197,2446,2505,2758,2748,2903,3061,3092,2924,2599,2262,1979,1547
15,제주국제대학교,제주특별자치도,제주시,28578,28217,27855,28238,28781,28883,29418,30239,30512,30399,30144,30055,29634,28773,27494
16,한국국제대학교,경상남도,진주시,44561,44057,43326,43425,43542,43629,43497,42985,42307,41206,39932,38467,37264,35913,34147
17,한려대학교,전라남도,광양시,4058,4063,4184,4423,4874,5230,4136,3411,3279,2754,2415,2106,1702,1277,878
