,Y2007 2007,Y2008 2008,Y2009 2009,Y2010 2010,Y2011 2011,Y2012 2012,Y2013 2013,Y2014 2014,Y2015 2015,Y2016 2016,Y2017 2017,Y2018 2018,Y2019 2019,Y2020 2020,Y2021 2021,시군구코드,시군구,시도명
1,348,344,345,345,349,343,340,340,339,339,339,340,340,339,336,0,전국,전국
2,50,49,49,49,49,48,48,48,48,48,48,48,48,48,48,11,서울특별시,서울특별시
3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,11010,종로구,서울특별시
4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,11020,중구,서울특별시
5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11030,용산구,서울특별시
6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,11040,성동구,서울특별시
7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,11050,광진구,서울특별시
8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,11060,동대문구,서울특별시
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11070,중랑구,서울특별시
10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,11080,성북구,서울특별시
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11100,도봉구,서울특별시
12,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,11110,노원구,서울특별시
13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11120,은평구,서울특별시
14,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,11130,서대문구,서울특별시
15,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,11140,마포구,서울특별시
16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11160,강서구,서울특별시
17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,11170,구로구,서울특별시
18,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,11200,동작구,서울특별시
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11210,관악구,서울특별시
20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11220,서초구,서울특별시
21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11240,송파구,서울특별시
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,부산광역시,부산광역시
23,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,21040,영도구,부산광역시
24,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,21050,부산진구,부산광역시
25,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,21070,남구,부산광역시
26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21080,북구,부산광역시
27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,21090,해운대구,부산광역시
28,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,21100,사하구,부산광역시
29,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,21110,금정구,부산광역시
30,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,21130,연제구,부산광역시
31,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,21150,사상구,부산광역시
32,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,22,대구광역시,대구광역시
33,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,22040,남구,대구광역시
34,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,22050,북구,대구광역시
35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22060,수성구,대구광역시
36,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,22070,달서구,대구광역시
37,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,22310,달성군,대구광역시
38,9,9,9,8,8,7,7,7,7,7,7,7,7,7,7,23,인천광역시,인천광역시
39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23020,동구,인천광역시
40,4,4,4,2,2,2,2,2,2,2,2,2,0,0,0,23030,남구,인천광역시
41,0,0,0,1,2,1,1,1,1,1,1,1,1,1,1,23040,연수구,인천광역시
42,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,23070,계양구,인천광역시
43,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,23090,미추홀구,인천광역시
44,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,23310,강화군,인천광역시
45,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,24,광주광역시,광주광역시
46,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,24010,동구,광주광역시
47,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,24030,남구,광주광역시
48,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,24040,북구,광주광역시
49,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,24050,광산구,광주광역시
50,15,15,14,14,15,15,15,15,15,15,15,15,15,15,15,25,대전광역시,대전광역시
51,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,25010,동구,대전광역시
52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25020,중구,대전광역시
53,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,25030,서구,대전광역시
54,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,25040,유성구,대전광역시
55,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,25050,대덕구,대전광역시
56,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,26,울산광역시,울산광역시
57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26020,남구,울산광역시
58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26030,동구,울산광역시
59,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,26310,울주군,울산광역시
60,0,0,0,0,0,0,2,2,2,2,2,3,3,3,3,29,세종특별자치시,세종특별자치시
61,61,62,62,62,63,62,62,61,60,60,60,61,61,61,61,31,경기도,경기도
62,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,31010,수원시,경기도
63,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,31020,성남시,경기도
64,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,31030,의정부시,경기도
65,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,31040,안양시,경기도
66,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,31050,부천시,경기도
67,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,31070,평택시,경기도
68,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31080,동두천시,경기도
69,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,31090,안산시,경기도
70,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,31100,고양시,경기도
71,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,31130,남양주시,경기도
72,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,31140,오산시,경기도
73,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,31150,시흥시,경기도
74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31160,군포시,경기도
75,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,31170,의왕시,경기도
76,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,31190,용인시,경기도
77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31200,파주시,경기도
78,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,31210,이천시,경기도
79,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,31220,안성시,경기도
80,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,31230,김포시,경기도
81,5,5,5,5,6,6,6,7,6,6,6,6,6,6,6,31240,화성시,경기도
82,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,31250,광주시,경기도
83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31260,양주시,경기도
84,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,31270,포천시,경기도
85,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,31280,여주시,경기도
86,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,31320,경기,경기도
87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31380,양평군,경기도
88,18,18,18,18,19,19,18,18,18,18,18,18,18,17,17,32,강원도,강원도
89,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,32010,춘천시,강원도
90,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,32020,원주시,강원도
91,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,32030,강릉시,강원도
92,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,32040,동해시,강원도
93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32050,태백시,강원도
94,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,32060,속초시,강원도
95,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,32320,횡성군,강원도
96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32330,영월군,강원도
97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32400,고성군,강원도
98,15,15,16,16,16,16,16,16,16,16,16,17,17,17,17,33,충청북도,충청북도
99,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,33010,충북,충청북도
100,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,33020,충주시,충청북도
101,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,33030,제천시,충청북도
102,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,33040,청주시,충청북도
103,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,33310,충북,충청북도
104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33330,옥천군,충청북도
105,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33340,영동군,충청북도
106,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,33360,괴산군,충청북도
107,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,33370,음성군,충청북도
108,23,23,23,23,23,23,20,21,21,21,21,21,21,21,21,34,충청남도,충청남도
109,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,34010,천안시,충청남도
110,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,34020,공주시,충청남도
111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34030,보령시,충청남도
112,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,34040,아산시,충청남도
113,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34050,서산시,충청남도
114,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,34060,논산시,충청남도
115,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,34080,당진시,충청남도
116,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34310,금산군,충청남도
117,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,34320,충남,충청남도
118,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,34330,부여군,충청남도
119,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34350,청양군,충청남도
120,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,34360,홍성군,충청남도
121,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,34390,충남,충청남도
122,21,20,20,20,20,20,20,20,20,20,20,19,19,19,18,35,전라북도,전라북도
123,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,35010,전주시,전라북도
124,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,35020,군산시,전라북도
125,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,35030,익산시,전라북도
126,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35040,정읍시,전라북도
127,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,35050,남원시,전라북도
128,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,35060,김제시,전라북도
129,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,35310,완주군,전라북도
130,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35350,임실군,전라북도
131,21,21,21,21,21,19,19,19,19,19,19,19,19,19,19,36,전라남도,전라남도
132,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,36010,목포시,전라남도
133,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36020,여수시,전라남도
134,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,36030,순천시,전라남도
135,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,36040,나주시,전라남도
136,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,36060,광양시,전라남도
137,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36310,담양군,전라남도
138,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36320,곡성군,전라남도
139,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,36390,강진군,전라남도
140,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,36410,영암군,전라남도
141,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,36420,무안군,전라남도
142,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36440,영광군,전라남도
143,38,36,36,36,36,36,35,34,34,34,34,33,33,33,33,37,경상북도,경상북도
144,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,37010,포항시,경상북도
145,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,37020,경주시,경상북도
146,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,37030,김천시,경상북도
147,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,37040,안동시,경상북도
148,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,37050,구미시,경상북도
149,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,37060,영주시,경상북도
150,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,37070,영천시,경상북도
151,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37080,상주시,경상북도
152,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,37090,문경시,경상북도
153,13,12,12,12,12,12,12,12,12,12,12,10,10,10,10,37100,경산시,경상북도
154,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,37370,고령군,경상북도
155,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,37390,칠곡군,경상북도
156,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,37400,예천군,경상북도
157,19,19,19,20,20,20,20,21,21,21,21,21,21,21,20,38,경상남도,경상남도
158,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,38010,경남,경상남도
159,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,38020,경남,경상남도
160,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,38030,진주시,경상남도
161,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,38070,김해시,경상남도
162,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38090,거제시,경상남도
163,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,38100,양산시,경상남도
164,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,38110,창원시,경상남도
165,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38350,남해군,경상남도
166,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,38390,거창군,경상남도
167,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,39,제주특별자치도,제주특별자치도
