,기준년도,학교종류,설립구분,지역,상태,학교,입학정원,정원내(모집인원),정원내(지원자),정원내 입학자(남),정원내 입학자(여),정원내 신입생 충원율(정원내 입학자/정원내 모집인원),경쟁률(정원내 지원자/정원내 모집인원)
0,2019,대학교,사립,경남,기존,가야대학교(김해) ,633.0,638.0,3241.0,303.0,258.0,87.9,5.1
1,2019,대학교,사립,서울,기존,감리교신학대학교 ,200.0,206.0,317.0,127.0,69.0,95.1,1.5
2,2019,사이버대학(대학),사립,대전,기존,건양사이버대학교 ,900.0,900.0,1143.0,181.0,622.0,89.2,1.3
3,2019,대학교,사립,경북,기존,경주대학교 ,762.0,781.0,1047.0,100.0,60.0,20.5,1.3
4,2019,사이버대학(대학),사립,서울,기존,경희사이버대학교 ,3000.0,3000.0,2762.0,854.0,1280.0,71.1,0.9
5,2019,사이버대학(대학),사립,서울,기존,고려사이버대학교 ,2500.0,2500.0,2830.0,980.0,816.0,71.8,1.1
6,2019,대학교,사립,전남,기존,광주가톨릭대학교 ,40.0,40.0,30.0,28.0,1.0,72.5,0.8
7,2019,대학교,사립,경북,기존,김천대학교 ,823.0,823.0,3223.0,448.0,347.0,96.6,3.9
8,2019,대학교,특별법법인,대구,기존,대구경북과학기술원 ,220.0,220.0,3086.0,133.0,63.0,89.1,14.0
9,2019,사이버대학(대학),사립,경북,기존,대구사이버대학교 ,1500.0,1500.0,1569.0,218.0,775.0,66.2,1.0
10,2019,대학교,사립,경북,기존,대구예술대학교 ,430.0,430.0,1239.0,170.0,150.0,74.4,2.9
11,2019,대학교,사립,세종,기존,대전가톨릭대학교 ,40.0,40.0,14.0,12.0,0.0,30.0,0.4
12,2019,대학교,사립,대전,기존,대전신학대학교 ,60.0,60.0,37.0,8.0,9.0,28.3,0.6
13,2019,사이버대학(대학),사립,서울,기존,디지털서울문화예술대학교 ,990.0,990.0,1060.0,342.0,423.0,77.3,1.1
14,2019,사이버대학(대학),사립,부산,기존,부산디지털대학교 ,1000.0,1000.0,1048.0,170.0,593.0,76.3,1.0
15,2019,대학교,사립,경남,기존,부산장신대학교 ,67.0,69.0,84.0,19.0,21.0,58.0,1.2
16,2019,사이버대학(대학),사립,서울,기존,사이버한국외국어대학교 ,1600.0,1600.0,1738.0,346.0,913.0,78.7,1.1
17,2019,대학교,사립,서울,기존,서울기독대학교 ,136.0,136.0,516.0,49.0,76.0,91.9,3.8
18,2019,사이버대학(대학),사립,서울,기존,서울디지털대학교 ,3000.0,3000.0,2552.0,707.0,1010.0,57.2,0.9
19,2019,사이버대학(대학),사립,서울,기존,서울사이버대학교 ,3270.0,3270.0,3514.0,962.0,1277.0,68.5,1.1
20,2019,사이버대학(대학),사립,서울,기존,세종사이버대학교 ,2180.0,2180.0,3458.0,868.0,1108.0,90.6,1.6
21,2019,대학교,사립,경기,기존,수원가톨릭대학교 ,90.0,90.0,54.0,33.0,0.0,36.7,0.6
22,2019,각종학교(대학),사립,충북,기존,순복음총회신학교 ,79.0,79.0,148.0,33.0,7.0,50.6,1.9
23,2019,사이버대학(대학),사립,서울,기존,숭실사이버대학교 ,1650.0,1650.0,1689.0,550.0,662.0,73.5,1.0
24,2019,대학교,사립,경기,기존,신경대학교 ,246.0,240.0,1895.0,138.0,76.0,89.2,7.9
25,2019,대학교,사립,경기,기존,아신대학교 ,186.0,188.0,285.0,77.0,75.0,80.9,1.5
26,2019,대학교,사립,전남,기존,영산선학대학교 ,50.0,50.0,5.0,5.0,0.0,10.0,0.1
27,2019,사이버대학(대학),사립,전북,기존,원광디지털대학교 ,1500.0,1500.0,1620.0,352.0,942.0,86.3,1.1
28,2019,대학교,사립,경북,기존,위덕대학교 ,825.0,825.0,2778.0,385.0,395.0,94.5,3.4
29,2019,대학교,사립,인천,기존,인천가톨릭대학교 ,16.0,16.0,21.0,12.0,3.0,93.8,1.3
30,2019,기술대학,사립,서울,기존,정석대학 ,25.0,100.0,29.0,23.0,6.0,29.0,0.3
31,2019,대학교,사립,제주,기존,제주국제대학교 ,630.0,630.0,689.0,210.0,52.0,41.6,1.1
32,2019,대학교,사립,경기,기존,중앙승가대학교 ,120.0,122.0,39.0,22.0,14.0,29.5,0.3
33,2019,대학교,사립,경기,기존,칼빈대학교 ,90.0,95.0,273.0,55.0,36.0,95.8,2.9
34,2019,대학교,사립,경북,기존,포항공과대학교 ,320.0,320.0,2334.0,233.0,75.0,96.3,7.3
35,2019,대학교,사립,경남,기존,한국국제대학교 ,664.0,664.0,1917.0,152.0,131.0,42.6,2.9
36,2019,방송통신대학,국립,서울,기존,한국방송통신대학교 ,55200.0,55200.0,17338.0,5048.0,9282.0,26.0,0.3
37,2019,각종학교(대학),특별법국립,서울,기존,한국예술종합학교 ,558.0,558.0,13067.0,178.0,358.0,96.1,23.4
38,2019,대학교,사립,대전,기존,한국침례신학대학교 ,360.0,360.0,302.0,133.0,169.0,83.9,0.8
39,2019,대학교,사립,전남,기존,한려대학교 ,316.0,316.0,534.0,51.0,22.0,23.1,1.7
40,2019,사이버대학(대학),사립,서울,기존,한양사이버대학교 ,3240.0,3240.0,4080.0,1476.0,1396.0,88.6,1.3
41,2019,사이버대학(대학),사립,부산,기존,화신사이버대학교 ,430.0,430.0,948.0,118.0,237.0,82.6,2.2
