,index,기준연도,학교종류,설립구분,지역,상태,학교,학생정원,학생모집정지인원,총재학생,정원내재학생,정원외재학생,재학생충원율[총재학생/(학생정원-정지인원)x100],정원내학생충원율[정원내재학생/(학생정원-정지인원)x100]
0,0,2019,대학교,사립,경북,기존,가야대학교(고령) _제2캠퍼스,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,30,2019,교육대학,국립,인천,기존,경인교육대학교 ,2392.0,0.0,1313.0,1192.0,121.0,54.9,49.8
2,31,2019,교육대학,국립,경기,기존,경인교육대학교 _제2캠퍼스,0.0,0.0,1303.0,1187.0,116.0,0.0,0.0
3,33,2019,대학교,사립,경북,기존,경주대학교 ,3048.0,0.0,1120.0,885.0,235.0,36.7,29.0
4,45,2019,대학교,사립,전남,기존,광주가톨릭대학교 ,160.0,0.0,76.0,76.0,0.0,47.5,47.5
5,54,2019,사이버대학(대학),사립,충남,기존,글로벌사이버대학교 ,2853.0,0.0,2325.0,2293.0,32.0,81.5,80.4
6,55,2019,대학교,사립,충남,기존,금강대학교 ,545.0,0.0,394.0,389.0,5.0,72.3,71.4
7,61,2019,산업대학,사립,충남,폐교,남서울대학교(산업대) ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,69,2019,대학교,사립,경북,기존,대구예술대학교 ,1786.0,0.0,1102.0,1080.0,22.0,61.7,60.5
9,72,2019,대학교,사립,세종,기존,대전가톨릭대학교 ,160.0,0.0,48.0,47.0,1.0,30.0,29.4
10,74,2019,대학교,사립,대전,기존,대전신학대학교 ,240.0,0.0,101.0,98.0,3.0,42.1,40.8
11,100,2019,사이버대학(대학),사립,부산,기존,부산디지털대학교 ,2785.0,0.0,2337.0,2246.0,91.0,83.9,80.6
12,102,2019,대학교,사립,경남,기존,부산장신대학교 ,274.0,0.0,227.0,218.0,9.0,82.8,79.6
13,111,2019,산업대학,국립,서울,폐교,서울과학기술대학교(산업대) ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,132,2019,대학교,사립,충남,폐교,세한대학교 _제2캠퍼스,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,134,2019,대학교,사립,경기,기존,수원가톨릭대학교 ,360.0,0.0,135.0,132.0,3.0,37.5,36.7
16,137,2019,각종학교(대학),사립,충북,기존,순복음총회신학교 ,340.0,0.0,210.0,208.0,2.0,61.8,61.2
17,142,2019,대학교,사립,경기,기존,신경대학교 ,1048.0,13.0,636.0,606.0,30.0,61.4,58.6
18,150,2019,대학교,사립,인천,기존,안양대학교 _제2캠퍼스,506.0,0.0,357.0,353.0,4.0,70.6,69.8
19,157,2019,대학교,사립,전남,기존,영산선학대학교 ,200.0,0.0,33.0,31.0,2.0,16.5,15.5
20,159,2019,대학교,사립,전북,기존,예원예술대학교 ,864.0,0.0,742.0,607.0,135.0,85.9,70.3
21,164,2019,산업대학,사립,대전,폐교,우송대학교(산업대) ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,170,2019,대학교,사립,충북,기존,유원대학교 ,4070.0,0.0,3419.0,3242.0,177.0,84.0,79.7
23,176,2019,대학교,사립,인천,기존,인천가톨릭대학교 ,89.0,0.0,55.0,55.0,0.0,61.8,61.8
24,186,2019,기술대학,사립,서울,기존,정석대학 ,200.0,0.0,72.0,72.0,0.0,36.0,36.0
25,187,2019,대학교,사립,제주,기존,제주국제대학교 ,2899.0,0.0,1191.0,1157.0,34.0,41.1,39.9
26,193,2019,대학교,사립,경기,기존,중앙승가대학교 ,480.0,0.0,143.0,141.0,2.0,29.8,29.4
27,196,2019,산업대학,국립,경남,폐교,진주산업대학교(산업대) ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,211,2019,대학교,사립,제주,폐교,탐라대학교 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,219,2019,산업대학,국립,충북,폐교,한국교통대학교(산업대) ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,220,2019,대학교,사립,경남,기존,한국국제대학교 ,3043.0,0.0,2210.0,2063.0,147.0,72.6,67.8
31,222,2019,방송통신대학,국립,서울,기존,한국방송통신대학교 ,232300.0,0.0,106812.0,96873.0,9939.0,46.0,41.7
32,223,2019,산업대학,사립,경기,폐교,한국산업기술대학교(산업대) ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,236,2019,대학교,사립,전남,기존,한려대학교 ,1370.0,0.0,415.0,370.0,45.0,30.3,27.0
34,239,2019,산업대학,국립,대전,폐교,한밭대학교(산업대) ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,240,2019,대학교,사립,경기,폐교,한북대학교 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,256,2019,사이버대학(대학),사립,부산,기존,화신사이버대학교 ,1430.0,0.0,1193.0,1096.0,97.0,83.4,76.6
