,기준년도,학교종류,설립구분,지역,상태,학교,입학정원,정원내(모집인원),정원내(지원자),정원내 입학자(남),정원내 입학자(여),정원내 신입생 충원율(정원내 입학자/정원내 모집인원),경쟁률(정원내 지원자/정원내 모집인원)
0,2019,대학교,사립,경남,기존,가야대학교(김해) ,633.0,638.0,3241.0,303.0,258.0,87.9,5.1
1,2019,대학교,사립,경기,기존,가천대학교 ,3766.0,3771.0,67323.0,1902.0,1867.0,99.9,17.9
2,2019,대학교,사립,강원,기존,가톨릭관동대학교 ,2080.0,2092.0,10126.0,1302.0,783.0,99.7,4.8
3,2019,대학교,사립,충북,기존,가톨릭꽃동네대학교 ,108.0,108.0,417.0,43.0,64.0,99.1,3.9
4,2019,대학교,사립,경기,기존,가톨릭대학교 ,1472.0,1481.0,13102.0,613.0,864.0,99.7,8.8
5,2019,대학교,사립,서울,기존,가톨릭대학교 _제2캠퍼스,173.0,173.0,4452.0,81.0,92.0,100.0,25.7
6,2019,대학교,사립,서울,기존,가톨릭대학교 _제3캠퍼스,50.0,50.0,60.0,41.0,9.0,100.0,1.2
7,2019,대학교,사립,서울,기존,감리교신학대학교 ,200.0,206.0,317.0,127.0,69.0,95.1,1.5
8,2019,대학교,사립,경기,기존,강남대학교 ,1491.0,1506.0,13050.0,681.0,811.0,99.1,8.7
9,2019,대학교,국립,강원,기존,강릉원주대학교 ,1344.0,1348.0,7417.0,731.0,613.0,99.7,5.5
10,2019,대학교,국립,강원,기존,강릉원주대학교 _제2캠퍼스,489.0,490.0,3156.0,276.0,211.0,99.4,6.4
11,2019,대학교,국립,강원,기존,강원대학교 ,2958.0,2974.0,20962.0,1674.0,1285.0,99.5,7.0
12,2019,대학교,국립,강원,기존,강원대학교 _제2캠퍼스,1529.0,1538.0,9524.0,983.0,538.0,98.9,6.2
13,2019,대학교,사립,서울,기존,건국대학교 ,3000.0,3013.0,51707.0,1665.0,1310.0,98.7,17.2
14,2019,대학교,사립,충북,기존,건국대학교(글로컬) _분교,1549.0,1561.0,16736.0,732.0,825.0,99.7,10.7
15,2019,대학교,사립,충남,기존,건양대학교 ,875.0,879.0,5524.0,430.0,443.0,99.3,6.3
16,2019,대학교,사립,대전,기존,건양대학교 _제2캠퍼스,838.0,838.0,6967.0,277.0,560.0,99.9,8.3
17,2019,사이버대학(대학),사립,대전,기존,건양사이버대학교 ,900.0,900.0,1143.0,181.0,622.0,89.2,1.3
18,2019,대학교,사립,경기,기존,경기대학교 ,2598.0,2600.0,24847.0,1212.0,1385.0,99.9,9.6
19,2019,대학교,사립,서울,기존,경기대학교 _제2캠퍼스,328.0,330.0,7225.0,91.0,238.0,99.7,21.9
20,2019,대학교,국립,경남,폐교,경남과학기술대학교 ,1206.0,1211.0,6047.0,746.0,460.0,99.6,5.0
21,2019,대학교,사립,경남,기존,경남대학교 ,2875.0,2901.0,13220.0,1823.0,1061.0,99.4,4.6
22,2019,대학교,사립,강원,기존,경동대학교 ,160.0,161.0,671.0,129.0,32.0,100.0,4.2
23,2019,대학교,사립,강원,기존,경동대학교 _제3캠퍼스,915.0,918.0,5595.0,222.0,695.0,99.9,6.1
24,2019,대학교,사립,경기,기존,경동대학교 _제4캠퍼스,710.0,713.0,4666.0,390.0,321.0,99.7,6.5
25,2019,대학교,국립,대구,기존,경북대학교 ,4614.0,4640.0,51434.0,2683.0,1945.0,99.7,11.1
26,2019,대학교,국립,경남,기존,경상국립대학교 ,3032.0,3034.0,19274.0,1632.0,1397.0,99.8,6.4
27,2019,대학교,사립,부산,기존,경성대학교 ,2740.0,2748.0,22694.0,1202.0,1538.0,99.7,8.3
28,2019,대학교,사립,경북,기존,경운대학교 ,1184.0,1184.0,8073.0,708.0,476.0,100.0,6.8
29,2019,교육대학,국립,인천,기존,경인교육대학교 ,598.0,599.0,2345.0,134.0,463.0,99.7,3.9
30,2019,대학교,사립,경북,기존,경일대학교 ,1584.0,1585.0,11391.0,1078.0,507.0,100.0,7.2
31,2019,대학교,사립,경북,기존,경주대학교 ,762.0,781.0,1047.0,100.0,60.0,20.5,1.3
32,2019,대학교,사립,서울,기존,경희대학교 ,4720.0,4744.0,87426.0,2328.0,2393.0,99.5,18.4
33,2019,사이버대학(대학),사립,서울,기존,경희사이버대학교 ,3000.0,3000.0,2762.0,854.0,1280.0,71.1,0.9
34,2019,대학교,사립,대구,기존,계명대학교 ,4605.0,4609.0,33264.0,2060.0,2538.0,99.8,7.2
35,2019,대학교,사립,서울,기존,고려대학교 ,3799.0,3797.0,30419.0,1944.0,1846.0,99.8,8.0
36,2019,대학교,사립,세종,기존,고려대학교(세종) _분교,1318.0,1326.0,17218.0,789.0,534.0,99.8,13.0
37,2019,사이버대학(대학),사립,서울,기존,고려사이버대학교 ,2500.0,2500.0,2830.0,980.0,816.0,71.8,1.1
38,2019,대학교,사립,부산,기존,고신대학교 ,886.0,886.0,4750.0,380.0,506.0,100.0,5.4
39,2019,교육대학,국립,충남,기존,공주교육대학교 ,354.0,354.0,1398.0,124.0,230.0,100.0,3.9
40,2019,대학교,국립,충남,기존,공주대학교 ,2730.0,2734.0,24451.0,1327.0,1403.0,99.9,8.9
41,2019,대학교,사립,광주,기존,광신대학교 ,122.0,124.0,189.0,56.0,66.0,98.4,1.5
42,2019,대학교,사립,서울,기존,광운대학교 ,1684.0,1687.0,23508.0,1120.0,564.0,99.8,13.9
43,2019,대학교,사립,전남,기존,광주가톨릭대학교 ,40.0,40.0,30.0,28.0,1.0,72.5,0.8
44,2019,대학교,특별법법인,광주,기존,광주과학기술원 ,200.0,200.0,2985.0,159.0,37.0,98.0,14.9
45,2019,교육대학,국립,광주,기존,광주교육대학교 ,326.0,327.0,1604.0,131.0,195.0,99.7,4.9
46,2019,대학교,사립,광주,기존,광주대학교 ,1644.0,1647.0,10259.0,798.0,839.0,99.4,6.2
47,2019,대학교,사립,광주,기존,광주여자대학교 ,895.0,896.0,5230.0,0.0,896.0,100.0,5.8
48,2019,대학교,사립,서울,기존,국민대학교 ,2863.0,2869.0,27552.0,1562.0,1301.0,99.8,9.6
49,2019,사이버대학(대학),사립,경기,기존,국제사이버대학교 ,900.0,900.0,1291.0,337.0,549.0,98.4,1.4
50,2019,대학교,국립,전북,기존,군산대학교 ,1735.0,1735.0,8952.0,1095.0,636.0,99.8,5.2
51,2019,대학교,사립,충북,기존,극동대학교 ,935.0,938.0,8623.0,534.0,404.0,100.0,9.2
52,2019,사이버대학(대학),사립,충남,기존,글로벌사이버대학교 ,860.0,860.0,1096.0,291.0,569.0,100.0,1.3
53,2019,대학교,사립,충남,기존,금강대학교 ,110.0,110.0,224.0,61.0,48.0,99.1,2.0
54,2019,대학교,국립,경북,기존,금오공과대학교 ,1206.0,1207.0,7836.0,891.0,314.0,99.8,6.5
55,2019,대학교,사립,경북,기존,김천대학교 ,823.0,823.0,3223.0,448.0,347.0,96.6,3.9
56,2019,대학교,사립,충남,기존,나사렛대학교 ,1211.0,1214.0,7909.0,530.0,680.0,99.7,6.5
57,2019,대학교,사립,광주,기존,남부대학교 ,705.0,708.0,4169.0,293.0,412.0,99.6,5.9
58,2019,대학교,사립,충남,기존,남서울대학교 ,2201.0,2201.0,16814.0,983.0,1215.0,99.9,7.6
59,2019,대학교,사립,경기,기존,단국대학교 ,2275.0,2281.0,33681.0,1129.0,1149.0,99.9,14.8
60,2019,대학교,사립,충남,기존,단국대학교 _제2캠퍼스,2340.0,2349.0,20435.0,992.0,1343.0,99.4,8.7
61,2019,대학교,사립,경북,기존,대구가톨릭대학교 ,2862.0,2865.0,18823.0,1374.0,1488.0,99.9,6.6
62,2019,대학교,특별법법인,대구,기존,대구경북과학기술원 ,220.0,220.0,3086.0,133.0,63.0,89.1,14.0
63,2019,교육대학,국립,대구,기존,대구교육대학교 ,383.0,383.0,1609.0,137.0,245.0,99.7,4.2
64,2019,대학교,사립,경북,기존,대구대학교 ,4059.0,4077.0,28146.0,2024.0,2040.0,99.7,6.9
65,2019,사이버대학(대학),사립,경북,기존,대구사이버대학교 ,1500.0,1500.0,1569.0,218.0,775.0,66.2,1.0
66,2019,대학교,사립,경북,기존,대구예술대학교 ,430.0,430.0,1239.0,170.0,150.0,74.4,2.9
67,2019,대학교,사립,경북,기존,대구한의대학교 ,1518.0,1518.0,13362.0,707.0,811.0,100.0,8.8
68,2019,대학교,사립,경북,기존,대신대학교 ,116.0,116.0,233.0,49.0,67.0,100.0,2.0
69,2019,대학교,사립,세종,기존,대전가톨릭대학교 ,40.0,40.0,14.0,12.0,0.0,30.0,0.4
70,2019,대학교,사립,대전,기존,대전대학교 ,2080.0,2086.0,16943.0,1049.0,1028.0,99.6,8.1
71,2019,대학교,사립,대전,기존,대전신학대학교 ,60.0,60.0,37.0,8.0,9.0,28.3,0.6
72,2019,대학교,사립,경기,기존,대진대학교 ,1793.0,1801.0,12847.0,934.0,867.0,100.0,7.1
73,2019,대학교,사립,서울,기존,덕성여자대학교 ,1161.0,1165.0,13623.0,0.0,1162.0,99.7,11.7
74,2019,대학교,사립,서울,기존,동국대학교 ,2685.0,2700.0,42346.0,1359.0,1310.0,98.9,15.7
75,2019,대학교,사립,경북,기존,동국대학교(경주) _분교,1754.0,1761.0,12062.0,913.0,838.0,99.4,6.8
76,2019,대학교,사립,서울,기존,동덕여자대학교 ,1507.0,1514.0,20554.0,0.0,1507.0,99.5,13.6
77,2019,대학교,사립,부산,기존,동명대학교 ,1818.0,1817.0,14173.0,1157.0,659.0,99.9,7.8
78,2019,대학교,사립,부산,기존,동서대학교 ,2435.0,2432.0,16434.0,1200.0,1237.0,100.2,6.8
79,2019,대학교,사립,전남,기존,동신대학교 ,1548.0,1551.0,9272.0,874.0,675.0,99.9,6.0
80,2019,대학교,사립,부산,기존,동아대학교 ,4058.0,4063.0,27904.0,1905.0,2144.0,99.7,6.9
81,2019,대학교,사립,경북,기존,동양대학교 ,1028.0,1030.0,6431.0,709.0,321.0,100.0,6.2
82,2019,대학교,사립,부산,기존,동의대학교 ,3595.0,3594.0,24011.0,1809.0,1785.0,100.0,6.7
83,2019,사이버대학(대학),사립,서울,기존,디지털서울문화예술대학교 ,990.0,990.0,1060.0,342.0,423.0,77.3,1.1
84,2019,대학교,사립,경기,기존,루터대학교 ,85.0,85.0,441.0,33.0,52.0,100.0,5.2
85,2019,대학교,사립,경기,기존,명지대학교 ,1397.0,1398.0,17276.0,863.0,531.0,99.7,12.4
86,2019,대학교,사립,서울,기존,명지대학교 _제2캠퍼스,1263.0,1269.0,12510.0,505.0,758.0,99.5,9.9
87,2019,대학교,사립,대전,기존,목원대학교 ,1870.0,1870.0,10045.0,1007.0,862.0,99.9,5.4
88,2019,대학교,사립,전남,기존,목포가톨릭대학교 ,120.0,120.0,561.0,28.0,92.0,100.0,4.7
89,2019,대학교,국립,전남,기존,목포대학교 ,1576.0,1579.0,10291.0,886.0,687.0,99.6,6.5
90,2019,대학교,국립,전남,기존,목포해양대학교 ,691.0,696.0,2835.0,595.0,99.0,99.7,4.1
91,2019,대학교,사립,대전,기존,배재대학교 ,2048.0,2053.0,13807.0,1115.0,931.0,99.7,6.7
92,2019,대학교,사립,충남,기존,백석대학교 ,2790.0,2800.0,27613.0,1126.0,1660.0,99.5,9.9
93,2019,대학교,국립,부산,기존,부경대학교 ,3270.0,3271.0,21167.0,1682.0,1575.0,99.6,6.5
94,2019,대학교,사립,부산,기존,부산가톨릭대학교 ,916.0,913.0,6450.0,325.0,588.0,100.0,7.1
95,2019,교육대학,국립,부산,기존,부산교육대학교 ,356.0,356.0,1824.0,129.0,226.0,99.7,5.1
96,2019,대학교,국립,부산,기존,부산대학교 ,4181.0,4189.0,45254.0,2366.0,1814.0,99.8,10.8
97,2019,사이버대학(대학),사립,부산,기존,부산디지털대학교 ,1000.0,1000.0,1048.0,170.0,593.0,76.3,1.0
98,2019,대학교,사립,부산,기존,부산외국어대학교 ,1813.0,1813.0,11154.0,826.0,982.0,99.7,6.2
99,2019,대학교,사립,경남,기존,부산장신대학교 ,67.0,69.0,84.0,19.0,21.0,58.0,1.2
100,2019,사이버대학(대학),사립,서울,기존,사이버한국외국어대학교 ,1600.0,1600.0,1738.0,346.0,913.0,78.7,1.1
101,2019,대학교,사립,서울,기존,삼육대학교 ,1122.0,1126.0,15464.0,513.0,614.0,100.1,13.7
102,2019,대학교,사립,서울,기존,상명대학교 ,1302.0,1307.0,14110.0,634.0,671.0,99.8,10.8
103,2019,대학교,사립,충남,기존,상명대학교 _제2캠퍼스,1305.0,1307.0,15051.0,512.0,793.0,99.8,11.5
104,2019,대학교,사립,강원,기존,상지대학교 ,1707.0,1727.0,8536.0,1073.0,621.0,98.1,4.9
105,2019,대학교,사립,서울,기존,서강대학교 ,1574.0,1582.0,45347.0,915.0,654.0,99.2,28.7
106,2019,대학교,사립,서울,기존,서경대학교 ,1269.0,1273.0,26693.0,632.0,635.0,99.5,21.0
107,2019,대학교,국립,서울,기존,서울과학기술대학교 ,2067.0,2077.0,27481.0,1323.0,746.0,99.6,13.2
108,2019,교육대학,국립,서울,기존,서울교육대학교 ,355.0,355.0,1312.0,99.0,254.0,99.4,3.7
109,2019,대학교,사립,서울,기존,서울기독대학교 ,136.0,136.0,516.0,49.0,76.0,91.9,3.8
110,2019,대학교,국립대법인,서울,기존,서울대학교 ,3130.0,3137.0,21043.0,1927.0,1195.0,99.5,6.7
111,2019,사이버대학(대학),사립,서울,기존,서울디지털대학교 ,3000.0,3000.0,2552.0,707.0,1010.0,57.2,0.9
112,2019,사이버대학(대학),사립,서울,기존,서울사이버대학교 ,3270.0,3270.0,3514.0,962.0,1277.0,68.5,1.1
113,2019,대학교,공립,서울,기존,서울시립대학교 ,1697.0,1708.0,23011.0,1016.0,666.0,98.5,13.5
114,2019,대학교,사립,경기,기존,서울신학대학교 ,502.0,505.0,3337.0,176.0,329.0,100.0,6.6
115,2019,대학교,사립,서울,기존,서울여자대학교 ,1592.0,1594.0,31382.0,0.0,1590.0,99.7,19.7
116,2019,대학교,사립,경기,기존,서울장신대학교 ,113.0,113.0,305.0,64.0,49.0,100.0,2.7
117,2019,대학교,사립,서울,기존,서울한영대학교 ,180.0,180.0,934.0,61.0,117.0,98.9,5.2
118,2019,대학교,사립,충북,기존,서원대학교 ,1622.0,1625.0,11976.0,838.0,782.0,99.7,7.4
119,2019,대학교,사립,충남,기존,선문대학교 ,2053.0,2057.0,12242.0,1206.0,853.0,100.1,6.0
120,2019,대학교,사립,경기,기존,성결대학교 ,1228.0,1228.0,14468.0,529.0,697.0,99.8,11.8
121,2019,대학교,사립,서울,기존,성공회대학교 ,502.0,504.0,2641.0,216.0,286.0,99.6,5.2
122,2019,대학교,사립,서울,기존,성균관대학교 ,3303.0,3308.0,71581.0,1869.0,1430.0,99.7,21.6
123,2019,대학교,사립,서울,기존,성신여자대학교 ,2060.0,2061.0,26393.0,0.0,2058.0,99.9,12.8
124,2019,대학교,사립,충북,기존,세명대학교 ,1880.0,1885.0,11347.0,960.0,922.0,99.8,6.0
125,2019,대학교,사립,서울,기존,세종대학교 ,2320.0,2331.0,30727.0,1282.0,1036.0,99.4,13.2
126,2019,사이버대학(대학),사립,서울,기존,세종사이버대학교 ,2180.0,2180.0,3458.0,868.0,1108.0,90.6,1.6
127,2019,대학교,사립,전남,기존,세한대학교 ,914.0,914.0,6148.0,538.0,375.0,99.9,6.7
128,2019,대학교,사립,광주,기존,송원대학교 ,800.0,800.0,4079.0,434.0,357.0,98.9,5.1
129,2019,대학교,사립,경기,기존,수원가톨릭대학교 ,90.0,90.0,54.0,33.0,0.0,36.7,0.6
130,2019,대학교,사립,경기,기존,수원대학교 ,2196.0,2204.0,29056.0,1036.0,1165.0,99.9,13.2
131,2019,대학교,사립,서울,기존,숙명여자대학교 ,2110.0,2117.0,22772.0,0.0,2107.0,99.5,10.8
132,2019,각종학교(대학),사립,충북,기존,순복음총회신학교 ,79.0,79.0,148.0,33.0,7.0,50.6,1.9
133,2019,대학교,국립,전남,기존,순천대학교 ,1588.0,1598.0,8594.0,803.0,780.0,99.1,5.4
134,2019,대학교,사립,충남,기존,순천향대학교 ,2352.0,2358.0,18509.0,1174.0,1176.0,99.7,7.8
135,2019,대학교,사립,서울,기존,숭실대학교 ,2675.0,2680.0,35749.0,1499.0,1175.0,99.8,13.3
136,2019,사이버대학(대학),사립,서울,기존,숭실사이버대학교 ,1650.0,1650.0,1689.0,550.0,662.0,73.5,1.0
137,2019,대학교,사립,경기,기존,신경대학교 ,246.0,240.0,1895.0,138.0,76.0,89.2,7.9
