,기준년도,학교종류,설립구분,지역,상태,학교,입학정원,정원내(모집인원),정원내(지원자),정원내 입학자(남),정원내 입학자(여),정원내 신입생 충원율(정원내 입학자/정원내 모집인원),경쟁률(정원내 지원자/정원내 모집인원)
0,2020,대학교,사립,경남,기존,가야대학교(김해) ,568.0,573.0,3110.0,238.0,231.0,81.8,5.4
1,2020,대학교,사립,경기,기존,가천대학교 ,3766.0,3766.0,59760.0,1809.0,1955.0,99.9,15.9
2,2020,대학교,사립,강원,기존,가톨릭관동대학교 ,2080.0,2092.0,10242.0,1296.0,779.0,99.2,4.9
3,2020,대학교,사립,충북,기존,가톨릭꽃동네대학교 ,108.0,108.0,468.0,45.0,63.0,100.0,4.3
4,2020,대학교,사립,경기,기존,가톨릭대학교 ,1472.0,1473.0,16673.0,617.0,854.0,99.9,11.3
5,2020,대학교,사립,서울,기존,가톨릭대학교 _제2캠퍼스,173.0,173.0,5211.0,81.0,92.0,100.0,30.1
6,2020,대학교,사립,서울,기존,가톨릭대학교 _제3캠퍼스,50.0,50.0,65.0,40.0,10.0,100.0,1.3
7,2020,대학교,사립,서울,기존,감리교신학대학교 ,200.0,202.0,336.0,113.0,78.0,94.6,1.7
8,2020,대학교,사립,경기,기존,강남대학교 ,1491.0,1500.0,11082.0,690.0,810.0,100.0,7.4
9,2020,대학교,국립,강원,기존,강릉원주대학교 ,1344.0,1347.0,6940.0,733.0,612.0,99.9,5.2
10,2020,대학교,국립,강원,기존,강릉원주대학교 _제2캠퍼스,489.0,488.0,3630.0,280.0,205.0,99.4,7.4
11,2020,대학교,국립,강원,기존,강원대학교 ,2958.0,2966.0,18321.0,1665.0,1293.0,99.7,6.2
12,2020,대학교,국립,강원,기존,강원대학교 _제2캠퍼스,1529.0,1535.0,6368.0,983.0,545.0,99.5,4.1
13,2020,대학교,사립,서울,기존,건국대학교 ,3000.0,3012.0,59098.0,1691.0,1299.0,99.3,19.6
14,2020,대학교,사립,충북,기존,건국대학교(글로컬) _분교,1549.0,1555.0,14869.0,735.0,818.0,99.9,9.6
15,2020,대학교,사립,충남,기존,건양대학교 ,845.0,847.0,5561.0,408.0,437.0,99.8,6.6
16,2020,대학교,사립,대전,기존,건양대학교 _제2캠퍼스,808.0,810.0,7422.0,256.0,554.0,100.0,9.2
