,대학,면적
0,가야대학교(고령) _제2캠퍼스,0.0
1,가야대학교(김해) ,78872.0
2,가천대학교 ,537326.0
3,가톨릭관동대학교 ,273080.0
4,가톨릭꽃동네대학교 ,5984.0
5,가톨릭대학교 ,196180.0
6,가톨릭대학교 _제2캠퍼스,61802.0
7,가톨릭대학교 _제3캠퍼스,4711.0
8,감리교신학대학교 ,31488.0
9,강남대학교 ,158376.0
10,강릉원주대학교 ,185280.0
11,강릉원주대학교 _제2캠퍼스,71144.0
12,강원대학교 ,457500.0
13,강원대학교 _제2캠퍼스,226464.0
14,건국대학교 ,481920.0
15,건국대학교(글로컬) _분교,215064.0
16,건양대학교 ,102920.0
17,건양대학교 _제2캠퍼스,134176.0
18,경기대학교 ,342192.0
19,경기대학교 _제2캠퍼스,56054.0
20,경남과학기술대학교 ,156104.0
21,경남대학교 ,381932.0
22,경동대학교 ,8280.0
23,경동대학교 _제2캠퍼스,0.0
24,경동대학교 _제3캠퍼스,120040.0
25,경동대학교 _제4캠퍼스,89184.0
26,경북대학교 ,776572.0
27,경상국립대학교 ,444071.0
28,경성대학교 ,376752.0
29,경운대학교 ,162160.0
30,경인교육대학교 ,38604.0
31,경인교육대학교 _제2캠퍼스,37320.0
32,경일대학교 ,233584.0
33,경주대학교 ,94520.0
34,경희대학교 ,762320.0
35,계명대학교 ,593956.0
36,고려대학교 ,700148.0
37,고려대학교(세종) _분교,192024.0
38,고신대학교 ,128672.0
39,공주교육대학교 ,43448.0
40,공주대학교 ,410824.0
41,광신대학교 ,27256.0
42,광운대학교 ,252700.0
43,광주가톨릭대학교 ,11020.0
44,광주과학기술원 ,89600.0
45,광주교육대학교 ,40072.0
46,광주대학교 ,216720.0
47,광주여자대학교 ,109360.0
48,국민대학교 ,422604.0
49,군산대학교 ,255520.0
50,극동대학교 ,127892.0
51,금강대학교 ,4920.0
52,금오공과대학교 ,206053.0
53,김천대학교 ,107840.0
54,나사렛대학교 ,140344.0
55,남부대학교 ,97064.0
56,남서울대학교 ,288580.0
57,단국대학교 ,345874.0
58,단국대학교 _제2캠퍼스,339248.0
59,대구가톨릭대학교 ,407318.0
60,대구경북과학기술원 ,42268.0
61,대구교육대학교 ,46280.0
62,대구대학교 ,511280.0
63,대구예술대학교 ,65360.0
64,대구한의대학교 ,203894.0
65,대신대학교 ,7284.0
66,대전가톨릭대학교 ,8099.0
67,대전대학교 ,283628.0
68,대전신학대학교 ,4224.0
69,대진대학교 ,231512.0
70,덕성여자대학교 ,152890.0
71,동국대학교 ,388884.0
72,동국대학교(경주) _분교,227272.0
73,동덕여자대학교 ,192092.0
74,동명대학교 ,250674.0
75,동서대학교 ,297740.0
76,동신대학교 ,218080.0
77,동아대학교 ,561367.0
78,동양대학교 ,144812.0
79,동의대학교 ,503460.0
80,루터대학교 ,4980.0
81,명지대학교 ,240968.0
82,명지대학교 _제2캠퍼스,141112.0
83,목포가톨릭대학교 ,7560.0
84,목포대학교 ,225724.0
85,목포해양대학교 ,114576.0
86,배재대학교 ,258818.0
87,백석대학교 ,348004.0
88,부경대학교 ,471592.0
89,부산가톨릭대학교 ,123776.0
