강원관광대학교,버스,버스노선,배차간격,지하철역
0,91,태백터미널-태백터미널,배차간격 1회,False
1,121,태백터미널-태백터미널,배차간격 333분,False
2,121-1,태백터미널-태백터미널,배차간격 180분,False
3,121-2,태백터미널-태백터미널,배차간격 300분,False
4,121-3,태백터미널-태백터미널,배차간격 345분,False
5,121-5,태백터미널-태백터미널,배차간격 1회,False
6,111,태백터미널-태백터미널,배차간격 225분,False
7,111-1,태백터미널-태백터미널,배차간격 305분,False
8,111-2,태백터미널-태백터미널,배차간격 355분,False
9,111-3,태백터미널-태백터미널,배차간격 340분,False
10,111-5,태백터미널-태백터미널,배차간격 1회,False
11,111-6,태백터미널-태백터미널,배차간격 1회,False
12,111-7,태백터미널-황연동주민센터,배차간격 1회,False
13,121-4,태백터미널-태백터미널,배차간격 335분,False
