강원관광대학교,카테고리,건물명,도로명주소,사이거리,x좌표,y좌표
0,"공연장,연극극장",태백문화예술회관,강원 태백시 고원로 203,1682,128.987936116777,37.1719127537934
1,문화원,태백문화원,강원 태백시 태백로 1136,1458,128.98948786150956,37.15672980308265
2,"공연장,연극극장",태백문화예술회관 대공연장,강원 태백시 고원로 203,1679,128.988062876327,37.1717664810035
3,미술관,명갤러리,강원 태백시 황지로 168-1,2027,128.991334071398,37.1735529888533
4,전시관,태백체험공원 탄광사택촌전시관,강원 태백시 태백산로 4833,3335,128.967486225463,37.131932874971
5,박물관,태백석탄박물관,강원 태백시 천제단길 195,5327,128.950474089743,37.1174246041922
6,"공연장,연극극장",당골광장 야외무대,,5538,128.94890492314116,37.11589722923746
7,영화관,태백작은영화관 (2022년예정),,7346,129.00813023223884,37.10115877708059
8,미술관,기억을모으는미술관 아트티,강원 태백시 장성1길 102-5,7453,129.004893168316,37.0990243490802
9,박물관,태백고생대자연사박물관,강원 태백시 태백로 2249,9402,129.03955706253342,37.0949194232093
10,기념관,파독광부기념관,강원 태백시 동태백로 410-2,7632,129.037289790931,37.1148613161698
11,전시관,태백시생활역사전시관 (2022년8월예정),,7385,129.00849481242633,37.10090935291144
12,기념관,태백중학교 학도병기념관,강원 태백시 장성로 265,8226,129.020176792831,37.0971972674502
13,영화관,도계작은영화관,강원 삼척시 도계읍 도계로 223,9742,129.043116826687,37.229750100604
14,"공연장,연극극장",365세이프타운 숲속공연장,강원 태백시 동태백로 289-48,8528,129.033027377636,37.1008118414072
15,계곡,가는골,,376,128.970889590272,37.1593614202544
16,계곡,큰흙다리골,,655,128.97028699425,37.1664994622396
17,계곡,절골,,1636,128.964392608305,37.1739740240068
18,테마거리,태백중앙로,,1959,128.992251523543,37.1716204296701
19,테마거리,태백 상장동벽화마을,강원 태백시 상장남길 64,2083,128.990350219197,37.1478935997012
20,계곡,국수댕이골,,1401,128.958716308092,37.1639525704732
21,계곡,활목이골,,1458,128.957938556172,37.1596374353689
22,먹자골목,태백탄광음식골목,,1959,128.992216554527,37.1716606577593
23,계곡,연화산물골,,1970,128.995329708587,37.1561342531065
24,계곡,전나무골,,1701,128.965980056897,37.1476446236803
25,계곡,큰상개골,,1806,128.954453162344,37.165388768955
26,계곡,안반댕이골,,1874,128.95310611136,37.1620379610908
27,계곡,신버선논골,,2121,128.956414775162,37.1487327020643
28,눈썰매장,오투리조트 눈썰매장,강원 태백시 서학로 861,2791,128.948826536571,37.1763320803911
29,산,연화산,,2814,129.00564993169607,37.15855820276239
30,"여관,모텔",태백무인텔,강원 태백시 서학로 964,583,128.97045447100018,37.15716952988752
31,펜션,하늘다음펜션,강원 태백시 서학로 940-8,724,128.967963227133,37.157287517114
32,"여관,모텔",힐하우스,강원 태백시 대학길 60,560,128.980241255822,37.1600523276804
33,"여관,모텔",아르데코모텔,강원 태백시 오투로 145,1164,128.9721349092124,37.171848953905396
34,"여관,모텔",리베라모텔,강원 태백시 고원로 87,1258,128.9882219959,37.1630610285927
35,민박,태백하늘민박,강원 태백시 서학로 1064-1,1046,128.981051555135,37.1538369050885
36,"여관,모텔",덴마크모텔,강원 태백시 고원로 95,1298,128.988544564034,37.1636862509908
37,"여관,모텔",아마라모텔,강원 태백시 고원로 93,1289,128.98849513584682,37.16347536696
38,"여관,모텔",햇빛모텔,강원 태백시 연지로 2,1882,128.988230135684,37.1741961261461
39,"여관,모텔",J1무인텔,강원 태백시 황지로 201,1994,128.988423442189,37.1753856835111
40,"여관,모텔",세화장모텔,강원 태백시 상장2길 13,1607,128.990403544907,37.1550783691065
41,"여관,모텔",동아호텔,강원 태백시 먹거리길 36,1957,128.986750309568,37.1759831330876
42,호텔,카스텔로리젠시 태백관광호텔,강원 태백시 연지로 6,1916,128.98844505233131,37.17444927728091
43,"여관,모텔",홍성모텔,강원 태백시 태백로 1190,1784,128.990538729401,37.1521643548272
44,"여관,모텔",M모텔,강원 태백시 먹거리길 92,1961,128.98919831004198,37.17445194511303
45,동물병원,태백동물병원,강원 태백시 번영로 212,978,128.985150909916,37.1623629754666
46,일반의원,신태백병원,강원 태백시 황지로 23,1420,128.9901632980099,37.1611112951649
47,일반의원,우리들의원,강원 태백시 감천로 18,1260,128.988035571212,37.1590388916348
48,정형외과,문민규정형외과,강원 태백시 황지로 90,1706,128.992227627934,37.1667667379551
49,정신건강의학과,제일정신건강의학과의원,강원 태백시 황지로 79-1,1624,128.991585982617,37.1659955386872
50,비뇨기과,진의원,강원 태백시 황지로 98,1735,128.992147279824,37.1676509795785
51,외과,미소외과의원,강원 태백시 황지로 89,1661,128.991648900576,37.1668485423093
52,동물병원,홍현관동물병원,강원 태백시 황지로 80,1644,128.991854332829,37.1659261613104
53,신경외과,김수일신경외과의원,강원 태백시 황지로 90,1700,128.992172954831,37.1667424319983
54,산부인과,한마음산부인과의원,강원 태백시 서황지로 4,1835,128.990136119532,37.1720055422622
55,일반의원,가온의원,강원 태백시 황지로 131,1876,128.991968564244,37.1706197750877
56,일반의원,고려의원,강원 태백시 황지로 176-1,2027,128.99068892620522,37.17410888228263
57,일반의원,한국의원,강원 태백시 황지로 89,1661,128.991666336912,37.1668266273401
58,안과,밝은안과의원,강원 태백시 황지로 169,1998,128.991011546327,37.173446698011
59,치과,김현진치과의원,강원 태백시 번영로 351,1937,128.9917441554,37.1718487835843
60,"고속,시외버스터미널",태백버스터미널,강원 태백시 광장로 6,1958,128.985221505482,37.1767619256429
61,"고속,시외버스터미널",도계버스터미널,강원 삼척시 도계읍 강원남부로 1342,9225,129.042134851418,37.2243382626057
62,기차역,태백역,강원 태백시 서황지로 79,1852,128.98416056436,37.1761454632291
63,기차역,문곡역,강원 태백시 상장로 61,1764,128.989888767839,37.1517572506652
64,기차역,추전역,강원 태백시 싸리밭길 47-63,4816,128.949451014315,37.2000950695409
65,기차역,동백산역,강원 태백시 동태백로 1024,5414,129.034533219922,37.1547107173216
66,기차역,철암역,강원 태백시 동태백로 389,7727,129.036556981873,37.1129964167754
67,기차역,백산역,강원 태백시 동태백로 840,5860,129.033516978397,37.138454216634
68,기차역,도계역,강원 삼척시 도계읍 도계로 222,9750,129.043883303081,37.2293458825754
69,기차역,심포리역,강원 삼척시 도계읍 심포남길 113,6317,129.03833319554,37.1860544150985
