강원관광대학교,카테고리,건물명,도로명주소,사이거리,x좌표,y좌표
0,"공연장,연극극장CT1",태백문화예술회관,강원 태백시 고원로 203,1682,128.987936116777,37.1719127537934
1,문화원CT1,태백문화원,강원 태백시 태백로 1136,1458,128.98948786150956,37.15672980308265
2,"공연장,연극극장CT1",태백문화예술회관 대공연장,강원 태백시 고원로 203,1679,128.988062876327,37.1717664810035
3,미술관CT1,명갤러리,강원 태백시 황지로 168-1,2027,128.991334071398,37.1735529888533
4,전시관CT1,태백체험공원 탄광사택촌전시관,강원 태백시 태백산로 4833,3335,128.967486225463,37.131932874971
5,박물관CT1,태백석탄박물관,강원 태백시 천제단길 195,5327,128.950474089743,37.1174246041922
6,"공연장,연극극장CT1",당골광장 야외무대,,5538,128.94890492314116,37.11589722923746
7,영화관CT1,태백작은영화관 (2022년예정),,7346,129.00813023223884,37.10115877708059
8,미술관CT1,기억을모으는미술관 아트티,강원 태백시 장성1길 102-5,7453,129.004893168316,37.0990243490802
9,박물관CT1,태백고생대자연사박물관,강원 태백시 태백로 2249,9402,129.03955706253342,37.0949194232093
10,기념관CT1,파독광부기념관,강원 태백시 동태백로 410-2,7632,129.037289790931,37.1148613161698
11,전시관CT1,태백시생활역사전시관 (2022년8월예정),,7385,129.00849481242633,37.10090935291144
12,기념관CT1,태백중학교 학도병기념관,강원 태백시 장성로 265,8226,129.020176792831,37.0971972674502
13,영화관CT1,도계작은영화관,강원 삼척시 도계읍 도계로 223,9742,129.043116826687,37.229750100604
14,"공연장,연극극장CT1",365세이프타운 숲속공연장,강원 태백시 동태백로 289-48,8528,129.033027377636,37.1008118414072
15,계곡AT4,가는골,,376,128.970889590272,37.1593614202544
16,계곡AT4,큰흙다리골,,655,128.97028699425,37.1664994622396
17,계곡AT4,절골,,1636,128.964392608305,37.1739740240068
18,테마거리AT4,태백중앙로,,1959,128.992251523543,37.1716204296701
19,테마거리AT4,태백 상장동벽화마을,강원 태백시 상장남길 64,2083,128.990350219197,37.1478935997012
20,계곡AT4,국수댕이골,,1401,128.958716308092,37.1639525704732
21,계곡AT4,활목이골,,1458,128.957938556172,37.1596374353689
22,먹자골목AT4,태백탄광음식골목,,1959,128.992216554527,37.1716606577593
23,계곡AT4,연화산물골,,1970,128.995329708587,37.1561342531065
24,계곡AT4,전나무골,,1701,128.965980056897,37.1476446236803
25,계곡AT4,큰상개골,,1806,128.954453162344,37.165388768955
26,계곡AT4,안반댕이골,,1874,128.95310611136,37.1620379610908
27,계곡AT4,신버선논골,,2121,128.956414775162,37.1487327020643
28,눈썰매장AT4,오투리조트 눈썰매장,강원 태백시 서학로 861,2791,128.948826536571,37.1763320803911
29,산AT4,연화산,,2814,129.00564993169607,37.15855820276239
30,"고속,시외버스터미널버스터미널",태백버스터미널,강원 태백시 광장로 6,1958,128.985221505482,37.1767619256429
31,기차역기차역,태백역,강원 태백시 서황지로 79,1852,128.98416056436,37.1761454632291
32,기차역기차역,문곡역,강원 태백시 상장로 61,1764,128.989888767839,37.1517572506652
33,기차역기차역,추전역,강원 태백시 싸리밭길 47-63,4816,128.949451014315,37.2000950695409
