경주대학교,버스,버스노선,배차간격,지하철역
0,50,신경주역-신경주역,배차간격 20분현재 3대 운행중,False
1,50 (신경주-용강-신경주(문고경유)),신경주역-신경주역,배차간격 20분,False
2,50 (신경주-용강-충효),신경주역-문화중고등학교입구,배차간격 20분,False
3,50 (신경주-터미널-신경주),신경주역-신경주역,배차간격 20분,False
4,51,신경주역-신경주역,배차간격 20분현재 5대 운행중,False
5,51 (신경주-용강-문화고),신경주역-문화중고등학교입구,배차간격 20분,False
6,51 (신경주-용강-신경주(문고경유)),신경주역-신경주역,배차간격 20분,False
7,70,신경주역-신경주역,배차간격 15분현재 4대 운행중,False
8,70 (신경주-시청(문고경유)-신경주),신경주역-신경주역,배차간격 15분,False
9,70 (신경주-시청-충효(차고지행)),신경주역-문화중고등학교입구,배차간격 15분,False
10,234 (고란-경주대(산업도로)-경주대-고속버스터미널-경주역-금장-소현-가막골),고란종점-상구3리.가목동,배차간격 100분,False
11,300 (성동-충효-아화역-충효-시내),성동시장-성동시장 동편,배차간격 30분현재 1대 운행중,False
12,300 (성동-충효-임포-회차-아화역-시내),성동시장-성동시장 동편,배차간격 30분,False
13,300 (성동-충효-천촌-회차-아화역-성동),성동시장-성동시장 동편,배차간격 30분현재 1대 운행중,False
14,300 (성동-충효-회차-천촌-아화역-시내),성동시장-성동시장 동편,배차간격 30분,False
