경주대학교,카테고리,건물명,도로명주소,사이거리,x좌표,y좌표
0,박물관,경주대학교 박물관,경북 경주시 태종로 188,3,129.163108813314,35.8289943671333
1,문화원,화랑문화원,경북 경주시 충효7길 13,2012,129.176650931312,35.8433756484841
2,롯데시네마,롯데시네마 경주,경북 경주시 계림로 83,4735,129.213141992174,35.8415554934855
3,박물관,경주 오르골소리박물관,경북 경주시 서라벌대로 420,3315,129.193617109223,35.8124745453173
4,"공연장,연극극장",서라벌문화회관,경북 경주시 금성로 236,4193,129.207857365891,35.838863109853
5,전시관,화랑마을 전시관,경북 경주시 석현로 123,3798,129.17872926798512,35.86076517180432
6,문화원,신라문화원,경북 경주시 태종로727번길 3,4197,129.207717801505,35.8394171151486
7,전시관,아트센터갤러리봉봉,경북 경주시 충효천길 38-5,3127,129.194152138639,35.8413884838996
8,전시관,화랑마을 화랑관,경북 경주시 석현로 123,3617,129.178615523802,35.8590363206087
9,문화원,진흥문화재연구원,경북 경주시 석현로 75-72,4006,129.18704134791975,35.85936973668972
10,전시관,갤러리란,경북 경주시 손효자길 19,4361,129.210114827864,35.8377475488196
11,문화원,경주문화원,경북 경주시 중앙로 67-12,4705,129.210537199496,35.8464258505641
12,전시관,쪽샘유적발굴관,경북 경주시 태종로 788,4780,129.21419320796406,35.84004038621517
13,"공연장,연극극장",예술극장,경북 경주시 원효로 50,4164,129.206260008261,35.8420785583486
14,전시관,경주교촌마을 교촌홍보관,경북 경주시 교촌안길 31,4931,129.217608923664,35.8299721749093
15,저수지,와산지,,354,129.159200951352,35.82948996581
16,산,선도산,,1232,129.17514778859407,35.8341670935407
17,계곡,호주골,,598,129.166920047104,35.8246222429002
18,계곡,용주골,,436,129.166317651102,35.8319280492995
19,계곡,대밭골,,275,129.165703864306,35.8277474078245
20,산,와산,,580,129.156652800634,35.8290419580425
21,계곡,못안골,,445,129.159926568761,35.8320935887633
22,계곡,무덤골,,788,129.171787445087,35.8286539739348
23,계곡,물탕골,,598,129.157473539332,35.8318925813227
24,계곡,당재골,,606,129.165675783596,35.8340408819458
25,계곡,우장재골,,634,129.169157254724,35.8318587880484
26,계곡,감바골,,785,129.16518993685,35.8358697700208
27,계곡,노루맥이골,,891,129.153226195985,35.8294962842307
28,계곡,샛골,,1006,129.17213123989,35.8237316057794
29,저수지,아당지,,1753,129.168135882682,35.8442540982802
30,펜션,퍼스펫펜션 경주점,경북 경주시 외외1길 108-3,419,129.167433938866,35.8302950263306
31,펜션,문고리 한옥 독채풀빌라,경북 경주시 외외길 172-32,1326,129.17095719748008,35.818933082149634
32,펜션,춘추관,경북 경주시 대경로 4821-5,2169,129.18580541274264,35.82273753041184
33,민박,서악연가,경북 경주시 서악4길 45-10,1989,129.184888598026,35.8266647731867
34,펜션,소소가,경북 경주시 서악2길 32-13,2239,129.187847199015,35.8290834140871
35,펜션,능남20,경북 경주시 능남길 20,2120,129.185658815791,35.8238466894857
36,펜션,왕릉가는길,경북 경주시 서악4길 45-10,1990,129.184896679408,35.826636693605
37,펜션,구릉연가,경북 경주시 서악4길 44-2,2094,129.186107908148,35.8269885956547
38,게스트하우스,구절초가는길,경북 경주시 서악4길 42,2099,129.186142184465,35.8267861363673
39,"여관,모텔",아디오스,경북 경주시 충효녹지길 88,2322,129.181644255695,35.8434598619724
40,펜션,경주엔한옥펜션,경북 경주시 충효서악길 81,2609,129.19149502151225,35.83314013028124
41,게스트하우스,경주고택게스트하우스 선도산가는길,경북 경주시 서악4길 32,2183,129.18703692470257,35.82657162001601
42,"여관,모텔",SL호텔,경북 경주시 충효4길 9-7,2329,129.18152363710126,35.843662085897286
43,게스트하우스,랜덤게스트하우스,경북 경주시 충효4길 9-5,2346,129.18194256754964,35.8435229231514
44,펜션,둥지가족펜션,경북 경주시 서악2길 17,2413,129.189709051675,35.8275825813379
45,"노인,요양병원",경주으뜸요양병원,경북 경주시 충현로2길 10,2128,129.169718045483,35.84740804538
46,일반의원,충효의원,경북 경주시 충효5길 9-7,2231,129.178728136401,35.8445490007898
47,치과,경주포레치과의원,경북 경주시 충효5길 5,2222,129.178890451019,35.8443334084769
48,일반의원,세연의원,경북 경주시 충효중앙길 98,2366,129.18062165036,35.8448318090716
49,동물병원,정수의과병원,경북 경주시 대경로 4840-9,2318,129.187606990974,35.8229137839701
50,"노인,요양병원",경주요양병원,경북 경주시 태종로 572,2742,129.19116467054295,35.83834701424227
51,대학병원,동국대학교 경주병원,경북 경주시 동대로 87,4458,129.1966953295423,35.85840061588908
52,안과,경주밝은안과,경북 경주시 금성로 287,4242,129.20670612871987,35.84308223748387
53,내과,경주속시원내과의원,경북 경주시 금성로 287,4235,129.2066305907035,35.84307191164312
54,"노인,요양병원",중앙요양병원,경북 경주시 금성로 281,4224,129.206642563921,35.8427851591669
55,대학병원,계명대학교 경주동산병원,경북 경주시 봉황로 65,4587,129.20962943036903,35.84545861340015
56,비뇨기과,서울S의원,경북 경주시 금성로 287,4234,129.206610930794,35.843081283275
57,정형외과,경주정형외과,경북 경주시 금성로 292,4309,129.207220366436,35.8436683799194
58,치과,정치과의원,경북 경주시 금성로 268-1,4234,129.207337126147,35.8414929123889
59,내과,제일속내과의원,경북 경주시 금성로 286-1,4289,129.207274779543,35.8430762941746
60,"고속,시외버스터미널",경주시외버스터미널,경북 경주시 강변로 184,3757,129.2024687469408,35.83980000855561
61,"고속,시외버스터미널",경주고속버스터미널,경북 경주시 태종로685번길 2,3828,129.203673502641,35.8388282090558
62,"KTX,SRT정차역",신경주역,경북 경주시 건천읍 신경주역로 80,4037,129.13899826575,35.7983754706903
63,기차역,모량신호장,,3319,129.126393750382,35.8275701805601
64,기차역,서경주역,,6380,129.1803471762241,35.88474149744894
