경주대학교,카테고리,건물명,도로명주소,사이거리,x좌표,y좌표
0,박물관CT1,경주대학교 박물관,경북 경주시 태종로 188,3,129.163108813314,35.8289943671333
1,문화원CT1,화랑문화원,경북 경주시 충효7길 13,2012,129.176650931312,35.8433756484841
2,롯데시네마CT1,롯데시네마 경주,경북 경주시 계림로 83,4735,129.213141992174,35.8415554934855
3,박물관CT1,경주 오르골소리박물관,경북 경주시 서라벌대로 420,3315,129.193617109223,35.8124745453173
4,"공연장,연극극장CT1",서라벌문화회관,경북 경주시 금성로 236,4193,129.207857365891,35.838863109853
5,전시관CT1,화랑마을 전시관,경북 경주시 석현로 123,3798,129.17872926798512,35.86076517180432
6,문화원CT1,신라문화원,경북 경주시 태종로727번길 3,4197,129.207717801505,35.8394171151486
7,전시관CT1,아트센터갤러리봉봉,경북 경주시 충효천길 38-5,3127,129.194152138639,35.8413884838996
8,전시관CT1,화랑마을 화랑관,경북 경주시 석현로 123,3617,129.178615523802,35.8590363206087
9,문화원CT1,진흥문화재연구원,경북 경주시 석현로 75-72,4006,129.18704134791975,35.85936973668972
10,전시관CT1,갤러리란,경북 경주시 손효자길 19,4361,129.210114827864,35.8377475488196
11,문화원CT1,경주문화원,경북 경주시 중앙로 67-12,4705,129.210537199496,35.8464258505641
12,전시관CT1,쪽샘유적발굴관,경북 경주시 태종로 788,4780,129.21419320796406,35.84004038621517
13,"공연장,연극극장CT1",예술극장,경북 경주시 원효로 50,4164,129.206260008261,35.8420785583486
14,전시관CT1,경주교촌마을 교촌홍보관,경북 경주시 교촌안길 31,4931,129.217608923664,35.8299721749093
15,저수지AT4,와산지,,354,129.159200951352,35.82948996581
16,산AT4,선도산,,1232,129.17514778859407,35.8341670935407
17,계곡AT4,호주골,,598,129.166920047104,35.8246222429002
18,계곡AT4,용주골,,436,129.166317651102,35.8319280492995
19,계곡AT4,대밭골,,275,129.165703864306,35.8277474078245
20,산AT4,와산,,580,129.156652800634,35.8290419580425
21,계곡AT4,못안골,,445,129.159926568761,35.8320935887633
22,계곡AT4,무덤골,,788,129.171787445087,35.8286539739348
23,계곡AT4,물탕골,,598,129.157473539332,35.8318925813227
24,계곡AT4,당재골,,606,129.165675783596,35.8340408819458
25,계곡AT4,우장재골,,634,129.169157254724,35.8318587880484
26,계곡AT4,샛골,,1006,129.17213123989,35.8237316057794
27,저수지AT4,아당지,,1753,129.168135882682,35.8442540982802
28,대학병원HP8,동국대학교 경주병원,경북 경주시 동대로 87,4458,129.1966953295423,35.85840061588908
29,대학병원HP8,계명대학교 경주동산병원,경북 경주시 봉황로 65,4587,129.20962943036903,35.84545861340015
30,"고속,시외버스터미널버스터미널",경주시외버스터미널,경북 경주시 강변로 184,3757,129.2024687469408,35.83980000855561
31,"고속,시외버스터미널버스터미널",경주고속버스터미널,경북 경주시 태종로685번길 2,3828,129.203673502641,35.8388282090558
32,"KTX,SRT정차역기차역",신경주역,경북 경주시 건천읍 신경주역로 80,4037,129.13899826575,35.7983754706903
