고구려대학교,버스,버스노선,배차간격,지하철역
0,503 (나주-시청 면허시험장 회진 고구려대 다시 죽산보-화동),나주터미널(하행)-화동,배차간격 정보없음,False
1,503 (나주-시청 면허시험장 회진 고구려대 다시-화동)(나주고후문),나주터미널(하행)-화동,배차간격 정보없음,False
2,"503 (나주-시청 면허시험장 회진 고구려대 다시-화동)(나주초등학교,면허시험장)",나주터미널(하행)-화동,배차간격 정보없음,False
3,"503 (나주-시청 면허시험장 회진 고구려대 다시-화동)(면허시험장,나주고후문)",나주터미널(하행)-화동,배차간격 정보없음,False
4,"503 (나주-시청 면허시험장 회진 고구려대 다시-화동)(면허시험장,나주초등학교)",나주터미널(하행)-화동,배차간격 정보없음,False
5,504 (나주-시청 면허시험장 회진 고구려대 다시-청림)(나주고후문),나주터미널(하행)-청림마을,배차간격 정보없음,False
6,"504 (나주-시청 면허시험장 회진 고구려대 다시-청림)(나주고후문,면허시험장)",나주터미널(하행)-청림마을,배차간격 정보없음,False
7,"504 (나주-시청 면허시험장 회진 고구려대 다시-청림)(나주초등학교,면허시험장)",나주터미널(하행)-청림마을,배차간격 정보없음,False
8,504 (영강삼거리-회진 고구려대학교 다시 나주역 나주-청림),영강삼거리-청림마을,배차간격 정보없음,False
9,505 (나주-시청 면허시험장 회진 고구려대 다시 본촌-본촌),나주터미널(하행)-본촌종점,배차간격 정보없음,False
10,505 (나주-시청 면허시험장 회진 고구려대 다시 본촌-본촌)(나주고후문),나주터미널(하행)-본촌종점,배차간격 정보없음,False
11,"500 (나주-시청 면허시험장 다시 문평 양산-나산)(송림,양산)",나주터미널(하행)-나산(종점),배차간격 정보없음,False
12,"500 (나주-시청 면허시험장 다시 문평 양산-나산)(양산,송림,나주터미널(도착))",나주터미널(하행)-나산(종점),배차간격 정보없음,False
13,"500 (나주-시청 면허시험장 다시 문평 양산-나산)(양산,송림,나주터미널(상행))",나주터미널(하행)-나산(종점),배차간격 정보없음,False
14,500 (나주-시청 면허시험장 다시 문평-나산),나주터미널(하행)-나산(종점),배차간격 정보없음,False
