고구려대학교,카테고리,건물명,도로명주소,사이거리,x좌표,y좌표
0,전시관,나주복암리고분전시관,전남 나주시 다시면 백호로 287,1456,126.657041658901,34.9960715435942
1,박물관,한국천연염색박물관,전남 나주시 다시면 백호로 379,1922,126.662762972513,34.9941586208232
2,전시관,백호문학관,전남 나주시 다시면 회진길 8,1983,126.666966621537,34.9969356553355
3,문화원,전남공예창작지원센터,전남 나주시 다시면 백호로 379,1939,126.662855535134,34.9940236710643
4,미술관,동남갤러리,전남 나주시 문평면 영산로 4333-10,3361,126.620807313788,35.0265699620179
5,"공연장,연극극장",영산강4경 죽산보야외공연장,전남 나주시 다시면 영산강자전거길 7559,4669,126.626655728884,34.970079862831
6,"공연장,연극극장",나주시문화예술회관,전남 나주시 예향로 4137,5956,126.7123477924493,35.02247323260925
7,미술관,나주 영상테마파크 손으로만지는영화미술관,전남 나주시 공산면 덕음로 450,5404,126.601781834575,34.9789857990956
8,전시관,영산포역사갤러리,전남 나주시 영산3길 17,5697,126.711452289964,35.0007199589672
9,"공연장,연극극장",난장곡간,전남 나주시 과원길 5,6888,126.717658831376,35.0345686427053
10,문화원,나주문화원,전남 나주시 시청길 22,5695,126.71144516959855,35.01460297198284
11,기념관,나주학생독립운동기념관,전남 나주시 죽림길 26,7350,126.7262504250986,35.02804795051044
12,문화원,나주시향토문화회관,전남 나주시 시청길 22,5696,126.711451711617,35.0146120013093
13,미술관,밀레날레마을미술관 1관,,6687,126.71680506959,35.0317282240796
14,박물관,사매기 째깐한 박물관,전남 나주시 향교길 2,6652,126.715455716071,35.0334133425185
15,저수지,개경제,,770,126.650004802028,35.0146342462147
16,산,들마산,,405,126.652550355193,35.0049472578675
17,계곡,운대골,,831,126.657609234536,35.0112811846761
18,계곡,절터골,,754,126.655162191943,35.0127344864547
19,산,여마산,,1077,126.6612310921766,35.00599485760102
20,계곡,산바실골,,804,126.655150899936,35.0133365734766
21,계곡,새암골,,893,126.657935415497,35.003458153426
22,계곡,가동골,,1218,126.656190692199,35.0172478878833
23,도보여행,풍류락도영산가람길 4코스(황금들판길),,1512,126.6442269270382,34.99479797484998
24,계곡,저란재골,,1418,126.64965559155,35.020474149063
25,산,잠애산,,1623,126.65988330443373,34.995746929272535
26,계곡,사랑골,,1453,126.657072148504,34.9961148958903
27,계곡,공동산골,,1408,126.660741133899,34.9988942388061
28,도보여행,복암리잠애산산책로,,1832,126.66322604551034,34.99555884625438
29,계곡,개미골,,1481,126.655284240696,35.0202018269512
30,민박,나주임씨대종가,전남 나주시 다시면 회진길 28-8,1874,126.666820217766,34.9984639916469
31,펜션,샤론키즈펜션,전남 나주시 다시면 백동길 10,3261,126.642937990546,35.0365729269205
32,글램핑장,별밤캠핑장,전남 나주시 다시면 고막원길 20,4295,126.609142896953,35.027461367368
33,오토캠핑장,죽산보오토캠핑장,,4544,126.628113466606,34.9707495549868
34,펜션,마한농원,전남 나주시 동방1길 35-12,4084,126.678610218576,34.9796497199675
35,유스호스텔,케이엘씨,전남 나주시 내영산1길 40,4480,126.698618957223,35.0100595061016
36,펜션,비타민펜션,전남 나주시 다시면 신광로 282-48,4553,126.67649323344733,35.04226815891545
37,펜션,막달레나집,전남 나주시 다시면 신광로 282-66,4526,126.676408688953,35.0420290698156
38,펜션,질풍경초,전남 나주시 다시면 신광로 282-35,4611,126.677344149687,35.0424380799818
39,펜션,단풍나무펜션,전남 나주시 다시면 신광로 282-37,4626,126.677539000542,35.0424980885617
