고구려대학교,카테고리,건물명,도로명주소,사이거리,x좌표,y좌표
0,전시관CT1,나주복암리고분전시관,전남 나주시 다시면 백호로 287,1456,126.657041658901,34.9960715435942
1,박물관CT1,한국천연염색박물관,전남 나주시 다시면 백호로 379,1922,126.662762972513,34.9941586208232
2,전시관CT1,백호문학관,전남 나주시 다시면 회진길 8,1983,126.666966621537,34.9969356553355
3,문화원CT1,전남공예창작지원센터,전남 나주시 다시면 백호로 379,1939,126.662855535134,34.9940236710643
4,미술관CT1,동남갤러리,전남 나주시 문평면 영산로 4333-10,3361,126.620807313788,35.0265699620179
5,"공연장,연극극장CT1",영산강4경 죽산보야외공연장,전남 나주시 다시면 영산강자전거길 7559,4669,126.626655728884,34.970079862831
6,"공연장,연극극장CT1",나주시문화예술회관,전남 나주시 예향로 4137,5956,126.7123477924493,35.02247323260925
7,미술관CT1,나주 영상테마파크 손으로만지는영화미술관,전남 나주시 공산면 덕음로 450,5404,126.601781834575,34.9789857990956
8,전시관CT1,영산포역사갤러리,전남 나주시 영산3길 17,5697,126.711452289964,35.0007199589672
9,"공연장,연극극장CT1",난장곡간,전남 나주시 과원길 5,6888,126.717658831376,35.0345686427053
10,문화원CT1,나주문화원,전남 나주시 시청길 22,5695,126.71144516959855,35.01460297198284
11,기념관CT1,나주학생독립운동기념관,전남 나주시 죽림길 26,7350,126.7262504250986,35.02804795051044
12,문화원CT1,나주시향토문화회관,전남 나주시 시청길 22,5696,126.711451711617,35.0146120013093
13,미술관CT1,밀레날레마을미술관 1관,,6687,126.71680506959,35.0317282240796
14,박물관CT1,사매기 째깐한 박물관,전남 나주시 향교길 2,6652,126.715455716071,35.0334133425185
15,저수지AT4,개경제,,770,126.650004802028,35.0146342462147
16,산AT4,들마산,,405,126.652550355193,35.0049472578675
17,계곡AT4,운대골,,831,126.657609234536,35.0112811846761
18,산AT4,여마산,,1077,126.6612310921766,35.00599485760102
19,계곡AT4,절터골,,754,126.655162191943,35.0127344864547
20,계곡AT4,산바실골,,804,126.655150899936,35.0133365734766
21,계곡AT4,새암골,,893,126.657935415497,35.003458153426
22,계곡AT4,가동골,,1218,126.656190692199,35.0172478878833
23,도보여행AT4,풍류락도영산가람길 4코스(황금들판길),,1512,126.6442269270382,34.99479797484998
24,계곡AT4,저란재골,,1418,126.64965559155,35.020474149063
25,산AT4,잠애산,,1623,126.65988330443373,34.995746929272535
26,계곡AT4,사랑골,,1453,126.657072148504,34.9961148958903
27,계곡AT4,공동산골,,1408,126.660741133899,34.9988942388061
28,도보여행AT4,복암리잠애산산책로,,1832,126.66322604551034,34.99555884625438
29,계곡AT4,개미골,,1481,126.655284240696,35.0202018269512
30,글램핑장AD5,별밤캠핑장,전남 나주시 다시면 고막원길 20,4295,126.609142896953,35.027461367368
31,오토캠핑장AD5,죽산보오토캠핑장,,4544,126.628113466606,34.9707495549868
32,종합병원HP8,나주종합병원,전남 나주시 영산로 5419,7296,126.72151437716734,35.03644520055368
33,"고속,시외버스터미널버스터미널",다시공영버스터미널,전남 나주시 다시면 영산로 4526,1640,126.63976761726836,35.02006482243599
34,기차역기차역,다시역,전남 나주시 다시면 다시로 218,1262,126.641125734174,35.016677874561
35,기차역기차역,고막원역,전남 나주시 다시면 고막원길 69,4232,126.608112802737,35.0247169719803
