,카테고리,건물명,도로명주소,사이거리,x좌표,y좌표
0,CJCGV,CGV 광양엘에프스퀘어,전남 광양시 광양읍 순광로 466,1021,127.56665300953563,34.96313117250758
1,미술관,전남도립미술관,전남 광양시 광양읍 순광로 660,2462,127.58885129381345,34.96769918650398
2,CJCGV,CGV 순천신대,전남 순천시 해룡면 해광로 199,3404,127.552373454347,34.9259799955308
3,박물관,광양장도박물관,전남 광양시 광양읍 매천로 771,2815,127.580741435336,34.9769484536798
4,박물관,광양역사문화관,전남 광양시 광양읍 매천로 829,2944,127.586129428075,34.9757291507259
5,"공연장,연극극장",광양문화예술회관,전남 광양시 광양읍 향교길 9-30,3406,127.587508837303,34.9799661363677
6,문화원,광양문화원,전남 광양시 광양읍 매천로 829,2942,127.585993975543,34.9757766757469
7,전시관,광양사진관,전남 광양시 광양읍 읍성길 113,2844,127.58757789381167,34.97368865786953
8,"공연장,연극극장",광양문화예술회관 대공연장,전남 광양시 광양읍 향교길 9-30,3404,127.587508682796,34.9799445042336
9,박물관,순천세계수석박물관,전남 순천시 신월길 15,4453,127.519237845621,34.9585288925088
10,미술관,해지면열리는미술관,전남 순천시 조례2길 31,4106,127.52443667675,34.964093285223
11,"공연장,연극극장",광양문화예술회관 소공연장,전남 광양시 광양읍 향교길 9-30,3404,127.587508682796,34.9799445042336
12,"공연장,연극극장",우산웰빙테마공원 야외소공연장,,3483,127.586488741964,34.9812762516387
13,기념관,호남호국기념관,전남 순천시 원연향길 17,4684,127.52128593076347,34.93598115318352
14,문화원,한국종이문화원,전남 순천시 해룡면 조례못등2길 4-9,3555,127.528978867819,34.950522291776
15,계곡,덕례골,,416,127.56341748662,34.955288944578
16,저수지,인덕저수지,,937,127.557456189533,34.9531855990253
17,계곡,시묘당골,,224,127.565568936339,34.9529173429851
18,계곡,비용선골,,589,127.563498958071,34.9499163691896
19,계곡,신풍골,,612,127.566436499172,34.9485326152459
20,계곡,어룡골,,507,127.571110061089,34.9575533253445
21,계곡,갈대골,,564,127.567875257253,34.9590503521307
22,먹자골목,광양불고기특화거리,,2008,127.579050431545,34.9694571181602
23,계곡,금당골,,912,127.561315698823,34.9476189549374
24,계곡,새고개골,,1153,127.555804121207,34.9504241429968
25,계곡,이화골,,1256,127.573856733552,34.9438430825985
26,계곡,매봉골,,1134,127.555520611193,34.9518892746204
27,저수지,덕산제,,1626,127.561496489177,34.9677079603036
28,계곡,아래용전골,,1211,127.565659589377,34.9431640329031
29,계곡,대밭골,,1288,127.581631207593,34.9522357676977
30,"여관,모텔",세븐브릭스호텔,전남 광양시 광양읍 회암길 28,1347,127.57732539670238,34.96315662414287
31,"여관,모텔",호텔어반,전남 광양시 광양읍 덕산1길 8,1301,127.56517805062143,34.965508657903406
32,"여관,모텔",하루무인텔,전남 광양시 광양읍 갈티로 18,1334,127.56622770195,34.9659265126431
33,"여관,모텔",J무인텔,전남 광양시 광양읍 예구10길 61,1489,127.56711808988754,34.96738348388665
34,"여관,모텔",CCK모텔,전남 광양시 광양읍 예구10길 65,1502,127.56720974680557,34.96749572745728
35,"여관,모텔",피카소모텔,전남 광양시 광양읍 갈티로 31,1475,127.566214609369,34.9672065236406
36,"여관,모텔",별무인텔,전남 광양시 광양읍 대림4길 19,1510,127.564573012469,34.9673331475679
37,"여관,모텔",모텔헐리우드,전남 광양시 광양읍 갈티로 35,1503,127.566264523402,34.9674586753776
38,"여관,모텔",벤츠모텔,전남 광양시 광양읍 갈티로 30,1436,127.566536428698,34.9668733174592
39,호텔,순천부영호텔,전남 순천시 해룡면 신대로 188,1917,127.5545635008792,34.94046770528525
40,"여관,모텔",와이모텔,전남 광양시 광양읍 갈티로 16,1304,127.56608343978208,34.96564775943613
