금강대학교,카테고리,건물명,도로명주소,사이거리,x좌표,y좌표
0,전시관,한훈기념관,충남 계룡시 신도안면 계룡대1로 35,3272,127.23210349378869,36.2995324145867
1,문화원,엄사문화쉼터,,4502,127.241988204466,36.2885805175678
2,미술관,엄사문화쉼터 지하도갤러리,,4510,127.242117486201,36.2886307223894
3,"공연장,연극극장",계룡문화예술의전당,충남 계룡시 엄사면 문화1로 13,4955,127.234126963059,36.2728938478149
4,박물관,계룡산자연사박물관,충남 공주시 반포면 임금봉길 49-25,8033,127.244831824235,36.3663827752091
5,전시관,계룡대실지구통합홍보관,충남 계룡시 대실남북로 36,6971,127.257040663848,36.2662663042549
6,문화원,한국유교문화진흥원,충남 논산시 노성면 종학길 10,9014,127.09804849506041,36.289423217013606
7,미술관,장옥미술관,충남 계룡시 두마면 팥거리2길 4-5,8132,127.273768488833,36.2674169544326
8,박물관,계룡산도자문화관,충남 공주시 반포면 도예촌길 63,9376,127.21612701774295,36.38848449179515
9,전시관,계룡산도예촌 종합전시장,충남 공주시 반포면 도예촌길 71-3,9495,127.216388496761,36.3895293792678
10,문화원,얼레빗전수관,충남 공주시 계룡면 구룡말길 147,9480,127.18718747179162,36.390606948776714
11,"공연장,연극극장",대전교육연수원 야외무대,충남 공주시 반포면 가마봉길 100,9999,127.23108813630294,36.39114197953295
12,저수지,검정소류지,,1069,127.187210868649,36.299388541668
13,저수지,윗진동저수지,,351,127.194046620476,36.3029823901472
14,산,향적산,,1466,127.20180560624449,36.29301683447011
15,저수지,세점지,,1048,127.185245597971,36.3082196260685
16,저수지,띠울지,,574,127.19006997864,36.3049425503903
17,계곡,잿골,,182,127.196226568547,36.3038619948719
18,계곡,언골,,322,127.194495401784,36.3079526037027
19,계곡,가심골,,533,127.194901691879,36.3101436254106
20,계곡,바위골,,667,127.194953807254,36.3113979904259
21,계곡,진동들,,874,127.186900908013,36.3038625180972
22,계곡,쇠점들,,885,127.187084625328,36.3080617583927
23,저수지,수정동소류지,,1619,127.19092466598,36.3193925942894
24,계곡,멘재골,,1186,127.209321551731,36.3078122125401
25,계곡,용골,,1167,127.192108692441,36.3154182765524
26,계곡,분터골,,1254,127.190042481446,36.2954440829924
27,펜션,계룡산사계절펜션,충남 공주시 계룡면 신원사로 430-57,3860,127.16798393849737,36.331581295818424
28,"콘도,리조트",구룡콘도,충남 계룡시 신도안면 암용추로 89,3682,127.230295633677,36.324198628037
29,"야영,캠핑장",나그네캠핑장,충남 논산시 연산면 선비로866번길 166-4,4376,127.18888626617672,36.26653213743635
30,펜션,소호스테이,충남 공주시 계룡면 신원사로 430-27,3779,127.168329885873,36.3308607641637
31,"여관,모텔",신원장여관,충남 공주시 계룡면 별당마루길 6,3319,127.181958471155,36.3330252594043
32,"여관,모텔",호텔비너스,충남 계룡시 엄사면 번영1길 6-19,4578,127.24361302358,36.2898857429339
33,민박,가정민박,충남 공주시 계룡면 양화새말길 19-11,3476,127.1793981341655,36.333631119547825
34,펜션,나무애펜션,충남 논산시 연산면 선비로866번길 166-4,4377,127.188881788757,36.2665213302018
35,"여관,모텔",호텔비바체,충남 계룡시 엄사면 번영1길 6-17,4597,127.24373369228552,36.28967101438008
36,"여관,모텔",모텔자바,충남 계룡시 엄사면 번영1길 21,4550,127.243211901255,36.2897639979561
37,"여관,모텔",호텔더존,충남 계룡시 엄사면 번영1길 5-20,4539,127.24293049956192,36.289479794683636
38,"여관,모텔",캔버스모텔,충남 계룡시 엄사면 번영1길 6-11,4644,127.244029320157,36.2891603392121
39,"여관,모텔",태양모텔,충남 계룡시 엄사면 번영1길 17,4577,127.243362273791,36.2894356597051
40,"여관,모텔",드림무인텔,충남 계룡시 엄사면 번영1길 6-9,4656,127.244064301457,36.2889547970179
41,"여관,모텔",모텔S,충남 계룡시 엄사면 번영1길 7,4654,127.243885253765,36.2886523632441
42,"노인,요양병원",계룡장수요양병원,충남 계룡시 엄사면 향적산길 48-8,2856,127.217344869914,36.2861081258151
43,"노인,요양병원",대정요양병원,충남 논산시 상월면 계룡산로237번길 38-60,3375,127.15921094936031,36.30978103759655
44,"노인,요양병원",태경의료재단,충남 계룡시 엄사면 향적산길 48-8,2857,127.21728683275283,36.28605235758866
45,내과,박상준내과,충남 계룡시 엄사면 번영로 44,4366,127.240555701601,36.2889871400852
46,동물병원,노아동물병원,충남 계룡시 엄사면 번영로 56,4246,127.239108736993,36.2890369039915
47,이비인후과,상쾌한이비인후과의원,충남 계룡시 엄사면 번영로 38,4417,127.241143272387,36.2889282805923
48,안과,눈편한안과,충남 계룡시 엄사면 번영로 42,4385,127.24076937287,36.2889686862906
49,치과,계룡리더스치과의원,충남 계룡시 엄사면 번영로 44,4367,127.2406093546,36.2890591271617
50,정형외과,현대 정형외과,충남 계룡시 엄사면 엄사중앙로 96,4498,127.242275032769,36.2891819302093
51,이비인후과,이운우이비인후과,충남 계룡시 엄사면 번영로 42,4385,127.240791735734,36.2890010840213
52,통증클리닉,삼성연합통증의학과의원,충남 계룡시 엄사면 번영로 42,4385,127.24078949280141,36.28899568141113
53,동물병원,신도안동물병원,충남 계룡시 엄사면 전원로 8,4409,127.241855891324,36.29043362716
54,비뇨기과,김피부비뇨기과의원,충남 계룡시 엄사면 번영로 38,4417,127.241143283479,36.2889318853211
55,소아청소년과,김민정소아과의원,충남 계룡시 엄사면 번영로 36,4433,127.241307831192,36.2888666678533
56,일반의원,현대내과의원,충남 계룡시 엄사면 엄사중앙로 96,4506,127.242359566213,36.2891601303999
57,"고속,시외버스터미널",금암시외버스승강장,,6249,127.25273375694,36.27241979941
58,KTX정차역,계룡역,충남 계룡시 두마면 팥거리로 95,7158,127.265253922439,36.2729874718231
59,"KTX,SRT정차역",공주역,충남 공주시 이인면 새빛로 100,9431,127.096832710763,36.332486503192
60,기차역,개태사역,충남 논산시 연산면 계백로 2625,7593,127.227154375379,36.2417512555638
61,기차역,부황역,충남 논산시 부적면 부황길 160-3,9752,127.152437972117,36.225150768691
