금강대학교,카테고리,건물명,도로명주소,사이거리,x좌표,y좌표
0,전시관CT1,한훈기념관,충남 계룡시 신도안면 계룡대1로 35,3272,127.23210349378869,36.2995324145867
1,문화원CT1,엄사문화쉼터,,4502,127.241988204466,36.2885805175678
2,미술관CT1,엄사문화쉼터 지하도갤러리,,4510,127.242117486201,36.2886307223894
3,"공연장,연극극장CT1",계룡문화예술의전당,충남 계룡시 엄사면 문화1로 13,4955,127.234126963059,36.2728938478149
4,박물관CT1,계룡산자연사박물관,충남 공주시 반포면 임금봉길 49-25,8033,127.244831824235,36.3663827752091
5,전시관CT1,계룡대실지구통합홍보관,충남 계룡시 대실남북로 36,6971,127.257040663848,36.2662663042549
6,문화원CT1,한국유교문화진흥원,충남 논산시 노성면 종학길 10,9014,127.09804849506041,36.289423217013606
7,미술관CT1,장옥미술관,충남 계룡시 두마면 팥거리2길 4-5,8132,127.273768488833,36.2674169544326
8,박물관CT1,계룡산도자문화관,충남 공주시 반포면 도예촌길 63,9376,127.21612701774295,36.38848449179515
9,전시관CT1,계룡산도예촌 종합전시장,충남 공주시 반포면 도예촌길 71-3,9495,127.216388496761,36.3895293792678
10,문화원CT1,얼레빗전수관,충남 공주시 계룡면 구룡말길 147,9480,127.18718747179162,36.390606948776714
11,"공연장,연극극장CT1",대전교육연수원 야외무대,충남 공주시 반포면 가마봉길 100,9999,127.23108813630294,36.39114197953295
12,저수지AT4,검정소류지,,1069,127.187210868649,36.299388541668
13,저수지AT4,윗진동저수지,,351,127.194046620476,36.3029823901472
14,저수지AT4,세점지,,1048,127.185245597971,36.3082196260685
15,산AT4,향적산,,1466,127.20180560624449,36.29301683447011
16,저수지AT4,띠울지,,574,127.19006997864,36.3049425503903
17,계곡AT4,잿골,,182,127.196226568547,36.3038619948719
18,계곡AT4,언골,,322,127.194495401784,36.3079526037027
19,계곡AT4,가심골,,533,127.194901691879,36.3101436254106
20,계곡AT4,바위골,,667,127.194953807254,36.3113979904259
21,계곡AT4,진동들,,874,127.186900908013,36.3038625180972
22,계곡AT4,쇠점들,,885,127.187084625328,36.3080617583927
23,저수지AT4,수정동소류지,,1619,127.19092466598,36.3193925942894
24,계곡AT4,멘재골,,1186,127.209321551731,36.3078122125401
25,계곡AT4,용골,,1167,127.192108692441,36.3154182765524
26,계곡AT4,분터골,,1254,127.190042481446,36.2954440829924
27,"콘도,리조트AD5",구룡콘도,충남 계룡시 신도안면 암용추로 89,3682,127.230295633677,36.324198628037
28,"야영,캠핑장AD5",나그네캠핑장,충남 논산시 연산면 선비로866번길 166-4,4376,127.18888626617672,36.26653213743635
