대구예술대학교,카테고리,건물명,도로명주소,사이거리,x좌표,y좌표
0,기념관CT1,다부동전적기념관,경북 칠곡군 가산면 호국로 1486,1793,128.51887485672194,36.04643730458005
1,미술관CT1,갤러리쿤스트,경북 칠곡군 가산면 학산1길 57,2537,128.498770238411,36.0533208858065
2,미술관CT1,동락갤러리,경북 칠곡군 동명면 백송로 552-32,4360,128.53069855025,35.9968707073779
3,미술관CT1,수피아미술관,경북 칠곡군 가산면 학하들안2길 105,6402,128.48489031890006,36.08629475820892
4,"공연장,연극극장CT1",강동문화복지회관 천생아트홀,경북 구미시 인동가산로 392,8089,128.4550995975404,36.090158439549725
5,영화관CT1,호이영화관 with 씨네Q,경북 칠곡군 석적읍 석적로 646,9271,128.40939833400162,36.05140609355376
6,기념관CT1,칠곡호국평화기념관,경북 칠곡군 석적읍 강변대로 1580,9635,128.404051948667,36.0180435860357
7,전시관CT1,칠곡휴게소서울방향 꿀벌홍보관,경북 칠곡군 왜관읍 경부고속도로 158,7419,128.430972846326,36.012194121475
8,"공연장,연극극장CT1",강동문화복지회관 봉두아트홀,경북 구미시 인동가산로 392,8123,128.45425325836226,36.09002002861265
9,"공연장,연극극장CT1",강동문화복지회관 산자락야외무대,경북 구미시 인동가산로 392,8095,128.45448328669107,36.08985052722356
10,전시관CT1,연화예술원,경북 칠곡군 지천면 연화2길 21,9072,128.44752067799,35.9677907221869
11,"공연장,연극극장CT1",칠곡 향사아트센터,경북 칠곡군 석적읍 강변대로 1570,9652,128.404399026376,36.015599215505084
12,기념관CT1,왜관지구전적기념관,경북 칠곡군 석적읍 석적로 226,9684,128.403363642024,36.0187617472705
13,"공연장,연극극장CT1",교육문화회관 대공연장,경북 칠곡군 왜관읍 관문로1길 32,9373,128.41811938666,35.9919141954074
14,"공연장,연극극장CT1",칠곡야외공연장,경북 칠곡군 왜관읍 관문로1길 32,9348,128.41871962802,35.9914997779817
15,저수지AT4,다부지,,485,128.514432381568,36.0339479815962
16,산AT4,백운산,,1068,128.5057190483783,36.02306391466405
17,산AT4,황학산,,1034,128.498116280445,36.0333347521029
18,저수지AT4,사곡지,,1160,128.514070885057,36.0419545852192
19,저수지AT4,가천지,,1659,128.525482883715,36.0247641372623
20,자연휴양림AT4,칠곡황학산휴양림,경북 칠곡군 지천면 황학3길 40,2074,128.486549702726,36.0334787305516
21,산AT4,실봉산,,1705,128.52596081959823,36.03976366588584
22,산AT4,매봉산,,1716,128.51856408854533,36.01858098886774
23,저수지AT4,학산지,,2122,128.506537026336,36.0511581274118
24,저수지AT4,백운지,,2099,128.490760279004,36.0209511363424
25,저수지AT4,달서지,,2483,128.482042196585,36.0340211497586
26,온천AT4,도개온천,경북 칠곡군 석적읍 도개6길 30,3798,128.471077073546,36.0462278105284
27,저수지AT4,소야지,,2390,128.532969394465,36.0422082169872
28,"도자기,도예촌AT4",흙내음도예마을,경북 칠곡군 지천면 지천로 1051,2882,128.479714440451,36.0227460517885
29,테마파크AT4,행화촌자연테마파크,경북 칠곡군 지천면 지천로 798-9,4213,128.484086128756,36.0003221734657
30,"야영,캠핑장AD5",이화야영장,경북 칠곡군 지천면 황학4길 21,1965,128.48975074772,36.0396784458415
31,"야영,캠핑장AD5",팔공산금화자연휴양림 캠핑장,경북 칠곡군 가산면 가산로 323,4648,128.555151641208,36.051679861684
32,오토캠핑장AD5,꿈애오토캠핑장,경북 칠곡군 왜관읍 봉계1길 6,6261,128.453855930449,35.9984287707358
33,글램핑장AD5,가산글램핑,경북 칠곡군 가산면 학하2길 54-55,6992,128.47493816620172,36.08859030230434
34,대학병원HP8,칠곡경북대학교병원,대구 북구 호국로 807,9717,128.56412728286278,35.956715688889844
