대덕대학교,카테고리,건물명,도로명주소,사이거리,x좌표,y좌표
0,박물관,한국지질자원연구원 지질박물관,대전 유성구 과학로 124,1554,127.362278240109,36.377554499614
1,박물관,한국조폐공사 화폐박물관,대전 유성구 과학로 80-67,1593,127.37049802175667,36.37751126620407
2,과학관,국립중앙과학관,대전 유성구 대덕대로 481,1899,127.375211788533,36.3760690988584
3,"공연장,연극극장",대덕레파토리,대전 유성구 가정북로 68,32,127.365537387874,36.3910116607089
4,"공연장,연극극장",클라라하우스 대전점,대전 유성구 대덕대로578번길 14,1466,127.379442077432,36.3843320873719
5,메가박스,메가박스 대전신세계 아트앤사이언스,대전 유성구 엑스포로 1,2231,127.38080628473783,36.37542418153559
6,과학관,국립중앙과학관 과학교육관,대전 유성구 대덕대로 481,1741,127.373817036694,36.377100806552
7,아쿠아리움,대전엑스포아쿠아리움,대전 유성구 엑스포로 1,2275,127.381379528001,36.3752871772063
8,전시관,국립중앙과학관 꿈아띠체험관,대전 유성구 대덕대로 481,1895,127.375211996289,36.3761123544261
9,과학관,국립중앙과학관 미래기술관,,1785,127.374455825325,36.376915868229
10,과학관,국립중앙과학관 자연사관,대전 유성구 대덕대로 481,1968,127.375217414134,36.3753841909946
11,전시관,보다아트센터,대전 유성구 대덕대로 548,1590,127.37889064439,36.3818574223288
12,과학관,국립중앙과학관 천체관,대전 유성구 대덕대로 481,1828,127.375425242547,36.376890296375
13,롯데시네마,롯데시네마 대전둔산,대전 서구 대덕대로 325,3491,127.37902062133011,36.361786112139555
14,전시관,국립중앙과학관 과학기술관,대전 유성구 대덕대로 481,1885,127.375288449856,36.3762526969888
15,대전1호선,월평역 대전1호선,대전 서구 한밭대로 지하 595,3668,127.364599812571,36.3582587338705
16,대전1호선,정부청사역 대전1호선,대전 서구 한밭대로 지하 744,4010,127.381268082318,36.3574713520615
17,대전1호선,갈마역 대전1호선,대전 서구 한밭대로 지하 666,3798,127.372796710623,36.3575809907703
18,대전1호선,지족역 대전1호선,대전 유성구 노은로 273,4208,127.319497778302,36.3841073391355
19,대전1호선,갑천역 대전1호선,대전 서구 갑천도시고속도로 지하 1833,4172,127.354690249086,36.3547487461809
20,대전1호선,반석역 대전1호선,대전 유성구 북유성대로 지하 303,4576,127.31455508683969,36.392180531687046
21,대전1호선,유성온천역 대전1호선,대전 유성구 계룡로 지하 97,4698,127.341445807064,36.3537203343187
22,대전1호선,노은역 대전1호선,대전 유성구 노은로 지하 161,4682,127.317883531845,36.3741446787189
23,대전1호선,시청역 대전1호선,대전 서구 둔산중로 지하 55,4806,127.386751407456,36.3515240038326
24,대전1호선,구암역 대전1호선,대전 유성구 유성대로 703,4951,127.330731986244,36.356695510518
25,대전1호선,월드컵경기장역 대전1호선,대전 유성구 한밭대로 지하 155,5068,127.317844996337,36.366863297514
26,대전1호선,현충원역 대전1호선,대전 유성구 현충원로 지하 455,5310,127.3217976064,36.3590845904517
27,대전1호선,탄방역 대전1호선,대전 서구 문정로48번길 지하 19,5356,127.384569666381,36.3455472425069
28,대전1호선,용문역 대전1호선,대전 서구 계룡로 지하 644,6404,127.39341085383948,36.33816667133553
29,대전1호선,오룡역 대전1호선,대전 중구 계룡로 지하 793,7795,127.40492144995,36.3286893013728
30,천문대,대전시민천문대,대전 유성구 과학로 213-48,1516,127.353670899164,36.3815959116623
31,대덕사이언스길,대덕사이언스길 1코스,,742,127.3738161443464,36.390885107308094
32,천문대,대덕전파천문대,대전 유성구 대덕대로 776,1097,127.37504748494,36.3975498944608
33,산,매봉산,,1221,127.37184226886956,36.38154433496759
34,산,화봉산,,1435,127.38086311341,36.3950767091889
35,테마파크,엑스포과학공원,대전 유성구 대덕대로 480,2488,127.387083357596,36.3771630932471
36,대덕사이언스길,대덕사이언스길 2코스,대전 유성구 대학로 99,1712,127.36296203815101,36.37601682770846
37,산,우성이산,,1962,127.38592452073102,36.38486373700239
38,테마파크,과학공원,대전 유성구 대덕대로 481,2036,127.378220697206,36.3760740293115
39,워터테마파크,캐슬워터파크,대전 유성구 대덕대로 481,2200,127.377921819879,36.3741861201047
40,전망대,대전신세계아트&사이언스 디아트스페이스193,대전 유성구 엑스포로 1,2426,127.383381149478,36.3748689352296
41,"수목원,식물원",한밭수목원,대전 서구 둔산대로 169,3180,127.388037583592,36.3691431776998
42,동물원,티놀자애니멀파크,대전 유성구 대덕대로989번길 9-51,2851,127.375104060751,36.4158145624816
43,산,성두산,,2245,127.369827046478,36.3713709591936
44,계곡,새터날고개,,2144,127.370647755004,36.3724281941137
45,호텔,가온레지던스호텔,대전 유성구 대덕대로590번길 12-13,1439,127.379561156622,36.3849841560146
46,호텔,호텔오노마대전오토그래프컬렉션,대전 유성구 엑스포로 1,2362,127.38249029126342,36.37500155945718
47,"야영,캠핑장",국립중앙과학관 가족캠핑장,대전 유성구 대덕대로 481,1824,127.374326672476,36.3764756002772
48,호텔,호텔ICC,대전 유성구 엑스포로123번길 55,2912,127.392824322163,36.377061445626
49,특급호텔,롯데시티호텔 대전,대전 유성구 엑스포로123번길 33,2981,127.393033915649,36.3761920277723
50,"야영,캠핑장",하기숲캠핑장,,2989,127.332317919662,36.3932354644541
51,호텔,아이호텔,대전 유성구 엑스포로123번길 27-5,3072,127.393098543317,36.3748616870667
52,호텔,토요코인호텔 정부청사앞점,대전 서구 둔산중로134번길 13,4091,127.387621983712,36.3590405788287
53,특급호텔,계룡스파텔,대전 유성구 온천로 81,4243,127.348321815294,36.3556938882431
54,"여관,모텔",스파타워모텔,대전 유성구 온천로107번길 40,4150,127.35088046294163,36.35583779961582
55,호텔,스탕달호텔,대전 유성구 온천북로 14,4260,127.344632503137,36.3568472759764
56,"여관,모텔",디엠프레스호텔,대전 서구 한밭대로570번길 29-20,3818,127.363252300025,36.3569507281287
57,특급호텔,호텔인터시티,대전 유성구 온천로 92,4403,127.347865496643,36.3542965935945
58,"여관,모텔",호텔저스트슬립 유성온천점,대전 유성구 온천로101번길 10-1,4302,127.349538708442,36.3547603219501
59,호텔,레지던스호텔라인,대전 서구 둔산로51번길 76,4284,127.38060486243,36.3546618032719
60,이비인후과,르네이비인후과의원,대전 유성구 대덕대로 582,1396,127.37896791278838,36.38491935301782
61,내과,삼성우리내과의원,대전 유성구 신성남로 45,1491,127.349979932039,36.3866136872969
62,치과,자연치과의원,대전 유성구 가정로 314-8,1268,127.377493580953,36.3851889652382
63,치과,아름다운신성치과의원,대전 유성구 신성남로 49,1472,127.350201781794,36.3866256534746
64,"노인,요양병원",대전광역시립제1노인전문병원,대전 유성구 유성대로 1422,1695,127.373461023346,36.4051895567254
65,소아청소년과,연세소아과내과,대전 유성구 가정로 63,1534,127.349771983089,36.3859726630115
66,일반의원,중앙훼밀리의원,대전 유성구 신성남로 49,1470,127.350207524224,36.3866634857962
67,치과,하얀치과의원,대전 유성구 신성남로 51,1452,127.350381780514,36.3867494871377
68,외과,김병석 흉부외과,대전 유성구 신성로68번길 44,1503,127.349405146008,36.3876823556935
69,가정의학과,현대 가정의학과의원,대전 유성구 신성남로 41,1481,127.35002076228943,36.38677127248193
70,치과,미치과,대전 유성구 가정로 63,1535,127.349780786307,36.3859474044592
71,치과,림스코스모치과의원,대전 유성구 대덕대로 582,1397,127.3789734634773,36.384914829558824
72,동물병원,신성동물병원,대전 유성구 신성로62번길 30,1562,127.34863962037,36.3879729669996
73,동물병원,충남대학교 수의과대학 부속동물병원,대전 유성구 대학로 99,2553,127.34302857784,36.377250856133
74,치과,더스마트치과의원,대전 유성구 엑스포로 1,2308,127.38164371425019,36.37507455829408
75,"고속,시외버스터미널",유성고속버스터미널,대전 유성구 장대로 54,4358,127.33643215179,36.359869756879
76,"고속,시외버스터미널",유성시외버스정류소,대전 유성구 유성대로 699,5002,127.33042173500405,36.356307962214125
77,"고속,시외버스터미널",유성복합터미널 (2026년예정),,5101,127.33018911415897,36.35530739914149
78,"고속,시외버스터미널",대전복합터미널,대전 동구 동서대로1695번길 30,7842,127.436752202022,36.350324375384
79,"고속,시외버스터미널",대전서남부터미널,대전 중구 유등천동로 346,8935,127.388101519332,36.3128771372692
80,"고속,시외버스터미널",대전복합터미널 동관,대전 동구 동서대로1695번길 30,7828,127.437408288317,36.3513060565101
81,"고속,시외버스터미널",대전복합터미널 서관,대전 동구 동서대로 1689,7849,127.43676169959168,36.35022971749706
82,기차역,회덕역,대전 대덕구 회덕로34번길 83,5183,127.421769544586,36.4021269661243
83,기차역,대전조차장역,대전 대덕구 아리랑로 166,5530,127.421855664766,36.3710255467661
84,KTX정차역,서대전역,대전 중구 오류로 23,8354,127.40338836594,36.3225232187163
