,카테고리,건물명,도로명주소,사이거리,x좌표,y좌표
0,"공연장,연극극장",두원공과대학교 노천극장,경기 안성시 죽산면 관음당길 51,97,127.422996592982,37.0651095613559
1,박물관,초연보일러박물관,경기 안성시 죽산면 능앞길 213,2422,127.396121185992,37.0586209596024
2,"공연장,연극극장",죽산용설공연장,경기 안성시 죽산면 용설호수길 101,2744,127.451731394166,37.056710208124
3,"공연장,연극극장",극단서라벌,경기 안성시 죽산면 용설호수길 101,2762,127.45198842833008,37.056828169801356
4,전시관,서일농원 전시장,경기 안성시 일죽면 금일로 332,5118,127.475659982712,37.0818464494921
5,박물관,한국조리박물관,경기 안성시 일죽면 주래본죽로 158-60,6723,127.490294433163,37.0910173140262
6,박물관,이경순소리박물관,경기 안성시 삼죽면 동아예대길 47,6164,127.35329616390185,37.060024933985865
7,"공연장,연극극장",동아방송예술대학교 야외공연장,경기 안성시 삼죽면 동아예대길 47,5629,127.359444022048,37.0590801668001
8,박물관,예아리박물관,경기 용인시 처인구 백암면 원설로270번길 25,9981,127.364253835805,37.1413180516218
9,저수지,열원소류지,,477,127.424341913282,37.0603615448419
10,산,남산,,1105,127.42970013854766,37.05631629159212
11,저수지,용설저수지,,2237,127.4462477584,37.0579600166257
12,도보여행,용설저수지 수변산책로,,2284,127.44521824941376,37.05493990641888
13,산,바카프미산,,1876,127.421391306297,37.047485897238
14,저수지,용설저수지,,2391,127.442903147363,37.0504432375595
15,저수지,능저수지,,2206,127.39790365048,37.0675319512661
16,"수목원,식물원",한택식물원,경기 용인시 처인구 백암면 한택로 2,3634,127.406580236664,37.0945704852504
17,산,바가프미산,,2100,127.42344062607,37.0454647126328
18,산,뒷동산,,2066,127.400742667152,37.0711302611611
19,저수지,장계저수지,,2843,127.40711732791,37.0418671099604
20,산,비봉산,,2792,127.41536685406464,37.08889758472255
21,워터테마파크,안성내츄럴리조트 원더풀,경기 안성시 죽산면 죽양대로 136-16,3476,127.437460761262,37.0932783974292
22,관광농원,죽산미산딸농원,,2581,127.39460732811511,37.07110577767709
23,도보여행,경기옛길 영남길 제8길 죽주산성길,,3118,127.40805410999386,37.090018663715014
24,"여관,모텔",호텔H,경기 안성시 죽산면 죽주로 268-2,1254,127.42524010985228,37.07544216010312
25,"여관,모텔",호텔에이치,경기 안성시 죽산면 죽주로 268-2,1254,127.425240129979,37.0754457642872
26,펜션,안성숲속빌리지,경기 안성시 죽산면 용설로 232-70,1413,127.438097440913,37.0624020146626
27,펜션,안성퓨전펜션,경기 안성시 죽산면 용설로 300-23,1580,127.437975006225,37.0575331061343
28,펜션,펜션뜰안채,경기 안성시 죽산면 용설로 315-10,1855,127.4416856338912,37.05800412225942
29,펜션,물내음펜션,경기 안성시 죽산면 용설로 315-12,1832,127.441504577753,37.0581904158674
30,"야영,캠핑장",용설호수캠핑장,경기 안성시 죽산면 용설호수길 234,2352,127.44237615800694,37.05048665285973
31,민박,다온누리펜션,경기 안성시 죽산면 용설호수길 66,2408,127.4483217775,37.0580999714581
32,"여관,모텔",에로스파크,경기 안성시 일죽면 서동대로 7094,2332,127.438492146055,37.0809660831577
33,"야영,캠핑장",안성시 다목적야영장,경기 안성시 죽산면 용설호수길 55-33,2686,127.45211558147768,37.060067917700344
34,"여관,모텔",샷모텔,경기 안성시 죽산면 걸미로 533,2382,127.416316317653,37.0434607179372
35,펜션,프로방스펜션,경기 안성시 죽산면 용설호수길 134,2799,127.45142681267276,37.05463891530636
36,"여관,모텔",그랑벨리모텔,경기 안성시 죽산면 걸미로 544,2253,127.41675406385328,37.04457650680998
37,펜션,송지원펜션,경기 안성시 죽산면 용설호수길 245-13,2492,127.4429854656572,37.04913277826409
38,펜션,강산에뜰,경기 안성시 죽산면 용설호수길 49,2390,127.44865102307,37.0597891261413
39,일반의원,연세의원,경기 안성시 죽산면 서부길 4-2,1127,127.4201737605548,37.07437893874126
40,일반의원,성모의원,경기 안성시 죽산면 죽주로 256,1177,127.42369103454095,37.07493589933427
41,일반의원,우리들의원,경기 안성시 죽산면 죽주로 271,1296,127.42523218286244,37.07583505244386
42,치과,유희돈치과의원,경기 안성시 죽산면 죽주로 256,1183,127.423708183122,37.0749862976704
43,동물병원,유수의과병원,경기 안성시 죽산면 죽산초교길 15,1247,127.420377847777,37.0754964363887
44,치과,박종환치과의원,경기 안성시 죽산면 죽주로 283,1377,127.426410268373,37.0763570442869
45,"노인,요양병원",파라밀요양병원,경기 안성시 죽산면 녹배길 139,3004,127.38861513484366,37.064755022229726
46,정신건강의학과,동안성병원,경기 안성시 일죽면 금일로 1-38,4633,127.473531524333,37.0564233539694
47,동물병원,발라드동물병원주식회사,경기 안성시 일죽면 서동대로 7381-8,4820,127.466771617006,37.0893173204613
48,동물병원,일죽종합동물병원,경기 안성시 일죽면 금일로 428,5646,127.477325485142,37.0899024493955
49,일반의원,자애의원,경기 안성시 일죽면 금일로 465-10,5906,127.478049482933,37.0934280833424
50,외과,중앙외과의원,경기 안성시 일죽면 금일로 460,5878,127.47832331031,37.0926124213011
51,치과,편한치과의원,경기 안성시 일죽면 주래본죽로 14,5802,127.476069575227,37.0941100407624
52,치과,김동철치과의원,경기 안성시 일죽면 송천길 89,5799,127.47639980756898,37.093676206000914
53,"노인,요양병원",안성현대요양병원,경기 안성시 금광면 삼흥로 453-69,7475,127.3609715978145,37.01840115877607
0,"고속,시외버스터미널",죽산시외버스터미널,경기 안성시 죽산면 죽주로 290,1352,127.42707945725623,37.07596898123154
1,"고속,시외버스터미널",일죽터미널,경기 안성시 일죽면 주래본죽로 25,5904,127.477500022872,37.0940574344729
2,"고속,시외버스터미널",동아방송예술대학교 시외버스터미널,경기 안성시 삼죽면 동아예대길 47,5523,127.360972258769,37.0570066728557
