두원공대학교,카테고리,건물명,도로명주소,사이거리,x좌표,y좌표
0,"공연장,연극극장CT1",두원공과대학교 노천극장,경기 안성시 죽산면 관음당길 51,97,127.422996592982,37.0651095613559
1,"공연장,연극극장CT1",죽산용설공연장,경기 안성시 죽산면 용설호수길 101,2744,127.451731394166,37.056710208124
2,박물관CT1,초연보일러박물관,경기 안성시 죽산면 능앞길 213,2422,127.396121185992,37.0586209596024
3,"공연장,연극극장CT1",극단서라벌,경기 안성시 죽산면 용설호수길 101,2762,127.45198842833008,37.056828169801356
4,전시관CT1,서일농원 전시장,경기 안성시 일죽면 금일로 332,5118,127.475659982712,37.0818464494921
5,박물관CT1,한국조리박물관,경기 안성시 일죽면 주래본죽로 158-60,6723,127.490294433163,37.0910173140262
6,박물관CT1,이경순소리박물관,경기 안성시 삼죽면 동아예대길 47,6164,127.35329616390185,37.060024933985865
7,"공연장,연극극장CT1",동아방송예술대학교 야외공연장,경기 안성시 삼죽면 동아예대길 47,5629,127.359444022048,37.0590801668001
8,박물관CT1,예아리박물관,경기 용인시 처인구 백암면 원설로270번길 25,9981,127.364253835805,37.1413180516218
9,저수지AT4,열원소류지,,477,127.424341913282,37.0603615448419
10,산AT4,남산,,1105,127.42970013854766,37.05631629159212
11,저수지AT4,용설저수지,,2237,127.4462477584,37.0579600166257
12,도보여행AT4,용설저수지 수변산책로,,2284,127.44521824941376,37.05493990641888
13,산AT4,바카프미산,,1876,127.421391306297,37.047485897238
14,저수지AT4,용설저수지,,2391,127.442903147363,37.0504432375595
15,저수지AT4,능저수지,,2206,127.39790365048,37.0675319512661
16,"수목원,식물원AT4",한택식물원,경기 용인시 처인구 백암면 한택로 2,3634,127.406580236664,37.0945704852504
17,산AT4,바가프미산,,2100,127.42344062607,37.0454647126328
18,산AT4,뒷동산,,2066,127.400742667152,37.0711302611611
19,저수지AT4,장계저수지,,2843,127.40711732791,37.0418671099604
20,산AT4,비봉산,,2792,127.41536685406464,37.08889758472255
21,워터테마파크AT4,안성내츄럴리조트 원더풀,경기 안성시 죽산면 죽양대로 136-16,3476,127.437460761262,37.0932783974292
22,관광농원AT4,죽산미산딸농원,,2581,127.39460732811511,37.07110577767709
23,도보여행AT4,경기옛길 영남길 제8길 죽주산성길,,3118,127.40805410999386,37.090018663715014
24,"야영,캠핑장AD5",용설호수캠핑장,경기 안성시 죽산면 용설호수길 234,2352,127.44237615800694,37.05048665285973
25,"야영,캠핑장AD5",안성시 다목적야영장,경기 안성시 죽산면 용설호수길 55-33,2686,127.45211558147768,37.060067917700344
26,"고속,시외버스터미널버스터미널",죽산시외버스터미널,경기 안성시 죽산면 죽주로 290,1352,127.42707945725623,37.07596898123154
