부산과학기술대학교,버스,버스노선,배차간격,지하철역
0,북구6,북구청-부산과학기술대학교,배차간격 7분현재 4대 운행중,True
1,46,구포3동-동래중학교,배차간격 10분현재 5대 운행중,True
2,160,구포3동-전포동,배차간격 12분현재 10대 운행중,True
3,169-1,구포3동-서면,배차간격 7분현재 13대 운행중,True
4,강서구19,강서구청-모라주공아파트,배차간격 20~25분현재 2대 운행중,True
5,124,김해구산동-서면,배차간격 23분현재 8대 운행중,True
6,128-1,김해 구산동-신라대,배차간격 8분현재 16대 운행중,True
7,169,당감4동-만덕,배차간격 6분현재 19대 운행중,True
8,1004,김해 구산동-국제여객터미널,배차간격 16분현재 10대 운행중,True
9,1004 (심야),김해 구산동-서구청,배차간격 30분,True
10,사상구1-1,르네시떼-모라벽산아파트,배차간격 10분현재 4대 운행중,True
11,31,해운대-모라주공,배차간격 5분현재 18대 운행중,True
12,148,금정공영차고지-모라주공,배차간격 10분현재 16대 운행중,True
13,338,다대포-모라주공,배차간격 11분현재 12대 운행중,True
14,8-1,삼계기점-덕천교차로,배차간격 정보없음현재 2대 운행중,True
