부산과학기술대학교,카테고리,건물명,도로명주소,사이거리,x좌표,y좌표
0,"공연장,연극극장",부산광역시 학생예술문화회관,부산 북구 낙동북로 737-1,563,129.001864032787,35.1993213996259
1,메가박스,메가박스 덕천,부산 북구 만덕대로 23,1835,129.00757600962348,35.210994223867914
2,박물관,부산과학기술대학교 박물관,부산 북구 시랑로132번길 88,83,129.00474907453363,35.193999118861136
3,"공연장,연극극장",부산광역시 학생예술문화회관 대극장,부산 북구 낙동북로 737-1,567,129.001891697772,35.1993750121592
4,"공연장,연극극장",부산광역시 학생예술문화회관 소극장,부산 북구 낙동북로 737-1,568,129.001860969726,35.1993755203443
5,"공연장,연극극장",부산광역시 학생예술문화회관 운영부,부산 북구 낙동북로 737-1,498,129.00197674064,35.1987247649163
6,"공연장,연극극장",부산과학기술대학교 야외공연장,부산 북구 시랑로132번길 88,125,129.003402781868,35.1938492839579
7,"공연장,연극극장",부산광역시 학생예술문화회관 총무부,부산 북구 낙동북로 737-1,570,129.001918920561,35.1994106086449
8,영화관,아세아극장,부산 북구 낙동대로 1704,1474,128.9971094418639,35.20655160785002
9,"공연장,연극극장",소극장624,부산 북구 백양대로 1167,1317,129.004338214953,35.2065402556529
10,박물관,북구근대역사관,부산 북구 구포만세길 113,1462,128.997971077544,35.2067644818203
11,전시관,만세갤러리,부산 북구 구포만세길 113,1463,128.99793810743,35.2067632237307
12,"공연장,연극극장",부산북구문화예술회관,부산 북구 금곡대로46번길 50,2086,129.005765083316,35.2134375699469
13,전시관,동산김형기선생 기념전시관,부산 사상구 모라로192번길 200,1595,128.998462950513,35.1811325211115
14,문화원,낙동문화원,부산 북구 금곡대로46번길 50,2065,129.005860089784,35.2132377390252
15,부산2호선,구남역 부산2호선,부산 북구 백양대로 지하 1026,893,128.994852323186,35.1966903928098
16,부산2호선,구명역 부산2호선,부산 북구 백양대로 지하 1094,1003,128.999556181232,35.2028092156488
17,부산2호선,모라역 부산2호선,부산 사상구 사상로 지하 498,1546,128.988569733613,35.1895447446342
18,부산3호선,구포역 부산3호선,부산 북구 낙동대로 1697,1513,128.996342494032,35.2066183302771
19,부산2호선,덕천역 부산2호선,부산 북구 금곡대로 지하 14,1750,129.00517512816737,35.210434749918534
20,부산3호선,덕천역 부산3호선,부산 북구 금곡대로 지하 14,1740,129.006060030657,35.2102966262274
21,부산3호선,숙등역 부산3호선,부산 북구 만덕대로 지하 79,2092,129.013192843436,35.2120778435626
22,부산2호선,모덕역 부산2호선,부산 사상구 사상로 지하 409,2328,128.985603131583,35.1804122918444
23,부산3호선,남산정역 부산3호선,부산 북구 만덕대로 지하 179,2722,129.02375291133384,35.21332375652248
24,부산3호선,강서구청역 부산3호선,부산 강서구 낙동북로 485,2739,128.981986450565,35.2111798817286
25,부산2호선,덕포역 부산2호선,부산 사상구 사상로 지하 320-1,3020,128.983801941146,35.173322543115
26,부산2호선,수정역 부산2호선,부산 북구 금곡대로 지하 160,3193,129.009105154949,35.2231832264448
27,부산3호선,만덕역 부산3호선,부산 북구 만덕대로 지하 291,3549,129.036274850219,35.2130037763101
28,부산2호선,사상역 부산2호선,부산 사상구 사상로 지하 203,3987,128.984408359544,35.1626895550862
29,부산김해경전철,사상역 부산김해경전철,부산 사상구 광장로 83,3960,128.985984203711,35.1623284852927
30,도보여행,구포무장애숲길 무장애탐방구간,,501,128.99886682636725,35.19511020565249
31,도보여행,구포무장애숲길 하늘바람전망대,,478,129.000428264366,35.191811367658
32,테마파크,구포어린이교통공원,부산 북구 낙동북로 687,737,129.000878326519,35.2006714255872
33,산,범방산,,498,129.003984873549,35.1901953247199
34,둘레길,백양산체험형웰빙숲길,부산 사상구 모라로 221,984,129.004057208228,35.185810842405
35,금정산둘레길,금정산둘레길 6코스,,896,129.01134526137076,35.18899185846307
36,도보여행,북구순환웰빙산책로,,453,128.999373332101,35.1948134669725
37,갈맷길,갈맷길6코스1구간 종점인증대,부산 북구 낙동대로 1697,1478,128.996173598948,35.2061777413246
38,둘레길,사색의숲길,부산 사상구 백양대로934번길 84,940,128.99538514235,35.1904671451285
39,숲,부산구포동당숲,,1119,129.007417875781,35.2044381638741
40,숲,백양산웰빙숲,,1313,129.011189054159,35.1842579166418
41,갈맷길,갈맷길 6코스2구간,,1652,129.01029131667113,35.18061047847551
42,갈맷길,갈맷길6코스2구간 시작인증대,,1474,128.99614593513,35.2061241274922
43,테마거리,덕천동젊음의거리,,1708,129.007117469009,35.2098970005022
44,먹자골목,삼락동재첩거리,부산 사상구 낙동대로1530번길 30-6,1643,128.986365316463,35.1935064380426
45,호텔,아몬드호텔,부산 북구 구포만세길 53,1367,128.99577269516905,35.20478123391865
46,"여관,모텔",A모텔,부산 북구 낙동대로 1664,1335,128.994659389504,35.20370466627
47,"여관,모텔",브라운도트호텔,부산 북구 낙동대로1762번길 27,1540,129.00121522376,35.2083149628124
48,"여관,모텔",MU모텔,부산 북구 가람로 54,1380,128.999345838549,35.2064101507912
49,"여관,모텔",V7모텔,부산 북구 낙동대로 1666,1335,128.9947532536748,35.20377160821285
50,"여관,모텔",이데아호텔,부산 북구 구포만세길 143,1489,128.999424497808,35.207468623987
51,"여관,모텔",구포 모텔캣츠,부산 북구 낙동대로1694번나길 21,1480,128.997594409202,35.2068067457369
52,"여관,모텔",브라운도트 덕천점,부산 북구 금곡대로8번길 20,1801,129.006303578862,35.2108233755962
53,"여관,모텔",은선장여관,부산 북구 낙동북로 651-5,1149,128.996396213873,35.202713584407
54,"여관,모텔",엘리스모텔,부산 북구 낙동대로 1666-1,1337,128.994838778782,35.203856710883
55,"여관,모텔",몽블랑모텔,부산 북구 가람로 40,1325,128.998279004207,35.2055302059474
56,"여관,모텔",샤롯데모텔,부산 북구 가람로8번길 8,1232,128.995808464532,35.2032820014037
57,"여관,모텔",대성장여관,부산 북구 가람로 4,1243,128.995530310639,35.2032217033804
58,"여관,모텔",중앙여인숙,부산 북구 구포만세길 5,1318,128.994197777481,35.2031463385951
59,"여관,모텔",청포장여관,부산 북구 가람로 6-1,1246,128.99566974988,35.2033563820248
60,일반의원,가남의원,부산 북구 시랑로131번길 40,669,129.011104520447,35.1970378704709
61,소아청소년과,최소아청소년과의원,부산 북구 시랑로 71,552,129.00583383480455,35.19949539216031
62,"노인,요양병원",부산은빛요양병원,부산 북구 백양대로1048번길 10,813,128.9966231908901,35.19835178964074
63,가정의학과,행복한가정의원,부산 북구 시랑로79번길 38,544,129.008200986275,35.198430615625
64,이비인후과,장윤석 이비인후과,부산 북구 백양대로 1013-1,934,128.994323529804,35.1964359644426
65,종합병원,구포부민병원,부산 북구 사상로 605,1312,128.99060465205633,35.19821480630641
66,정형외과,하나정형외과의원,부산 북구 백양대로 1149,1177,129.003705336782,35.2052710780272
67,내과,최태룡내과의원,부산 북구 시랑로 66,571,129.00535716782144,35.19975561678331
68,치과,2080치과의원,부산 북구 시랑로 75,515,129.0059902408335,35.199114310160525
69,정형외과,배정형외과의원,부산 북구 백양대로 1017,921,128.994545051489,35.196695456114
70,일반의원,파티마의원,부산 북구 시랑로 159,781,129.012718144937,35.1962288388834
71,내과,연세편안내과의원,부산 북구 백양대로 1017,923,128.994532940039,35.1967389118047
72,치과,내담치과의원,부산 북구 시랑로 80,445,129.005643499514,35.1985415066514
73,치과,박상훈 치과의원,부산 북구 시랑로 84,422,129.005930517435,35.1982483772144
