서라벌대학교,버스,버스노선,배차간격,지하철역
0,31,시외버스터미널-중앙시장,배차간격 80분현재 1대 운행중,False
1,40,문화중고등학교-새천년미소,배차간격 30~50분현재 1대 운행중,False
2,41,문화중고등학교-새천년미소,배차간격 30분현재 1대 운행중,False
3,50,신경주역-신경주역,배차간격 20분현재 3대 운행중,False
4,50 (문화고-용강-신경주),문화중고등학교-신경주역,배차간격 20분,False
5,50 (문화고-용강-차고지),문화중고등학교-문화중고등학교입구,배차간격 20분,False
6,50 (문화고입구-용강-신경주(문고경유)),문화중고등학교입구-신경주역,배차간격 20분,False
7,50 (신경주-용강-신경주(문고경유)),신경주역-신경주역,배차간격 20분,False
8,50 (신경주-용강-충효),신경주역-문화중고등학교입구,배차간격 20분,False
9,50 (신경주-터미널-신경주),신경주역-신경주역,배차간격 20분,False
10,51,신경주역-신경주역,배차간격 20분현재 5대 운행중,False
11,51 (문고-용강-문고-신경주),문화중고등학교입구-신경주역,배차간격 20분,False
12,51 (문고-용강-신경주),문화중고등학교-신경주역,배차간격 20분,False
13,51 (문화고-용강-차고지),문화중고등학교-문화중고등학교입구,배차간격 20분,False
14,51 (신경주-용강-문화고),신경주역-문화중고등학교입구,배차간격 20분,False
