서울기독대학교,버스,버스노선,배차간격,지하철역
0,7025,은평차고지-종로6가,배차간격 24분현재 8대 운행중더보기,True
1,7212,은평차고지-극동그린아파트앞,배차간격 14분현재 17대 운행중더보기,True
2,7730,은평차고지-이북오도청,배차간격 15분현재 11대 운행중더보기,True
3,7022,구산동-서울역,배차간격 15분현재 11대 운행중더보기,True
4,7722,진관공영차고지-녹번역,배차간격 20분현재 6대 운행중더보기,True
5,571,가산동-진관공영차고지,배차간격 13분현재 16대 운행중더보기,True
6,702A서오릉,서오릉-종로1가,배차간격 10분현재 15대 운행중더보기,True
7,702B용두초교,용두초교-종로1가,배차간격 15분현재 10대 운행중더보기,True
8,761,진관공영차고지-영등포역,배차간격 16분현재 13대 운행중더보기,True
9,은평05,힐스테이트302동앞-힐스테이트302동앞,배차간격 10분현재 2대 운행중더보기,True
10,은평02,임창파크-불광역,배차간격 25분현재 2대 운행중더보기,True
11,은평04,경향파크아파트-불광역,배차간격 25분현재 2대 운행중더보기,True
12,7719,북가좌동-녹번역,배차간격 26분현재 2대 운행중더보기,True
13,7715,은평차고지-연신내역,배차간격 11분현재 9대 운행중더보기,True
14,8774 (맞춤버스),구산동-서대문구청,배차간격 27분현재 3대 운행중더보기,True
