서울기독대학교,카테고리,건물명,도로명주소,사이거리,x좌표,y좌표
0,CJCGVCT1,CGV 불광,서울 은평구 불광로 20,1765,126.92918154846974,37.60947048970448
1,"공연장,연극극장CT1",은평문화예술회관,서울 은평구 녹번로 16,1392,126.927857538001,37.603667314488
2,"공연장,연극극장CT1",히든트리,서울 은평구 갈현로1길 5-4,326,126.909403928619,37.5990955805828
3,문화원CT1,도솔,서울 은평구 은평로 167,1204,126.92616215183976,37.60146514680882
4,"공연장,연극극장CT1",은평문화예술회관 숲속극장,서울 은평구 은평로21길 54,1460,126.92853554302302,37.60402334776131
5,미술관CT1,포마자동차디자인미술관,경기 고양시 덕양구 향뫼로 91,1726,126.896473051208,37.5917905221845
6,문화원CT1,한국역사문화원,서울 은평구 응암로13길 11-6,1330,126.916318289518,37.5890167887554
7,전시관CT1,서울기록원,서울 은평구 통일로62길 7,2111,126.93485848349184,37.60749879108225
8,전시관CT1,SeMA창고,서울 은평구 통일로 684,2153,126.93435743590821,37.60932571993423
9,메가박스CT1,메가박스 상암월드컵경기장,서울 마포구 월드컵로 240,3711,126.89821583795988,37.569187914348674
10,롯데시네마CT1,롯데시네마 상암(2025년오픈예정),,3094,126.89870939502596,37.57501597277034
11,"공연장,연극극장CT1",연신내인디스테이션,서울 은평구 연서로29길 19,2121,126.918206657734,37.619203979102
12,롯데시네마CT1,롯데시네마 은평,서울 은평구 통일로 1050,4058,126.918018419205,37.6369289518521
13,전시관CT1,시루뫼갤러리,서울 은평구 증산서길 89,1870,126.907035185828,37.5843499089428
14,전시관CT1,예술공간 서로,서울 은평구 갈현로33가길 4,2350,126.9137714372774,37.62177494260147
15,도보여행AT4,서울둘레길 7코스(봉산-앵봉산코스),,1485,126.89904442731073,37.59265770152093
16,먹자골목AT4,응암동감자국거리,서울 은평구 응암로4길 27-2,1526,126.917157976882,37.5873667630032
17,산AT4,백련산,,1677,126.92778880701992,37.591588587024475
18,산AT4,봉산,,1656,126.901056405398,37.612409108111
19,먹자골목AT4,응암전통주거리,,1328,126.914085860406,37.5887115505696
20,테마거리AT4,연신내로데오거리,서울 은평구 연서로29길 6,2113,126.919596892691,37.6188202127991
21,먹자골목AT4,불광먹자골목,서울 은평구 통일로66길 5-1,1961,126.930958670499,37.610534709918
22,도보여행AT4,서울명예도로 정지용길,,1623,126.92878249143064,37.60751330069631
23,산AT4,반홍산,,1790,126.903060913729,37.5863685397499
24,도보여행AT4,백련산나들길,,1971,126.92848842285491,37.58817785651625
25,북한산둘레길AT4,북한산둘레길 옛성길7구간,,3136,126.94698432423915,37.60759496019467
26,북한산둘레길AT4,북한산둘레길 구름정원길8구간,,3519,126.93626843562683,37.62612118319853
27,도보여행AT4,서울테마산책길 서울둘레길 7코스 서오릉고개 녹지연결로,,2399,126.90722868184464,37.621824039364554
28,산AT4,망월산,,2417,126.88668292727449,37.607736267428066
29,산AT4,고은산,,2827,126.939087571298,37.586352984971
30,수도권6호선SW8,응암역 6호선,서울 은평구 증산로 지하 477,353,126.9155399209037,37.5984928632876
31,기차역기차역,수색역,서울 은평구 수색로 261-1,2657,126.895659539922,37.5808157167381
