신경대학교,버스,버스노선,배차간격,지하철역
0,1002,전곡항-사당역(중),배차간격 30~60분현재 4대 운행중더보기,False
1,400-4,경기대후문-바이오밸리,배차간격 40~90분현재 5대 운행중더보기,False
2,22-3 (신경대),신경대학교-수원역.역전시장,배차간격 300분더보기,False
3,H160,신경대학교-수원역환승센터(2승강장),배차간격 125분현재 1대 운행중더보기,False
4,50-2 (금강),신경대학교-금강아파트,배차간격 90분더보기,False
5,50-8 (송산),신경대학교-어천역,배차간격 30~60분현재 4대 운행중더보기,False
6,H50-3,신경대학교-살곶이,배차간격 75~100분현재 1대 운행중더보기,False
7,H50-6,신경대학교-금강아파트,배차간격 40~75분현재 1대 운행중더보기,False
8,H50-7,신경대학교-사강복지회관,배차간격 90~110분현재 1대 운행중더보기,False
9,H50-4A,신경대학교-기업은행,배차간격 50~90분더보기,False
10,H50-4B,신경대학교-대광아파트,배차간격 70~100분현재 1대 운행중더보기,False
11,H106,신경대학교-조암터미널,배차간격 95분현재 1대 운행중더보기,False
12,H120B,신경대학교-향남부영10.11단지,배차간격 75분현재 2대 운행중더보기,False
13,7-1 (기업은행-어천역),기업은행-어천역,배차간격 60~120분더보기,False
