영남외대학교,카테고리,건물명,도로명주소,사이거리,x좌표,y좌표
0,박물관,경산시립박물관,경북 경산시 박물관로 46,4092,128.76321137857798,35.81405693080329
1,문화원,경산문화원,경북 경산시 서상길 75,3572,128.73411007082797,35.81842282655039
2,"공연장,연극극장",민아트홀,경북 경산시 중앙로 14-1,3761,128.729463759347,35.8199793538784
3,미술관,미술중심공간 보물섬,경북 경산시 경안로29길 36,3784,128.73382652784,35.8203418187727
4,"공연장,연극극장",경산시민회관 대강당,경북 경산시 계양로 28,3778,128.747792077122,35.8182327198273
5,박물관,대구한의대학교 박물관,경북 경산시 한의대로 1,3751,128.77401622844715,35.79348471235485
6,박물관,대구한의대학교 한의체험박물관,경북 경산시 한의대로 1,3755,128.774039964536,35.7935573533459
7,문화원,종이문화원,경북 경산시 경산로 107,3602,128.729545481887,35.8185444790744
8,"공연장,연극극장",경산생활체육공원 물소리야외무대,경북 경산시 남매로 100,3923,128.744159804034,35.820509478567
9,문화원,려원다례원,경북 경산시 성암로5길 1,4212,128.72036373885,35.8226601794161
10,"공연장,연극극장",대구한의대학교 야외공연장,경북 경산시 한의대로 1,3906,128.7757195519775,35.79368394233973
11,CJCGV,CGV 경산,경북 경산시 대학로28길 6-5,5204,128.73666956716002,35.83306434734083
12,롯데시네마,롯데시네마 경산,경북 경산시 강변동로 278,5347,128.73332739485141,35.83442735495809
13,CJCGV,CGV 대구스타디움,대구 수성구 유니버시아드로 140,6539,128.68744842173018,35.83169310421033
14,"공연장,연극극장",남천둔치 야외공연장,,4929,128.733586292405,35.8306614099553
15,대구2호선,정평역 대구2호선,경북 경산시 대학로 지하 60,5323,128.728671269463,35.8340447735875
16,대구2호선,임당역 대구2호선,경북 경산시 대학로 지하 170,5356,128.74084813804066,35.83412938415609
17,대구2호선,영남대역 대구2호선,경북 경산시 대학로 지하 270,5813,128.752763532,35.8362116642388
18,대구2호선,사월역 대구2호선,대구 수성구 달구벌대로 지하 3290,5871,128.71530783739777,35.83703160646826
19,대구2호선,신매역 대구2호선,대구 수성구 달구벌대로 지하 3180,6576,128.705125542668,35.8408117112752
20,대구2호선,고산역 대구2호선,대구 수성구 달구벌대로 지하 3080,7269,128.693244868779,35.8429442127885
21,대구2호선,대공원역 대구2호선,대구 수성구 달구벌대로 지하 2950,7915,128.679985217689,35.8426978198866
22,대구3호선,용지역 대구3호선,대구 수성구 범안로 83,8628,128.646534534337,35.8182678027764
23,대구1호선,반야월역 대구1호선,대구 동구 안심로 지하 261,9028,128.71360316643197,35.86596683682594
24,대구1호선,각산역 대구1호선,대구 동구 안심로 지하 363,9111,128.72424172030216,35.86799440106771
25,대구2호선,연호역 대구2호선,대구 수성구 달구벌대로 지하 2870,8722,128.67168212651,35.8465875965262
26,대구1호선,안심역 대구1호선,대구 동구 안심로 지하 455,9430,128.733769742803,35.8712130165849
27,대구3호선,범물역 대구3호선,대구 수성구 지범로 194,9274,128.640112691676,35.820839170227
28,대구1호선,신기역 대구1호선,대구 동구 안심로 지하 159,9375,128.7018717008197,35.866697748321876
29,대구1호선,율하역 대구1호선,대구 동구 안심로 지하 57,9979,128.692713541869,35.8698017965623
30,계곡,매천골,경북 경산시 경청로222길 30,1215,128.738847303544,35.7962847801874
31,계곡,꽃밭등골,,288,128.731917151195,35.7839816236448
32,계곡,방아골,,138,128.73462444346,35.7854060328933
33,산,안산,,513,128.729431980781,35.7830045243709
34,계곡,잡수골,,700,128.737891617453,35.7810478197458
35,산,기름산,,963,128.72478562096958,35.781244672226016
36,산,백자산,,1331,128.74819151089102,35.78684145460469
37,산,백자산,,1590,128.751039224106,35.7853230532197
38,계곡,못안골,,1084,128.733125571723,35.7764775765028
39,계곡,수골,,1193,128.723536771712,35.779181857865
40,저수지,망풍지,,1629,128.727015875115,35.7725392143387
41,저수지,이목지,,1895,128.713218242775,35.78192461899
42,계곡,구일골,,1526,128.72167592899,35.7960633682383
43,계곡,새터골,,1574,128.730579256116,35.7722608913312
44,산,금성산,,2022,128.71332748407616,35.79412265768285
45,펜션,경산관광펜션,경북 경산시 남천면 경청로 951,549,128.73315087776297,35.791190940542805
46,펜션,경산펜션,경북 경산시 남천면 경청로 951-1,562,128.73324300097153,35.79130766080124
47,"여관,모텔",플러스온천모텔,경북 경산시 남천면 경청로 967-10,716,128.733415946994,35.7927010230104
48,펜션,경산별관펜션,경북 경산시 남천면 경청로 949,534,128.73303481173,35.7910412234423
49,"여관,모텔",붐모텔,경북 경산시 남천면 경청로 967-8,730,128.73372932984546,35.792819958775766
50,"여관,모텔",호텔크라페,경북 경산시 장산로23길 7,3581,128.73707421547712,35.81837641147381
51,"여관,모텔",OK모텔,경북 경산시 원효로 28-2,4189,128.740552852916,35.8235499194363
52,"여관,모텔",페르가모무인모텔,경북 경산시 경안로 127,3644,128.737800134957,35.8188894721575
53,"여관,모텔",피아노호텔,경북 경산시 강변동로 100,3732,128.732966559512,35.8198712180735
54,"여관,모텔",하루호텔,경북 경산시 중앙로 72-6,3980,128.73491996391616,35.8220832396095
55,"여관,모텔",쉼표모텔,경북 경산시 원효로 28-4,4174,128.74050135070271,35.82342090296289
56,"여관,모텔",모텔썸,경북 경산시 중앙로18길 33,3834,128.737267732277,35.8206561745136
57,"여관,모텔",M모텔,경북 경산시 중앙로14길 37,3654,128.73535256963697,35.81913480533506
58,"여관,모텔",렉시모텔,경북 경산시 중앙로14길 7-1,3985,128.73472429282,35.8221419345317
59,"여관,모텔",별이보이는무인호텔썬,경북 경산시 서상길 72,3638,128.73463955567127,35.81901083147059
60,내과,백천 평안 내과의원,경북 경산시 경청로221길 3,2039,128.738637819176,35.8041312609657
61,치과,백천우리치과의원,경북 경산시 경청로221길 3,2040,128.738651246522,35.8041382757772
62,종합병원,경산중앙병원,경북 경산시 경안로 11,2577,128.74015172657693,35.808824067060584
63,이비인후과,준이비인후과,경북 경산시 경청로221길 1,2037,128.738915080172,35.8040623684029
64,"노인,요양병원",경상북도립 경산노인전문요양병원,경북 경산시 경안로 23-10,2622,128.739433610567,35.8093751408765
65,"노인,요양병원",동오요양원,경북 경산시 평산1길 37-35,3056,128.763248023426,35.7993031406184
