예원예술대학교,카테고리,건물명,도로명주소,사이거리,x좌표,y좌표
0,문화원,임실문화원,전북 임실군 임실읍 봉황로 131,3838,127.27753598685804,35.61264248244295
1,미술관,문화예술갤러리 시계탑,,3376,127.304215322105,35.6339926392456
2,박물관,신평생활사박물관,전북 임실군 신평면 석등슬치로 369,4339,127.224228575448,35.6572995542446
3,미술관,오궁리미술촌,전북 임실군 신덕면 수지로 667,6047,127.217571749614,35.6801286062024
4,기념관,장진영기념관,전북 임실군 운암면 임운로 1577,7900,127.183227950995,35.6500324588252
5,기념관,소충사 기념관,전북 임실군 성수면 산성로 725-23,7469,127.346978375465,35.6218115627734
6,저수지,청운지,,427,127.271666589882,35.6430409274209
7,계곡,진날골,,648,127.270670082277,35.640905324421
8,계곡,방주골,,723,127.277387997601,35.6436155245339
9,계곡,여시골,,809,127.263136345819,35.6424614117667
10,계곡,큰골,,833,127.267794820723,35.6395309829693
11,계곡,필골,,844,127.261609268038,35.6441339167051
12,계곡,구름골,,925,127.277005897161,35.6403970168437
13,계곡,맹산골,,957,127.2808487694,35.6456191700717
14,계곡,엄선골,,1399,127.262249111754,35.6574751218173
15,계곡,처마니골,,1105,127.264574572558,35.6379698632963
16,계곡,당산골,,1374,127.268230897242,35.659008547173
17,계곡,지아골,,1375,127.282983728815,35.639838745747
18,저수지,두실지,,1414,127.273929045043,35.6343293928411
19,계곡,구저골,,1374,127.279608264106,35.636912045581
20,계곡,서당골,,1387,127.257286153188,35.6402316534955
21,"여관,모텔",미무인호텔,전북 임실군 관촌면 춘향로 3076-44,1351,127.28473886481747,35.64346948811688
22,"여관,모텔",숲무인텔,전북 임실군 관촌면 춘향로 3076-30,1306,127.28395801880755,35.64278365191394
23,"여관,모텔",아담모텔,전북 임실군 임실읍 춘향로 2953-3,2165,127.287552882488,35.633176443593
24,오토캠핑장,임실치즈박사 캠핑장,전북 임실군 관촌면 춘향로 3441-26,2370,127.267452401894,35.6679726186632
25,민박,시온민박,전북 임실군 임실읍 치즈마을1길 19,2540,127.295580893091,35.63670086462
26,"여관,모텔",산수장여관,전북 임실군 관촌면 사선로 45,3061,127.269837383453,35.6743303344654
27,펜션,임실치즈펜션,,3422,127.304939520087,35.6342747128521
28,"여관,모텔",청수장,전북 임실군 임실읍 봉황8길 6,3656,127.281236172982,35.6149997846331
29,"여관,모텔",귀빈모텔,전북 임실군 임실읍 호국로 1758,3792,127.292194714786,35.6175694163805
30,펜션,임실힐링펜션,전북 임실군 임실읍 감천로 20,4271,127.28765090778118,35.610919831302525
31,펜션,미르펜션,전북 임실군 임실읍 감천로 22,4255,127.287256989214,35.6109478096856
32,"여관,모텔",하이디모텔,전북 임실군 관촌면 춘향로 3726-8,5033,127.2543442402825,35.69018690690868
33,"여관,모텔",호텔오마래,전북 임실군 관촌면 춘향로 3726-4,5032,127.25406004939269,35.69010458947119
34,"여관,모텔",맘편한정든장,전북 임실군 관촌면 춘향로 3726-10,5026,127.254233465047,35.6900934080398
35,"야영,캠핑장",방수리야영장,전북 임실군 관촌면 관마로 358-5,6025,127.281570654275,35.7002710688316
36,종합병원,임실군보건의료원,전북 임실군 임실읍 호국로 1680,4086,127.286975554898,35.6124950912514
37,일반의원,다사랑의원,전북 임실군 임실읍 봉황로 203,3375,127.282889418212,35.6180855291282
38,가정의학과,열린가정의학과의원,전북 임실군 관촌면 사선1길 11-1,2962,127.27067827136635,35.6734415879843
39,일반의원,중앙의원,전북 임실군 관촌면 사선로 40,3028,127.27023844606065,35.674033815316555
40,치과,관촌치과의원,전북 임실군 관촌면 사선로 29,2926,127.269691888606,35.6731085253056
41,가정의학과,전주 가정의학과의원,전북 임실군 관촌면 사선로 42,3048,127.270221392946,35.6742177146115
42,외과,관촌외과의원,전북 임실군 관촌면 사선로 56,3176,127.269832029645,35.6753650152424
43,정형외과,임실정형외과의원,전북 임실군 임실읍 봉황로 136,3821,127.278438744397,35.6129369236363
44,정형외과,기쁨정형외과의원,전북 임실군 임실읍 운수로 34,3843,127.284083492285,35.6139629327719
45,"노인,요양병원",임실중앙요양병원,전북 임실군 임실읍 봉황로 71,4083,127.272552499671,35.6099797339017
46,내과,임실내과의원,전북 임실군 임실읍 봉황로 159,3668,127.280153312725,35.6146598177689
47,치과,신치과의원,전북 임실군 임실읍 운수로 19,3679,127.28344488475078,35.61534340750804
48,동물병원,최동물병원,전북 임실군 관촌면 사선로 66-1,3267,127.26921176284,35.6761739499348
49,가정의학과,우리가정의원,전북 임실군 임실읍 봉황10길 57,3710,127.281610004265,35.6145879241126
50,동물병원,이동물병원,전북 임실군 임실읍 운수로 3,3521,127.282367462258,35.6165545643698
51,"고속,시외버스터미널",임실공용터미널,전북 임실군 임실읍 운수로 20,3698,127.28281671372136,35.6149915786936
52,"고속,시외버스터미널",관촌공용버스터미널,전북 임실군 관촌면 사선로 32,2922,127.27028384370198,35.673083764713795
53,기차역,임실역,전북 임실군 임실읍 춘향로 2932,2342,127.289923367353,35.6329256122817
