웅지세무대학교,카테고리,건물명,도로명주소,사이거리,x좌표,y좌표
0,박물관,파주공룡박물관,경기 파주시 탄현면 헤이리마을길 93-83,4538,126.69697259082362,37.7910918873121
1,박물관,취영루 만두박물관,경기 파주시 상골길 70,3761,126.725061652817,37.7852036386749
2,영화관,헤이리시네마,경기 파주시 탄현면 헤이리마을길 93-119,4449,126.69770377538445,37.791638845407945
3,전시관,통일문학관,,3304,126.698267547796,37.8193879398323
4,박물관,영집궁시박물관,경기 파주시 탄현면 국원말길 168,4252,126.711380964151,37.784936672401
5,미술관,아트센터화이트블럭,경기 파주시 탄현면 헤이리마을길 72,4553,126.699354352891,37.7888816308044
6,박물관,한국근현대사박물관,경기 파주시 탄현면 헤이리마을길 59-85,4674,126.695181987213,37.7908674345522
7,박물관,어린이토이박물관,경기 파주시 탄현면 헤이리마을길 93-127,4367,126.699071117066,37.7915369335884
8,미술관,한향림도자미술관,경기 파주시 탄현면 헤이리마을길 82-37,4434,126.70119318357665,37.78896198907878
9,"공연장,연극극장",예맥아트홀,경기 파주시 탄현면 헤이리마을길 82-146,4427,126.702135603044,37.7883625348228
10,박물관,잇츠콜라박물관,경기 파주시 탄현면 헤이리마을길 76-40,4551,126.700429290911,37.7880807134849
11,박물관,한향림옹기박물관,경기 파주시 탄현면 헤이리마을길 96-43,4372,126.700921294506,37.7899451461579
12,박물관,세계민속악기박물관,경기 파주시 탄현면 헤이리마을길 63-26,4512,126.699315760844,37.7894401267364
13,박물관,트릭아트,경기 파주시 탄현면 헤이리마을길 93-53,4632,126.696690685726,37.7900658712084
14,미술관,정문규미술관,경기 파주시 탄현면 새오리로 199,4609,126.68792039960042,37.80115717919658
15,경의중앙선,파주역 경의중앙선,경기 파주시 파주읍 주라위길 38,5021,126.79269130281,37.8153655831005
16,경의중앙선,월롱역 경의중앙선,경기 파주시 월롱면 통일로 980,5558,126.792585875504,37.7962146380874
17,경의중앙선,문산역 경의중앙선,경기 파주시 문산읍 문산역로 94,6097,126.787395378931,37.854626895054
18,경의중앙선,금촌역 경의중앙선,경기 파주시 새꽃로 193,6690,126.774633255205,37.7662265030421
19,경의중앙선,금릉역 경의중앙선,경기 파주시 금릉역로 85,7847,126.765410119425,37.7513389843704
