웅지세무대학교,카테고리,건물명,도로명주소,사이거리,x좌표,y좌표
0,박물관CT1,파주공룡박물관,경기 파주시 탄현면 헤이리마을길 93-83,4538,126.69697259082362,37.7910918873121
1,박물관CT1,취영루 만두박물관,경기 파주시 상골길 70,3761,126.725061652817,37.7852036386749
2,영화관CT1,헤이리시네마,경기 파주시 탄현면 헤이리마을길 93-119,4449,126.69770377538445,37.791638845407945
3,전시관CT1,통일문학관,,3304,126.698267547796,37.8193879398323
4,박물관CT1,영집궁시박물관,경기 파주시 탄현면 국원말길 168,4252,126.711380964151,37.784936672401
5,미술관CT1,아트센터화이트블럭,경기 파주시 탄현면 헤이리마을길 72,4553,126.699354352891,37.7888816308044
6,박물관CT1,한국근현대사박물관,경기 파주시 탄현면 헤이리마을길 59-85,4674,126.695181987213,37.7908674345522
7,박물관CT1,어린이토이박물관,경기 파주시 탄현면 헤이리마을길 93-127,4367,126.699071117066,37.7915369335884
8,미술관CT1,한향림도자미술관,경기 파주시 탄현면 헤이리마을길 82-37,4434,126.70119318357665,37.78896198907878
9,박물관CT1,한향림옹기박물관,경기 파주시 탄현면 헤이리마을길 96-43,4372,126.700921294506,37.7899451461579
10,박물관CT1,세계민속악기박물관,경기 파주시 탄현면 헤이리마을길 63-26,4512,126.699315760844,37.7894401267364
11,박물관CT1,잇츠콜라박물관,경기 파주시 탄현면 헤이리마을길 76-40,4551,126.700429290911,37.7880807134849
12,"공연장,연극극장CT1",예맥아트홀,경기 파주시 탄현면 헤이리마을길 82-146,4427,126.702135603044,37.7883625348228
13,박물관CT1,트릭아트,경기 파주시 탄현면 헤이리마을길 93-53,4632,126.696690685726,37.7900658712084
14,미술관CT1,정문규미술관,경기 파주시 탄현면 새오리로 199,4609,126.68792039960042,37.80115717919658
15,"수목원,식물원AT4",소울원,경기 파주시 탄현면 검산로 424-12,1347,126.734741511503,37.8059010224027
16,도보여행AT4,평화누리길 7코스(헤이리길),,1990,126.72512662213842,37.833841005867065
17,눈썰매장AT4,오금리썰매장,경기 파주시 탄현면 오금로148번길 45,2559,126.709491775715,37.8278842203144
18,도보여행AT4,헤이리무장애노을숲길,,4289,126.70028937676767,37.79152201971738
19,산AT4,보현산,,3267,126.700706211049,37.8083637696177
20,관광단지AT4,헤이리예술마을,,4634,126.698953062843,37.7881742544481
21,"도자기,도예촌AT4",도란도예,경기 파주시 상골길 79,3713,126.724919122948,37.7856790127877
22,테마파크AT4,아지동테마파크,경기 파주시 탄현면 헤이리마을길 93-75,4528,126.6963725757,37.7917858824089
23,테마파크AT4,사파리체험테마파크,경기 파주시 탄현면 헤이리마을길 93-75,4593,126.696399056894,37.7908633693109
24,유원지AT4,못난이유원지,경기 파주시 탄현면 헤이리마을길 59-78,4663,126.69565545397064,37.790580351826286
25,"도자기,도예촌AT4",이동구도예공방,경기 파주시 탄현면 국원말길 130,4435,126.710164700137,37.7835966626827
26,"도자기,도예촌AT4",도자기공방앤,경기 파주시 탄현면 헤이리마을길 93-75,4575,126.69612795809584,37.79135909849202
27,"도자기,도예촌AT4",해민도예카페,경기 파주시 탄현면 새오리로 209-19,4658,126.687446743606,37.8009270805373
28,"도자기,도예촌AT4",헤이리세라워크,경기 파주시 탄현면 헤이리마을길 59-118,4533,126.695771061855,37.7922888673485
29,먹자골목AT4,파주맛고을 음식문화거리,,4958,126.68461946,37.7993194466102
30,"야영,캠핑장AD5",진골농원,경기 파주시 탄현면 방촌로995번길 18-35,1117,126.728707259765,37.826378605475
31,"야영,캠핑장AD5",청풍명월야영장,경기 파주시 탄현면 방촌로955번길 237,1782,126.725819570413,37.831997470223
32,"야영,캠핑장AD5",박석캠핑장,경기 파주시 탄현면 동오리길 135-48,1960,126.739361498052,37.835444628976
33,종합병원HP8,메디인병원,경기 파주시 시청로 6,7495,126.774857855273,37.7580281577675
