,카테고리,건물명,도로명주소,사이거리,x좌표,y좌표
0,과학관,제주별빛누리공원,제주특별자치도 제주시 선돌목동길 60,1983,126.54916181126325,33.44453504133931
1,전시관,제주특별자치도 인재개발원 사료관,제주특별자치도 제주시 산천단동길 26,1107,126.560192477939,33.4467448096163
2,"공연장,연극극장",제주대학교 아라뮤즈홀,제주특별자치도 제주시 제주대학로 102,1691,126.55950378178605,33.45362789289274
3,"공연장,연극극장",난타극장 제주전용관,제주특별자치도 제주시 선돌목동길 56-26,2105,126.548172936221,33.4458802377721
4,박물관,제주대학교 박물관,제주특별자치도 제주시 제주대학로 102,2089,126.561852808619,33.4587681253365
5,"공연장,연극극장",제주난타파크,제주특별자치도 제주시 선돌목동길 56-26,2167,126.547353736509,33.4454048111465
6,전시관,제주별빛누리공원 전시관,제주특별자치도 제주시 선돌목동길 60,1989,126.549113080341,33.4445997794664
7,박물관,한라산국립공원 산악박물관,제주특별자치도 제주시 산록북로 588,2903,126.549092749993,33.4219153721201
8,미술관,갤러리2중선농원,제주특별자치도 제주시 영평길 269,4082,126.570027071483,33.4780657173803
9,기념관,제주4.3평화공원 제주4.3평화기념관,제주특별자치도 제주시 명림로 430,4818,126.620677633576,33.4508692676929
10,"공연장,연극극장",간드락소극장,제주특별자치도 제주시 아봉로 626-50,4756,126.59246599277688,33.4798365335032
11,롯데시네마,롯데시네마 제주아라,제주특별자치도 제주시 구산로 4,5693,126.535908152018,33.4838246695671
12,CJCGV,CGV 제주,제주특별자치도 제주시 서광로 288,7644,126.52729611982268,33.50008571867441
13,롯데시네마,롯데시네마 제주연동(2022년예정),,8256,126.494844113028,33.4807447361886
14,"공연장,연극극장",제주아트센터,제주특별자치도 제주시 오남로 231,6315,126.515539308158,33.4751310821302
15,오름,세미양오름,,766,126.56229684056099,33.4391111758499
16,오름,카카오오름,제주특별자치도 제주시 첨단로 242,1036,126.569581927794,33.4505870241464
17,숲,편백나무숲,,1328,126.556229296501,33.4439961318804
18,둘레길,아라동역사문화탐방로 1코스,,1394,126.55913201358645,33.43271661497726
19,둘레길,아라동역사문화탐방로 2코스,,1782,126.55218994260701,33.44691181563624
20,도보여행,제주대벚꽃길,,2246,126.55925116397,33.459339534077
21,오름,권제오름,,2055,126.55831363884946,33.45691900820213
22,숲,한라생태숲,제주특별자치도 제주시 516로 2596,2791,126.597699641656,33.4312933427524
23,오름,들레오름,,2179,126.58043926723447,33.45890544664989
24,산,궝망동산,,2241,126.565519912529,33.4610927331239
25,숲,숫모르숲길,제주특별자치도 제주시 516로 2596,3026,126.599966403087,33.4303521851181
26,"수목원,식물원",한라생태숲 수생식물원,제주특별자치도 제주시 516로 2596,2752,126.597772138253,33.4323610788415
27,산,홍샘이동산,,3114,126.548181607439,33.4624588902786
28,오름,들위오름,,3182,126.54024470650377,33.42728079679482
29,오름,개월이오름,,4277,126.61270040423942,33.42663921301031
30,펜션,관음사가는길펜션,제주특별자치도 제주시 산록북로 819,1518,126.554410306223,33.4375503658439
31,호텔,호텔난타,제주특별자치도 제주시 선돌목동길 56-26,2127,126.547910794578,33.4458269894688
