제주국제대학교,카테고리,건물명,도로명주소,사이거리,x좌표,y좌표
0,과학관CT1,제주별빛누리공원,제주특별자치도 제주시 선돌목동길 60,1983,126.54916181126325,33.44453504133931
1,전시관CT1,제주특별자치도 인재개발원 사료관,제주특별자치도 제주시 산천단동길 26,1107,126.560192477939,33.4467448096163
2,"공연장,연극극장CT1",제주대학교 아라뮤즈홀,제주특별자치도 제주시 제주대학로 102,1691,126.55950378178605,33.45362789289274
3,"공연장,연극극장CT1",난타극장 제주전용관,제주특별자치도 제주시 선돌목동길 56-26,2105,126.548172936221,33.4458802377721
4,박물관CT1,제주대학교 박물관,제주특별자치도 제주시 제주대학로 102,2089,126.561852808619,33.4587681253365
5,"공연장,연극극장CT1",제주난타파크,제주특별자치도 제주시 선돌목동길 56-26,2167,126.547353736509,33.4454048111465
6,전시관CT1,제주별빛누리공원 전시관,제주특별자치도 제주시 선돌목동길 60,1989,126.549113080341,33.4445997794664
7,박물관CT1,한라산국립공원 산악박물관,제주특별자치도 제주시 산록북로 588,2903,126.549092749993,33.4219153721201
8,미술관CT1,갤러리2중선농원,제주특별자치도 제주시 영평길 269,4082,126.570027071483,33.4780657173803
9,기념관CT1,제주4.3평화공원 제주4.3평화기념관,제주특별자치도 제주시 명림로 430,4818,126.620677633576,33.4508692676929
10,"공연장,연극극장CT1",간드락소극장,제주특별자치도 제주시 아봉로 626-50,4756,126.59246599277688,33.4798365335032
11,롯데시네마CT1,롯데시네마 제주아라,제주특별자치도 제주시 구산로 4,5693,126.535908152018,33.4838246695671
12,CJCGVCT1,CGV 제주,제주특별자치도 제주시 서광로 288,7644,126.52729611982268,33.50008571867441
13,롯데시네마CT1,롯데시네마 제주연동(2022년예정),,8256,126.494844113028,33.4807447361886
14,"공연장,연극극장CT1",제주아트센터,제주특별자치도 제주시 오남로 231,6315,126.515539308158,33.4751310821302
15,오름AT4,세미양오름,,766,126.56229684056099,33.4391111758499
16,오름AT4,카카오오름,제주특별자치도 제주시 첨단로 242,1036,126.569581927794,33.4505870241464
17,숲AT4,편백나무숲,,1328,126.556229296501,33.4439961318804
18,둘레길AT4,아라동역사문화탐방로 1코스,,1394,126.55913201358645,33.43271661497726
19,둘레길AT4,아라동역사문화탐방로 2코스,,1782,126.55218994260701,33.44691181563624
20,도보여행AT4,제주대벚꽃길,,2246,126.55925116397,33.459339534077
21,오름AT4,권제오름,,2055,126.55831363884946,33.45691900820213
22,숲AT4,한라생태숲,제주특별자치도 제주시 516로 2596,2791,126.597699641656,33.4312933427524
23,오름AT4,들레오름,,2179,126.58043926723447,33.45890544664989
24,산AT4,궝망동산,,2241,126.565519912529,33.4610927331239
25,숲AT4,숫모르숲길,제주특별자치도 제주시 516로 2596,3026,126.599966403087,33.4303521851181
26,"수목원,식물원AT4",한라생태숲 수생식물원,제주특별자치도 제주시 516로 2596,2752,126.597772138253,33.4323610788415
27,산AT4,홍샘이동산,,3114,126.548181607439,33.4624588902786
28,오름AT4,들위오름,,3182,126.54024470650377,33.42728079679482
29,오름AT4,개월이오름,,4277,126.61270040423942,33.42663921301031
30,"야영,캠핑장AD5",한라산국립공원 관음사지구야영장,제주특별자치도 제주시 산록북로 588,2730,126.551823212517,33.422015427673
31,"콘도,리조트AD5",한라산 리조트,제주특별자치도 제주시 선돌목동길 56-46,2481,126.543757073053,33.4446342853381
32,"콘도,리조트AD5",라헨느리조트,제주특별자치도 제주시 명림로 374,4279,126.61386077599792,33.4533032921312
33,대학병원HP8,제주대학교병원,제주특별자치도 제주시 아란13길 15,3698,126.545256412592,33.4672735491047
