한국국제대학교,버스,버스노선,배차간격,지하철역
0,"260 (진양호차고지,경해여자고등학교-한국국제대)",진양호차고지/경해여자고등학교-한국국제대,배차간격 79분,False
1,"260 (한국국제대-진양호차고지,경해여자고등학교)",한국국제대-진양호차고지/경해여자고등학교,배차간격 79분,False
2,"280 (진양호차고지,경해여자고등학교-한국국제대)",진양호차고지/경해여자고등학교-한국국제대,배차간격 29분현재 1대 운행중,False
3,"280 (한국국제대-진양호차고지,경해여자고등학교)",한국국제대-진양호차고지/경해여자고등학교,배차간격 29분현재 1대 운행중,False
4,"281 (경상남도수목원주차장-진양호차고지,경해여자고등학교)",경상남도수목원주차장-진양호차고지/경해여..,배차간격 59분현재 2대 운행중,False
5,380 (경상남도수목원-판문동차고지),경상남도수목원주차장-판문동차고지,배차간격 37분현재 2대 운행중,False
6,381 (경상남도수목원주차장-판문동차고지),경상남도수목원주차장-판문동차고지,배차간격 84분,False
7,"281 (진양호차고지,경해여자고등학교-경상남도수목원주차장)",진양호차고지/경해여..-경상남도수목원주차장,배차간격 30분현재 2대 운행중,False
8,380 (판문동차고지-경상남도수목원주차장),판문동차고지-경상남도수목원주차장,배차간격 38분현재 1대 운행중,False
9,381 (판문동차고지-경상남도수목원주차장),판문동차고지-경상남도수목원주차장,배차간격 89분현재 1대 운행중,False
