한국국제대학교,카테고리,건물명,도로명주소,사이거리,x좌표,y좌표
0,미술관,상환호미술관,경남 진주시 진성면 달음산로 452,2435,128.211816591314,35.1939817267166
1,과학관,경상남도교육청 과학교육원,경남 진주시 진성면 진의로 178-35,3727,128.22587454201732,35.20157143521239
2,전시관,진양군역사관,경남 진주시 문산읍 월아산로1048번길 26-11,3490,128.168104380796,35.16355462741
3,CJCGV,CGV 진주혁신,경남 진주시 에나로127번길 30,5617,128.14380322972704,35.180687649684586
4,롯데시네마,롯데시네마 진주혁신,경남 진주시 동진로 440,5936,128.140235904071,35.1805626607867
5,박물관,한국토지주택공사 토지주택박물관,경남 진주시 충의로 19,5377,128.145987682241,35.1777071439154
6,미술관,진주시립이성자미술관,경남 진주시 에나로128번길 14,5655,128.14274825381574,35.17590271348421
7,롯데시네마,롯데시네마 엠비씨네,경남 진주시 가호로 13,8889,128.1077424579916,35.163950421322866
8,전시관,진주익룡발자국전시관,경남 진주시 영천강로68번길 22,5983,128.139212251213,35.1688806694131
9,전시관,저작권 교육체험관 (2022년9월예정),,6436,128.134486374045,35.1791853972091
10,박물관,한국드론박물관,,5876,128.143227667014,35.156826728121
11,전시관,스타트업제품홍보관,경남 진주시 동진로 440,5957,128.139926565343,35.1801077144011
12,박물관,경상남도수목원 산림박물관,경남 진주시 이반성면 수목원로 386,8491,128.296859551521,35.1614190009807
13,박물관,한국드론박물관,경남 진주시 동진로 195-5,8444,128.112461990263,35.1802297166526
14,과학관,남부산림과학관,경남 진주시 진주대로 672,8967,128.106619834005,35.1661508456951
15,저수지,법윤소류지,,516,128.208531780912,35.1693805407307
16,저수지,계곡못,,895,128.195034193476,35.1713927560428
17,산,월아산,,1118,128.192750605736,35.1751168694461
18,저수지,상동소류지,,1105,128.21175017846,35.1809317518835
19,계곡,실방골,,937,128.198312422505,35.166201374742
20,저수지,상이저수지,,1422,128.190626681377,35.1783616859543
21,계곡,방목골,,979,128.213690758653,35.1776640766333
22,산,월아산,,1553,128.21324994804672,35.16070261625936
23,계곡,불단골,,1120,128.204810854029,35.1829189290223
24,자연휴양림,월아산산림욕장,,1887,128.190706729055,35.1853549125293
25,저수지,충티소류지,,1385,128.199248217835,35.1611629036846
26,계곡,닭골,,1231,128.191869624591,35.1693581770103
27,계곡,낙당골,,1283,128.20263165358,35.1613745114998
28,계곡,물통골,,1338,128.197107591367,35.1831431329902
29,계곡,용기미골,,1532,128.216279529599,35.1828439440073
30,"여관,모텔",오페라모텔,경남 진주시 진성면 동부로 1364,2514,128.225343815011,35.1878754779461
31,펜션,해와달힐링펜션,경남 진주시 진성면 달음산로 353-10,2740,128.200727857681,35.1973007771588
32,민박,신궁,경남 진주시 진성면 동산길 112,2737,128.211656727319,35.1968205752735
33,펜션,유성펜션,경남 진주시 금산면 월아산로1440번길 66,3351,128.17328126275441,35.188518183999605
34,"야영,캠핑장",풀벌레 휴양마을 캠핑장,경남 진주시 진성면 진성로276번길 87-15,3125,128.235782034073,35.1608786236865
35,호텔,뉴라온스테이호텔,경남 진주시 영천강로 166,5971,128.1395210065803,35.17842160041389
36,호텔,골든비즈니스호텔,경남 진주시 에나로 101,5887,128.140372199629,35.1777457279871
37,호텔,브라운도트호텔 진주충무공점,경남 진주시 에나로 103-9,5903,128.14028594233517,35.17856491727809
38,호텔,뉴그랜드호텔,경남 진주시 에나로 97,5924,128.139968788555,35.1777855776376
39,"여관,모텔",부메랑모텔,경남 진주시 에나로 103-7,5890,128.140378040194,35.1781638745334
40,호텔,라온스테이인페를라호텔,경남 진주시 영천강로 164,5965,128.139551689656,35.1781031540629
41,"야영,캠핑장",꾸러기캠핑장,경남 진주시 금곡면 검암길 31,6685,128.182291278204,35.1154535473515
42,"여관,모텔",피렌체모텔,경남 진주시 에나로 103-7,5896,128.14032703204433,35.178205814447445
43,"여관,모텔",넘버25호텔 진주상평점,경남 진주시 남강로 1247,7126,128.126493198787,35.1730302360079
44,"여관,모텔",코지모텔,경남 진주시 에나로 103-7,5891,128.140369460802,35.1781783760586
45,동물병원,드림벳동물병원,경남 진주시 문산읍 문산로 923,1130,128.197837241462,35.1643349926232
46,정신건강의학과,진주성남병원,경남 진주시 문산읍 문산로 831,1800,128.201584284059,35.156799129388816
47,"노인,요양병원",진주노인요양병원,경남 진주시 문산읍 제곡길98번길 41,3416,128.17552278412748,35.15349380589188
48,정신건강의학과,진주정신병원,경남 진주시 문산읍 제곡길98번길 49-6,3382,128.17678490490425,35.15273888468485
49,정신건강의학과,새진주정신병원,경남 진주시 문산읍 제곡길98번길 36,3546,128.1738784268245,35.15331029348783
50,일반의원,성모의원,경남 진주시 문산읍 동부로591번길 4,3682,128.164701125387,35.1681119015419
51,일반의원,문산현대의원,경남 진주시 문산읍 동부로 571,3865,128.162979578241,35.1665349526261
52,치과,새롬 치과의원,경남 진주시 문산읍 월아산로 1075,3871,128.16281918316048,35.166987140321574
53,신경외과,용한신경외과의원,경남 진주시 충의로 119,4789,128.15217852126221,35.17456777871822
54,이비인후과,수이비인후과의원,경남 진주시 사들로 56,5066,128.149096039986,35.1726845127732
55,정형외과,튼튼한정형외과의원,경남 진주시 사들로 50,5108,128.148648684936,35.1720172903708
56,이비인후과,혁신이비인후과의원,경남 진주시 사들로 97,5129,128.148561746183,35.1762154507676
57,안과,혁신우리안과의원,경남 진주시 사들로 50,5108,128.148647600099,35.1720182019553
58,내과,속튼튼혁신내과의원,경남 진주시 사들로 97,5129,128.148561746183,35.1762154507676
59,동물병원,굿닥터동물병원,경남 진주시 사들로 52,5100,128.14873668690527,35.172186800782086
60,"고속,시외버스터미널",반성터미널,경남 진주시 일반성면 동부로 1948-1,6460,128.275599920369,35.1716093279808
61,"고속,시외버스터미널",진주터미널 (2025년예정),,8792,128.109799969962,35.1585075526817
62,기차역,반성역,경남 진주시 일반성면 일사로 787,4863,128.258037681081,35.1747420205248
63,KTX정차역,진주역,경남 진주시 진주역로 130,8280,128.11788467810103,35.150773951788985
