한국국제대학교,카테고리,건물명,도로명주소,사이거리,x좌표,y좌표
0,미술관CT1,상환호미술관,경남 진주시 진성면 달음산로 452,2435,128.211816591314,35.1939817267166
1,과학관CT1,경상남도교육청 과학교육원,경남 진주시 진성면 진의로 178-35,3727,128.22587454201732,35.20157143521239
2,전시관CT1,진양군역사관,경남 진주시 문산읍 월아산로1048번길 26-11,3490,128.168104380796,35.16355462741
3,CJCGVCT1,CGV 진주혁신,경남 진주시 에나로127번길 30,5617,128.14380322972704,35.180687649684586
4,롯데시네마CT1,롯데시네마 진주혁신,경남 진주시 동진로 440,5936,128.140235904071,35.1805626607867
5,박물관CT1,한국토지주택공사 토지주택박물관,경남 진주시 충의로 19,5377,128.145987682241,35.1777071439154
6,미술관CT1,진주시립이성자미술관,경남 진주시 에나로128번길 14,5655,128.14274825381574,35.17590271348421
7,롯데시네마CT1,롯데시네마 엠비씨네,경남 진주시 가호로 13,8889,128.1077424579916,35.163950421322866
8,전시관CT1,진주익룡발자국전시관,경남 진주시 영천강로68번길 22,5983,128.139212251213,35.1688806694131
9,전시관CT1,저작권 교육체험관 (2022년9월예정),,6436,128.134486374045,35.1791853972091
10,박물관CT1,한국드론박물관,,5876,128.143227667014,35.156826728121
11,전시관CT1,스타트업제품홍보관,경남 진주시 동진로 440,5957,128.139926565343,35.1801077144011
12,박물관CT1,경상남도수목원 산림박물관,경남 진주시 이반성면 수목원로 386,8491,128.296859551521,35.1614190009807
13,박물관CT1,한국드론박물관,경남 진주시 동진로 195-5,8444,128.112461990263,35.1802297166526
14,과학관CT1,남부산림과학관,경남 진주시 진주대로 672,8967,128.106619834005,35.1661508456951
15,저수지AT4,법윤소류지,,516,128.208531780912,35.1693805407307
16,저수지AT4,계곡못,,895,128.195034193476,35.1713927560428
17,산AT4,월아산,,1118,128.192750605736,35.1751168694461
18,저수지AT4,상동소류지,,1105,128.21175017846,35.1809317518835
19,계곡AT4,실방골,,937,128.198312422505,35.166201374742
20,저수지AT4,상이저수지,,1422,128.190626681377,35.1783616859543
21,계곡AT4,방목골,,979,128.213690758653,35.1776640766333
22,산AT4,월아산,,1553,128.21324994804672,35.16070261625936
23,계곡AT4,불단골,,1120,128.204810854029,35.1829189290223
24,저수지AT4,충티소류지,,1385,128.199248217835,35.1611629036846
25,자연휴양림AT4,월아산산림욕장,,1887,128.190706729055,35.1853549125293
26,계곡AT4,닭골,,1231,128.191869624591,35.1693581770103
27,계곡AT4,낙당골,,1283,128.20263165358,35.1613745114998
28,계곡AT4,물통골,,1338,128.197107591367,35.1831431329902
29,계곡AT4,용기미골,,1532,128.216279529599,35.1828439440073
30,"야영,캠핑장AD5",풀벌레 휴양마을 캠핑장,경남 진주시 진성면 진성로276번길 87-15,3125,128.235782034073,35.1608786236865
31,"야영,캠핑장AD5",꾸러기캠핑장,경남 진주시 금곡면 검암길 31,6685,128.182291278204,35.1154535473515
32,기차역기차역,반성역,경남 진주시 일반성면 일사로 787,4863,128.258037681081,35.1747420205248
