한려대학교,버스,버스노선,배차간격,지하철역
0,9 (궁기-보건대학교),궁기-보건대학교,배차간격 정보없음,False
1,9 (중마터미널-보건대학교)(창덕),중마터미널-보건대학교,배차간격 20회현재 1대 운행중,False
2,9 (보건대학교-중마터미널)(창덕),보건대학교-중마터미널,배차간격 20회현재 2대 운행중,False
3,3 (송보7차-현대스틸),송보7차-현대스틸,배차간격 4회현재 1대 운행중,False
4,77 (제일고-광양터미널),제일고-시외버스터미널,배차간격 정보없음현재 5대 운행중,False
5,777 (청암대학-광양터미널),청암대학-시외버스터미널,배차간격 30회현재 1대 운행중,False
6,991 (송보7차-중마터미널),송보7차-중마터미널,배차간격 45회현재 5대 운행중,False
7,991 (창덕2차아파트-중마터미널)(마동),창덕2차아파트-중마터미널,배차간격 2회,False
8,3 (현대스틸-송보7차),현대스틸-송보7차,배차간격 4회,False
9,77 (광양터미널-제일고),시외버스터미널-제일고,배차간격 정보없음현재 6대 운행중,False
10,777 (광양터미널-청암대학),시외버스터미널-청암대학,배차간격 30회현재 1대 운행중,False
11,990 (사랑병원-송보7차),사랑병원-송보7차,배차간격 47회현재 5대 운행중,False
