분류,합산 검색 수,순위,관광지명,주소
쇼핑센터,18660,1,이마트태백점,강원 태백시 굴거랑길 4-0
콘도/리조트,16320,2,오투리조트타워콘도,강원 태백시 서학로 861-0
골프장,16293,3,오투CC,강원 태백시 서학로 861-0
호수,14442,4,황지연못,강원 태백시 황지연못길 0-0
관광명소기타,11439,5,매봉산바람의언덕,강원 태백시
관광안내소,9308,6,태백산국립공원유일사탐방지원센터,강원 태백시 태백산로 4246-1
재래시장,8888,7,황지자유시장,강원 태백시 시장안2길 21-1
운동장,6388,8,태백고원체육관,강원 태백시 태백로 1485-0
테마파크,6292,9,365세이프타운,강원 태백시 평화길 15-0
콘도/리조트,5992,10,오투리조트,강원 태백시 서학로 861-0
쇼핑기타,5625,11,하나로마트태백농협본점,강원 태백시 번영로 254-0
관광명소기타,5307,12,구문소,강원 태백시 동태백로 11-0
폭포/계곡,5293,13,검룡소,강원 태백시
절,4721,14,유일사,강원 태백시 태백산로 4246-167
박물관/기념관,4572,15,석탄박물관,강원 태백시 천제단길 195-0
동굴,4570,16,용연동굴,강원 태백시 태백로 283-29
공원,4406,17,태백스포츠파크,강원 태백시 백두대간로 179-0
쇼핑기타,4016,18,태백식자재마트,강원 태백시 상장로 34-10
카레이싱장,3989,19,태백스피드웨이,강원 태백시 사군드리길 240-0
테마파크,3935,20,통리탄탄파크,강원 태백시 통골길 116-44
펜션,2979,21,태백산민박촌,강원 태백시 천제단길 134-0
박물관/기념관,2848,22,태백고생대자연사박물관,강원 태백시 태백로 2249-0
촬영지,2690,23,태양의후예촬영지태백세트장,강원 태백시 통골길 112-0
명산,2638,24,함백산,강원 태백시
재래시장,2449,25,통리장,강원 태백시 강원남부로 0-0
공원,2113,26,당골광장,강원 태백시
운동장,1979,27,태백시종합경기장,강원 태백시 연화산길 10-0
호텔,1851,28,강원태백라마다호텔,강원 태백시 태백산로 4839-0
축제,1801,29,태백해바라기축제,강원 태백시 구와우길 38-20
공원,1756,30,오로라파크,강원 태백시 느릅령길 33-0
쇼핑기타,1734,31,다이소태백점,강원 태백시 시장북길 13-0
모텔/여관,1732,32,태백관광호텔,강원 태백시 기장밭길 7-1
모텔/여관,1721,33,태백무인텔,강원 태백시 서학로 964-0
박물관/기념관,1646,34,철암탄광역사촌,강원 태백시 동태백로 406-2
모텔/여관,1557,35,아르데코,강원 태백시 오투로 145-0
쇼핑기타,1500,36,롯데슈퍼태백점,강원 태백시 번영로 144-0
운동장,1464,37,태백시종합경기장고원1구장,강원 태백시 연화산길 10-0
호텔,1443,38,카스텔로호텔,강원 태백시 연지로 6-0
모텔/여관,1338,39,J1무인텔,강원 태백시 황지로 201-0
관광안내소,1268,40,태백산국립공원당골탐방지원센터,강원 태백시
축제,1096,41,태백산눈축제(태백산국립공원),강원 태백시
숙박기타,1059,42,블루문게스트하우스,강원 태백시 석공길 25-0
모텔/여관,1019,43,M모텔,강원 태백시 먹거리길 92-0
모텔/여관,953,44,리베라모텔,강원 태백시 고원로 87-0
캠프장,890,45,태백눈꽃야영장,강원 태백시 태백산로 4771-0
국/도립공원,875,46,태백산국립공원,강원 태백시 태백산로 4778-0
운동장,873,47,태백시종합경기장고원2구장,강원 태백시
스키장,826,48,오투리조트스키장,강원 태백시 서학로 861-0
모텔/여관,781,49,햇빛모텔,강원 태백시 연지로 2-0
재래시장,781,49,장성중앙시장,강원 태백시 장성1길 190-0
절,749,51,불정암,강원 태백시 천제단길 214-0
모텔/여관,732,52,동아모텔,강원 태백시 먹거리길 36-0
모텔/여관,730,53,프라미스모텔,강원 태백시 먹거리길 97-0
캠프장,720,54,구문소힐링캠프,강원 태백시 태백로 2417-0
쇼핑기타,654,55,태화체인유통,강원 태백시 태백로 844-0
운동장,648,56,장성실내체육관,강원 태백시 평화길 8-29
관광명소기타,623,57,철암단풍군락지,강원 태백시
모텔/여관,604,58,설화국가족호텔,강원 태백시 태백로 266-11
모텔/여관,574,59,모텔꿈드림,강원 태백시 사군드리길 136-0
촬영지,565,60,태양의후예촬영지태양의후예공원,강원 태백시
약수터,557,61,너덜샘,강원 태백시
수련장,557,61,태백시청소년수련관,강원 태백시 천제단길 148-0
운동장,548,63,태백시종합경기장고원3구장,강원 태백시 연화산길 10-0
모텔/여관,534,64,이지스모텔,강원 태백시 서황지로 88-0
모텔/여관,524,65,태백산모텔,강원 태백시 태백산로 4609-0
절,514,66,팔보암,강원 태백시 태백산로 4196-24
여행/레저기타,499,67,대덕산금대봉생태탐방로,강원 태백시
운동장,432,68,365세이프타운축구장,강원 태백시
모텔/여관,417,69,꿈모텔,강원 태백시 먹거리길 117-0
공원,407,70,태백체험공원,강원 태백시
유스호스텔,404,71,오투리조트유스호스텔,강원 태백시 서학로 861-0
모텔/여관,395,72,우진모텔,강원 태백시 천제단길 170-12
모텔/여관,380,73,엠플러스드라이브인모텔,강원 태백시 태백산로 4921-0
호텔,373,74,태백호텔,강원 태백시 태백산로 4761-0
축제,366,75,태백한강낙동강발원지축제,강원 태백시
자연휴양림,331,76,태백고원자연휴양림,강원 태백시 머리골길 153-0
모텔/여관,330,77,알프스모텔,강원 태백시 서황지로 16-11
모텔/여관,329,78,동아호텔,강원 태백시 먹거리길 36-0
펜션,316,79,태백 화전펜션,강원 태백시 태백로 368-0
쇼핑기타,313,80,다이소원마트태백점,강원 태백시 번영로 144-0
레저/스포츠기타,313,80,태백국민체육센터,강원 태백시 번영로 220-0
모텔/여관,309,82,유정모텔,강원 태백시 석공길 16-13
펜션,292,83,하늘펜션,강원 태백시 태백산로 4309-25
민박,278,84,아늑한돌집민박,강원 태백시 용담1길 46-0
절,262,85,등광사,강원 태백시 문곡길 48-0
쇼핑기타,261,86,태백경안만물,강원 태백시 태백산로 4836-0
모텔/여관,254,87,태평모텔,강원 태백시 광장로 16-0
축제,250,88,철암단풍축제,강원 태백시 동태백로 584-0
쇼핑기타,249,89,동행복권판매점복권명당,강원 태백시 황지로 32-0
쇼핑기타,232,90,다이소태백황지점,강원 태백시 황지로 168-0
절,224,91,백단사,강원 태백시 백단사길 124-0
콘도/리조트,217,92,오투리조트컨벤션센터,강원 태백시 서학로 861-0
고개/재/령,217,92,화방재,강원 태백시
모텔/여관,216,94,힐탑모텔,강원 태백시 서황지로 86-0
문화유적지,212,95,태백산천제단,강원 태백시 태백산로 0-0
펜션,203,96,태백산한옥펜션,강원 태백시 소롯골길 34-0
레저/스포츠기타,197,97,태백볼링장,강원 태백시 태백로 1451-0
모텔/여관,177,98,썬모텔,강원 태백시 연지로19번길 7-0
모텔/여관,169,99,그랜드모텔,강원 태백시 황지로 151-0
폭포/계곡,168,100,태백절골,강원 태백시
