"행정구역","2022년01월_거주자_총인구수","2022년01월_거주자_연령구간인구수","2022년01월_거주자_0~9세","2022년01월_거주자_10~19세","2022년01월_거주자_20~29세","2022년01월_거주자_30~39세","2022년01월_거주자_40~49세","2022년01월_거주자_50~59세","2022년01월_거주자_60~69세","2022년01월_거주자_70~79세","2022년01월_거주자_80~89세","2022년01월_거주자_90~99세","2022년01월_거주자_100세 이상","2022년01월_남_거주자_총인구수","2022년01월_남_거주자_연령구간인구수","2022년01월_남_거주자_0~9세","2022년01월_남_거주자_10~19세","2022년01월_남_거주자_20~29세","2022년01월_남_거주자_30~39세","2022년01월_남_거주자_40~49세","2022년01월_남_거주자_50~59세","2022년01월_남_거주자_60~69세","2022년01월_남_거주자_70~79세","2022년01월_남_거주자_80~89세","2022년01월_남_거주자_90~99세","2022년01월_남_거주자_100세 이상","2022년01월_여_거주자_총인구수","2022년01월_여_거주자_연령구간인구수","2022년01월_여_거주자_0~9세","2022년01월_여_거주자_10~19세","2022년01월_여_거주자_20~29세","2022년01월_여_거주자_30~39세","2022년01월_여_거주자_40~49세","2022년01월_여_거주자_50~59세","2022년01월_여_거주자_60~69세","2022년01월_여_거주자_70~79세","2022년01월_여_거주자_80~89세","2022년01월_여_거주자_90~99세","2022년01월_여_거주자_100세 이상"
"경상북도 경산시 (4729000000)","266,942","266,942","19,571","22,816","35,925","32,654","41,364","45,578","37,494","20,263","9,977","1,277","23","134,109","134,109","9,968","11,824","19,613","17,572","21,134","22,796","18,379","9,054","3,480","287","2","132,833","132,833","9,603","10,992","16,312","15,082","20,230","22,782","19,115","11,209","6,497","990","21"
"경상북도 경산시 하양읍(4729025000)","27,921","27,921","1,922","2,925","4,168","2,955","4,408","4,567","3,524","2,197","1,130","122","3","14,052","14,052","977","1,580","2,339","1,616","2,145","2,304","1,726","934","401","30","0","13,869","13,869","945","1,345","1,829","1,339","2,263","2,263","1,798","1,263","729","92","3"
"경상북도 경산시 진량읍(4729025300)","35,394","35,394","2,120","3,244","5,228","3,747","5,880","6,981","4,446","2,369","1,234","142","3","18,450","18,450","1,117","1,621","2,994","2,134","3,100","3,696","2,316","1,010","424","37","1","16,944","16,944","1,003","1,623","2,234","1,613","2,780","3,285","2,130","1,359","810","105","2"
"경상북도 경산시 압량읍(4729025600)","20,672","20,672","2,197","1,210","3,055","3,907","3,090","2,776","2,449","1,247","649","91","1","10,973","10,973","1,144","646","1,705","2,207","1,788","1,418","1,242","580","222","21","0","9,699","9,699","1,053","564","1,350","1,700","1,302","1,358","1,207","667","427","70","1"
"경상북도 경산시 와촌면(4729031000)","5,702","5,702","133","247","440","443","567","1,112","1,404","816","477","62","1","3,067","3,067","73","132","272","260","347","632","754","410","174","12","1","2,635","2,635","60","115","168","183","220","480","650","406","303","50","0"
"경상북도 경산시 자인면(4729033000)","5,403","5,403","130","234","421","387","552","966","1,347","834","468","62","2","2,754","2,754","72","126","230","238","346","492","706","388","149","7","0","2,649","2,649","58","108","191","149","206","474","641","446","319","55","2"
"경상북도 경산시 용성면(4729034000)","3,253","3,253","65","97","183","182","253","563","864","611","385","50","0","1,713","1,713","31","50","119","120","157","324","480","296","126","10","0","1,540","1,540","34","47","64","62","96","239","384","315","259","40","0"
"경상북도 경산시 남산면(4729035000)","3,704","3,704","112","155","245","217","358","658","918","591","385","64","1","1,924","1,924","58","78","156","129","205","367","496","299","121","15","0","1,780","1,780","54","77","89","88","153","291","422","292","264","49","1"
"경상북도 경산시 남천면(4729037000)","2,887","2,887","79","93","230","172","250","554","708","508","249","43","1","1,486","1,486","46","47","140","106","145","312","354","244","81","11","0","1,401","1,401","33","46","90","66","105","242","354","264","168","32","1"
"경상북도 경산시 중방동(4729051000)","9,530","9,530","484","549","1,456","1,122","1,188","1,799","1,745","812","338","37","0","4,597","4,597","250","272","733","594","584","829","838","378","111","8","0","4,933","4,933","234","277","723","528","604","970","907","434","227","29","0"
"경상북도 경산시 중앙동(4729052000)","6,312","6,312","181","364","919","685","741","1,202","1,176","660","349","34","1","3,128","3,128","93","189","517","399","379","601","575","260","103","12","0","3,184","3,184","88","175","402","286","362","601","601","400","246","22","1"
"경상북도 경산시 남부동(4729053000)","19,887","19,887","1,872","2,007","2,009","2,400","3,561","3,012","2,708","1,567","665","85","1","9,809","9,809","939","1,097","1,100","1,228","1,785","1,472","1,240","683","248","17","0","10,078","10,078","933","910","909","1,172","1,776","1,540","1,468","884","417","68","1"
"경상북도 경산시 서부1동(4729054100)","35,336","35,336","2,493","3,792","4,195","3,705","5,995","6,116","5,041","2,606","1,225","164","4","16,771","16,771","1,207","1,855","2,148","1,801","2,860","2,952","2,358","1,105","449","36","0","18,565","18,565","1,286","1,937","2,047","1,904","3,135","3,164","2,683","1,501","776","128","4"
"경상북도 경산시 서부2동(4729054200)","36,092","36,092","3,845","2,947","4,413","5,319","5,730","6,137","4,411","2,243","924","121","2","17,280","17,280","1,900","1,472","2,312","2,616","2,769","2,776","2,048","1,009","343","35","0","18,812","18,812","1,945","1,475","2,101","2,703","2,961","3,361","2,363","1,234","581","86","2"
"경상북도 경산시 북부동(4729055000)","16,099","16,099","949","762","3,722","2,761","2,104","2,425","1,937","960","419","59","1","8,785","8,785","517","410","2,032","1,685","1,223","1,315","959","479","154","11","0","7,314","7,314","432","352","1,690","1,076","881","1,110","978","481","265","48","1"
"경상북도 경산시 동부동(4729056000)","38,750","38,750","2,989","4,190","5,241","4,652","6,687","6,710","4,816","2,242","1,080","141","2","19,320","19,320","1,544","2,249","2,816","2,439","3,301","3,306","2,287","979","374","25","0","19,430","19,430","1,445","1,941","2,425","2,213","3,386","3,404","2,529","1,263","706","116","2"
