"행정구역","2022년01월_거주자_총인구수","2022년01월_거주자_연령구간인구수","2022년01월_거주자_0~9세","2022년01월_거주자_10~19세","2022년01월_거주자_20~29세","2022년01월_거주자_30~39세","2022년01월_거주자_40~49세","2022년01월_거주자_50~59세","2022년01월_거주자_60~69세","2022년01월_거주자_70~79세","2022년01월_거주자_80~89세","2022년01월_거주자_90~99세","2022년01월_거주자_100세 이상","2022년01월_남_거주자_총인구수","2022년01월_남_거주자_연령구간인구수","2022년01월_남_거주자_0~9세","2022년01월_남_거주자_10~19세","2022년01월_남_거주자_20~29세","2022년01월_남_거주자_30~39세","2022년01월_남_거주자_40~49세","2022년01월_남_거주자_50~59세","2022년01월_남_거주자_60~69세","2022년01월_남_거주자_70~79세","2022년01월_남_거주자_80~89세","2022년01월_남_거주자_90~99세","2022년01월_남_거주자_100세 이상","2022년01월_여_거주자_총인구수","2022년01월_여_거주자_연령구간인구수","2022년01월_여_거주자_0~9세","2022년01월_여_거주자_10~19세","2022년01월_여_거주자_20~29세","2022년01월_여_거주자_30~39세","2022년01월_여_거주자_40~49세","2022년01월_여_거주자_50~59세","2022년01월_여_거주자_60~69세","2022년01월_여_거주자_70~79세","2022년01월_여_거주자_80~89세","2022년01월_여_거주자_90~99세","2022년01월_여_거주자_100세 이상"
"경상북도 경주시 (4713000000)","250,581","250,581","15,236","20,160","25,447","24,220","35,413","46,295","43,294","24,948","13,616","1,902","50","125,334","125,334","7,784","10,513","14,340","12,940","18,421","23,938","21,481","11,180","4,358","375","4","125,247","125,247","7,452","9,647","11,107","11,280","16,992","22,357","21,813","13,768","9,258","1,527","46"
"경상북도 경주시 감포읍(4713025000)","5,370","5,370","138","226","330","320","574","970","1,257","937","532","82","4","2,688","2,688","75","115","205","184","359","562","616","378","175","18","1","2,682","2,682","63","111","125","136","215","408","641","559","357","64","3"
"경상북도 경주시 안강읍(4713025300)","23,942","23,942","977","1,922","2,128","1,614","3,090","4,821","4,547","2,933","1,703","202","5","11,800","11,800","514","970","1,189","885","1,609","2,490","2,256","1,298","548","40","1","12,142","12,142","463","952","939","729","1,481","2,331","2,291","1,635","1,155","162","4"
"경상북도 경주시 건천읍(4713025600)","9,189","9,189","301","488","663","623","948","1,601","2,101","1,464","884","115","1","4,671","4,671","159","274","411","375","558","867","1,046","666","289","25","1","4,518","4,518","142","214","252","248","390","734","1,055","798","595","90","0"
"경상북도 경주시 외동읍(4713025900)","22,088","22,088","1,364","1,177","2,053","2,655","2,949","4,405","4,118","2,064","1,117","183","3","11,658","11,658","701","636","1,174","1,531","1,746","2,380","2,170","973","313","34","0","10,430","10,430","663","541","879","1,124","1,203","2,025","1,948","1,091","804","149","3"
"경상북도 경주시 문무대왕면(4713031500)","4,192","4,192","192","179","425","445","346","658","865","586","427","67","2","2,202","2,202","108","113","280","250","218","393","446","269","115","9","1","1,990","1,990","84","66","145","195","128","265","419","317","312","58","1"
"경상북도 경주시 양남면(4713032000)","6,262","6,262","260","326","549","486","676","1,299","1,427","738","419","79","3","3,331","3,331","125","167","370","286","400","748","731","348","140","16","0","2,931","2,931","135","159","179","200","276","551","696","390","279","63","3"
"경상북도 경주시 내남면(4713033000)","4,627","4,627","92","191","259","233","383","847","1,136","811","589","85","1","2,338","2,338","49","91","163","144","222","469","617","384","179","20","0","2,289","2,289","43","100","96","89","161","378","519","427","410","65","1"
"경상북도 경주시 산내면(4713034000)","3,216","3,216","41","78","132","113","184","539","1,037","640","404","48","0","1,596","1,596","27","37","79","57","107","293","542","306","137","11","0","1,620","1,620","14","41","53","56","77","246","495","334","267","37","0"
"경상북도 경주시 서면(4713035000)","3,085","3,085","53","116","153","129","269","517","769","642","390","47","0","1,543","1,543","22","81","93","72","160","308","379","280","139","9","0","1,542","1,542","31","35","60","57","109","209","390","362","251","38","0"
"경상북도 경주시 현곡면(4713036000)","21,647","21,647","2,278","2,392","2,226","2,795","3,733","3,680","2,601","1,209","645","86","2","10,638","10,638","1,192","1,201","1,199","1,368","1,814","1,836","1,263","557","201","7","0","11,009","11,009","1,086","1,191","1,027","1,427","1,919","1,844","1,338","652","444","79","2"
"경상북도 경주시 강동면(4713037000)","6,046","6,046","165","288","460","317","650","1,216","1,379","907","577","84","3","3,067","3,067","77","150","266","185","375","678","725","414","177","20","0","2,979","2,979","88","138","194","132","275","538","654","493","400","64","3"
"경상북도 경주시 천북면(4713038000)","5,660","5,660","262","308","486","546","668","1,044","1,159","723","410","53","1","2,955","2,955","127","153","278","317","375","589","619","346","137","14","0","2,705","2,705","135","155","208","229","293","455","540","377","273","39","1"
"경상북도 경주시 중부동(4713051500)","5,028","5,028","163","278","511","434","603","838","1,041","770","349","41","0","2,478","2,478","76","155","278","256","329","423","485","342","126","8","0","2,550","2,550","87","123","233","178","274","415","556","428","223","33","0"
"경상북도 경주시 황오동(4713053000)","6,205","6,205","158","298","569","492","683","1,112","1,405","963","462","61","2","2,991","2,991","73","158","322","287","374","570","640","396","156","15","0","3,214","3,214","85","140","247","205","309","542","765","567","306","46","2"
"경상북도 경주시 성건동(4713055000)","13,540","13,540","391","767","1,924","1,185","1,666","2,286","2,684","1,826","718","91","2","6,731","6,731","221","404","1,116","703","901","1,159","1,157","795","262","13","0","6,809","6,809","170","363","808","482","765","1,127","1,527","1,031","456","78","2"
"경상북도 경주시 황남동(4713057000)","4,381","4,381","74","181","315","241","455","749","1,016","769","520","60","1","2,156","2,156","37","90","187","147","248","419","514","331","168","15","0","2,225","2,225","37","91","128","94","207","330","502","438","352","45","1"
"경상북도 경주시 선도동(4713059000)","14,631","14,631","1,053","1,612","1,866","1,372","2,451","2,821","1,886","981","519","68","2","7,346","7,346","542","862","1,046","735","1,181","1,433","929","424","184","10","0","7,285","7,285","511","750","820","637","1,270","1,388","957","557","335","58","2"
"경상북도 경주시 월성동(4713060500)","5,801","5,801","353","353","440","478","740","990","1,156","789","431","66","5","2,860","2,860","181","188","253","231","403","525","563","358","142","16","0","2,941","2,941","172","165","187","247","337","465","593","431","289","50","5"
"경상북도 경주시 용강동(4713061500)","24,027","24,027","2,840","2,661","2,544","3,355","4,419","4,054","2,566","1,010","493","82","3","11,845","11,845","1,431","1,352","1,399","1,630","2,198","1,950","1,290","439","136","20","0","12,182","12,182","1,409","1,309","1,145","1,725","2,221","2,104","1,276","571","357","62","3"
"경상북도 경주시 황성동(4713062100)","28,157","28,157","2,323","3,501","3,632","3,069","4,936","5,428","3,296","1,274","595","103","0","13,805","13,805","1,168","1,851","1,964","1,490","2,285","2,652","1,646","553","180","16","0","14,352","14,352","1,155","1,650","1,668","1,579","2,651","2,776","1,650","721","415","87","0"
