"월별(1)",2019,2019,2019,2019,2019
"월별(1)",집계관광지수 (개),유료관광지 (명),유료관광지 (명),유료관광지 (명),무료관광지 (명)
"월별(1)",소계,소계,내국인,외국인,소계
"합계",29,574007,567385,6622,4013750
"1월",29,41411,40920,491,162532
"2월",29,41694,41423,271,146996
"3월",29,62790,62400,390,2314740
"4월",29,54629,54173,456,132532
"5월",29,54682,54013,669,132714
"6월",29,50631,50086,545,272255
"7월",29,43038,42795,243,125595
"8월",29,65730,65166,564,169669
"9월",29,36880,36297,583,174335
"10월",29,43507,42600,907,148655
"11월",29,38285,37415,870,120222
"12월",29,40730,40097,633,113505
