"행정구역","2021년_거주자_총인구수","2021년_거주자_연령구간인구수","2021년_거주자_0~9세","2021년_거주자_10~19세","2021년_거주자_20~29세","2021년_거주자_30~39세","2021년_거주자_40~49세","2021년_거주자_50~59세","2021년_거주자_60~69세","2021년_거주자_70~79세","2021년_거주자_80~89세","2021년_거주자_90~99세","2021년_거주자_100세 이상"
"충청남도 논산시 (4423000000)","114,077","114,077","6,729","9,425","10,756","10,137","14,564","19,135","20,870","12,808","8,372","1,252","29"
"충청남도 논산시 강경읍(4423025000)","7,909","7,909","277","602","655","475","909","1,372","1,707","1,165","649","97","1"
"충청남도 논산시 연무읍(4423025300)","13,295","13,295","864","1,043","1,208","1,229","1,606","2,044","2,475","1,584","1,072","167","3"
"충청남도 논산시 성동면(4423031000)","4,008","4,008","106","169","260","215","310","638","972","702","572","62","2"
"충청남도 논산시 광석면(4423032000)","4,108","4,108","100","231","254","237","376","688","994","687","486","54","1"
"충청남도 논산시 노성면(4423033000)","2,931","2,931","95","144","201","201","275","463","647","495","350","57","3"
"충청남도 논산시 상월면(4423034000)","3,477","3,477","59","159","201","196","353","653","867","521","402","64","2"
"충청남도 논산시 부적면(4423035000)","3,500","3,500","77","157","229","208","320","612","885","552","389","68","3"
"충청남도 논산시 연산면(4423036000)","6,029","6,029","178","318","346","321","498","1,159","1,558","914","631","102","4"
"충청남도 논산시 벌곡면(4423038000)","2,418","2,418","56","101","111","113","205","427","629","433","285","57","1"
"충청남도 논산시 양촌면(4423039000)","6,109","6,109","371","392","405","540","577","1,041","1,221","845","618","99","0"
"충청남도 논산시 가야곡면(4423040000)","3,370","3,370","61","121","219","159","270","598","868","585","426","62","1"
"충청남도 논산시 은진면(4423041000)","3,951","3,951","117","207","387","260","413","697","863","537","394","74","2"
"충청남도 논산시 채운면(4423042000)","2,169","2,169","59","131","138","110","185","343","537","363","254","49","0"
"충청남도 논산시 취암동(4423051000)","34,850","34,850","3,156","3,885","4,467","4,411","5,798","5,523","4,220","2,122","1,113","149","6"
"충청남도 논산시 부창동(4423052000)","15,953","15,953","1,153","1,765","1,675","1,462","2,469","2,877","2,427","1,303","731","91","0"
