"행정구역","2022년01월_거주자_총인구수","2022년01월_거주자_연령구간인구수","2022년01월_거주자_0~9세","2022년01월_거주자_10~19세","2022년01월_거주자_20~29세","2022년01월_거주자_30~39세","2022년01월_거주자_40~49세","2022년01월_거주자_50~59세","2022년01월_거주자_60~69세","2022년01월_거주자_70~79세","2022년01월_거주자_80~89세","2022년01월_거주자_90~99세","2022년01월_거주자_100세 이상","2022년01월_남_거주자_총인구수","2022년01월_남_거주자_연령구간인구수","2022년01월_남_거주자_0~9세","2022년01월_남_거주자_10~19세","2022년01월_남_거주자_20~29세","2022년01월_남_거주자_30~39세","2022년01월_남_거주자_40~49세","2022년01월_남_거주자_50~59세","2022년01월_남_거주자_60~69세","2022년01월_남_거주자_70~79세","2022년01월_남_거주자_80~89세","2022년01월_남_거주자_90~99세","2022년01월_남_거주자_100세 이상","2022년01월_여_거주자_총인구수","2022년01월_여_거주자_연령구간인구수","2022년01월_여_거주자_0~9세","2022년01월_여_거주자_10~19세","2022년01월_여_거주자_20~29세","2022년01월_여_거주자_30~39세","2022년01월_여_거주자_40~49세","2022년01월_여_거주자_50~59세","2022년01월_여_거주자_60~69세","2022년01월_여_거주자_70~79세","2022년01월_여_거주자_80~89세","2022년01월_여_거주자_90~99세","2022년01월_여_거주자_100세 이상"
"충청남도 논산시 (4423000000)","114,030","114,030","6,674","9,392","10,758","10,104","14,520","19,113","20,941","12,784","8,431","1,283","30","56,881","56,881","3,404","4,841","5,989","5,369","7,671","10,106","10,558","5,789","2,826","321","7","57,149","57,149","3,270","4,551","4,769","4,735","6,849","9,007","10,383","6,995","5,605","962","23"
"충청남도 논산시 강경읍(4423025000)","7,867","7,867","269","594","649","462","901","1,370","1,714","1,161","648","98","1","3,864","3,864","148","300","369","250","482","709","839","504","235","27","1","4,003","4,003","121","294","280","212","419","661","875","657","413","71","0"
"충청남도 논산시 연무읍(4423025300)","13,266","13,266","861","1,034","1,208","1,230","1,591","2,021","2,486","1,583","1,078","171","3","6,625","6,625","444","531","699","667","868","1,083","1,254","702","338","39","0","6,641","6,641","417","503","509","563","723","938","1,232","881","740","132","3"
"충청남도 논산시 성동면(4423031000)","4,015","4,015","108","166","261","215","310","638","974","704","572","65","2","2,015","2,015","52","88","156","131","210","344","496","310","207","20","1","2,000","2,000","56","78","105","84","100","294","478","394","365","45","1"
"충청남도 논산시 광석면(4423032000)","4,112","4,112","97","232","251","237","376","686","998","690","492","52","1","2,072","2,072","44","115","144","139","236","383","531","323","145","12","0","2,040","2,040","53","117","107","98","140","303","467","367","347","40","1"
"충청남도 논산시 노성면(4423033000)","2,912","2,912","89","142","205","197","271","458","642","497","350","58","3","1,476","1,476","45","75","129","110","159","270","324","236","116","12","0","1,436","1,436","44","67","76","87","112","188","318","261","234","46","3"
"충청남도 논산시 상월면(4423034000)","3,471","3,471","56","159","200","190","351","654","869","516","408","65","3","1,741","1,741","31","89","119","96","194","359","453","244","135","21","0","1,730","1,730","25","70","81","94","157","295","416","272","273","44","3"
"충청남도 논산시 부적면(4423035000)","3,485","3,485","79","160","222","212","309","607","884","543","399","67","3","1,770","1,770","42","77","120","117","194","348","467","259","132","13","1","1,715","1,715","37","83","102","95","115","259","417","284","267","54","2"
"충청남도 논산시 연산면(4423036000)","5,993","5,993","170","314","335","315","492","1,148","1,573","900","633","109","4","3,078","3,078","86","171","200","171","280","625","857","439","220","29","0","2,915","2,915","84","143","135","144","212","523","716","461","413","80","4"
"충청남도 논산시 벌곡면(4423038000)","2,422","2,422","57","98","113","113","206","426","630","436","285","57","1","1,232","1,232","28","57","62","73","116","255","324","207","95","15","0","1,190","1,190","29","41","51","40","90","171","306","229","190","42","1"
"충청남도 논산시 양촌면(4423039000)","6,162","6,162","388","392","414","548","589","1,038","1,229","841","620","103","0","3,125","3,125","199","229","237","288","312","562","650","386","231","31","0","3,037","3,037","189","163","177","260","277","476","579","455","389","72","0"
"충청남도 논산시 가야곡면(4423040000)","3,357","3,357","59","113","213","158","267","593","874","582","431","66","1","1,712","1,712","36","61","124","101","152","329","467","275","147","19","1","1,645","1,645","23","52","89","57","115","264","407","307","284","47","0"
"충청남도 논산시 은진면(4423041000)","3,939","3,939","111","204","384","259","418","697","860","531","398","75","2","2,086","2,086","58","93","238","170","271","403","464","249","124","16","0","1,853","1,853","53","111","146","89","147","294","396","282","274","59","2"
"충청남도 논산시 채운면(4423042000)","2,172","2,172","59","130","139","106","188","342","538","362","258","50","0","1,040","1,040","31","62","73","57","106","193","270","161","74","13","0","1,132","1,132","28","68","66","49","82","149","268","201","184","37","0"
"충청남도 논산시 취암동(4423051000)","34,955","34,955","3,131","3,895","4,492","4,413","5,800","5,569","4,239","2,130","1,125","155","6","17,380","17,380","1,577","1,987","2,414","2,276","2,896","2,818","2,039","948","383","39","3","17,575","17,575","1,554","1,908","2,078","2,137","2,904","2,751","2,200","1,182","742","116","3"
"충청남도 논산시 부창동(4423052000)","15,902","15,902","1,140","1,759","1,672","1,449","2,451","2,866","2,431","1,308","734","92","0","7,665","7,665","583","906","905","723","1,195","1,425","1,123","546","244","15","0","8,237","8,237","557","853","767","726","1,256","1,441","1,308","762","490","77","0"
