"행정구역","2022년01월_거주자_총인구수","2022년01월_거주자_연령구간인구수","2022년01월_거주자_0~9세","2022년01월_거주자_10~19세","2022년01월_거주자_20~29세","2022년01월_거주자_30~39세","2022년01월_거주자_40~49세","2022년01월_거주자_50~59세","2022년01월_거주자_60~69세","2022년01월_거주자_70~79세","2022년01월_거주자_80~89세","2022년01월_거주자_90~99세","2022년01월_거주자_100세 이상","2022년01월_남_거주자_총인구수","2022년01월_남_거주자_연령구간인구수","2022년01월_남_거주자_0~9세","2022년01월_남_거주자_10~19세","2022년01월_남_거주자_20~29세","2022년01월_남_거주자_30~39세","2022년01월_남_거주자_40~49세","2022년01월_남_거주자_50~59세","2022년01월_남_거주자_60~69세","2022년01월_남_거주자_70~79세","2022년01월_남_거주자_80~89세","2022년01월_남_거주자_90~99세","2022년01월_남_거주자_100세 이상","2022년01월_여_거주자_총인구수","2022년01월_여_거주자_연령구간인구수","2022년01월_여_거주자_0~9세","2022년01월_여_거주자_10~19세","2022년01월_여_거주자_20~29세","2022년01월_여_거주자_30~39세","2022년01월_여_거주자_40~49세","2022년01월_여_거주자_50~59세","2022년01월_여_거주자_60~69세","2022년01월_여_거주자_70~79세","2022년01월_여_거주자_80~89세","2022년01월_여_거주자_90~99세","2022년01월_여_거주자_100세 이상"
"대전광역시 유성구 (3020000000)","350,423","350,423","33,014","37,852","52,045","54,512","59,767","54,473","36,815","13,922","6,851","1,144","28","176,995","176,995","17,001","19,603","27,940","28,598","29,291","27,197","18,238","6,535","2,331","258","3","173,428","173,428","16,013","18,249","24,105","25,914","30,476","27,276","18,577","7,387","4,520","886","25"
"대전광역시 유성구 진잠동(3020052000)","24,914","24,914","1,853","2,423","3,259","2,696","4,115","4,693","3,425","1,528","808","112","2","12,778","12,778","965","1,320","1,776","1,484","2,131","2,403","1,696","708","274","21","0","12,136","12,136","888","1,103","1,483","1,212","1,984","2,290","1,729","820","534","91","2"
"대전광역시 유성구 학하동(3020052600)","17,015","17,015","1,784","1,284","2,585","2,768","2,630","2,718","2,296","618","278","51","3","8,766","8,766","911","652","1,522","1,399","1,357","1,269","1,200","343","103","9","1","8,249","8,249","873","632","1,063","1,369","1,273","1,449","1,096","275","175","42","2"
"대전광역시 유성구 상대동(3020052700)","23,735","23,735","2,967","3,274","2,353","3,255","4,624","3,645","2,481","738","327","71","0","11,599","11,599","1,500","1,701","1,225","1,512","2,157","1,781","1,251","347","116","9","0","12,136","12,136","1,467","1,573","1,128","1,743","2,467","1,864","1,230","391","211","62","0"
"대전광역시 유성구 온천1동(3020053000)","26,458","26,458","864","967","6,544","5,432","3,229","3,949","3,170","1,489","707","104","3","13,651","13,651","444","506","3,154","3,167","1,758","2,044","1,631","669","246","32","0","12,807","12,807","420","461","3,390","2,265","1,471","1,905","1,539","820","461","72","3"
"대전광역시 유성구 온천2동(3020054000)","39,533","39,533","3,321","3,077","8,498","6,185","5,470","5,610","4,695","1,754","786","137","0","20,582","20,582","1,679","1,589","4,916","3,432","2,748","2,728","2,309","858","285","38","0","18,951","18,951","1,642","1,488","3,582","2,753","2,722","2,882","2,386","896","501","99","0"
"대전광역시 유성구 노은1동(3020054600)","21,575","21,575","2,017","2,990","2,761","3,029","4,122","3,330","1,932","881","438","69","6","10,714","10,714","1,061","1,534","1,432","1,543","1,958","1,683","928","398","161","15","1","10,861","10,861","956","1,456","1,329","1,486","2,164","1,647","1,004","483","277","54","5"
"대전광역시 유성구 노은2동(3020054700)","24,251","24,251","2,153","3,348","3,059","2,950","4,522","4,036","2,371","1,120","594","97","1","11,931","11,931","1,125","1,712","1,590","1,475","2,109","2,031","1,150","501","218","20","0","12,320","12,320","1,028","1,636","1,469","1,475","2,413","2,005","1,221","619","376","77","1"
"대전광역시 유성구 노은3동(3020054800)","37,130","37,130","4,639","4,555","3,695","5,742","7,389","5,345","3,653","1,425","578","105","4","18,178","18,178","2,367","2,314","1,931","2,711","3,583","2,601","1,737","695","215","24","0","18,952","18,952","2,272","2,241","1,764","3,031","3,806","2,744","1,916","730","363","81","4"
"대전광역시 유성구 신성동(3020055000)","25,950","25,950","2,855","2,812","4,046","5,283","4,149","3,482","2,129","715","409","70","0","13,561","13,561","1,495","1,451","2,188","2,939","2,088","1,797","1,102","359","125","17","0","12,389","12,389","1,360","1,361","1,858","2,344","2,061","1,685","1,027","356","284","53","0"
