"행정구역","2022년01월_거주자_총인구수","2022년01월_거주자_연령구간인구수","2022년01월_거주자_0~9세","2022년01월_거주자_10~19세","2022년01월_거주자_20~29세","2022년01월_거주자_30~39세","2022년01월_거주자_40~49세","2022년01월_거주자_50~59세","2022년01월_거주자_60~69세","2022년01월_거주자_70~79세","2022년01월_거주자_80~89세","2022년01월_거주자_90~99세","2022년01월_거주자_100세 이상","2022년01월_남_거주자_총인구수","2022년01월_남_거주자_연령구간인구수","2022년01월_남_거주자_0~9세","2022년01월_남_거주자_10~19세","2022년01월_남_거주자_20~29세","2022년01월_남_거주자_30~39세","2022년01월_남_거주자_40~49세","2022년01월_남_거주자_50~59세","2022년01월_남_거주자_60~69세","2022년01월_남_거주자_70~79세","2022년01월_남_거주자_80~89세","2022년01월_남_거주자_90~99세","2022년01월_남_거주자_100세 이상","2022년01월_여_거주자_총인구수","2022년01월_여_거주자_연령구간인구수","2022년01월_여_거주자_0~9세","2022년01월_여_거주자_10~19세","2022년01월_여_거주자_20~29세","2022년01월_여_거주자_30~39세","2022년01월_여_거주자_40~49세","2022년01월_여_거주자_50~59세","2022년01월_여_거주자_60~69세","2022년01월_여_거주자_70~79세","2022년01월_여_거주자_80~89세","2022년01월_여_거주자_90~99세","2022년01월_여_거주자_100세 이상"
"부산광역시 북구 (2632000000)","281,381","281,381","18,176","22,346","35,282","33,358","39,429","51,862","48,633","22,214","8,963","1,096","22","138,768","138,768","9,336","11,631","18,827","17,448","19,625","24,415","23,922","10,244","3,115","203","2","142,613","142,613","8,840","10,715","16,455","15,910","19,804","27,447","24,711","11,970","5,848","893","20"
"부산광역시 북구 구포제1동(2632051000)","15,995","15,995","872","762","2,062","2,301","1,947","2,921","3,106","1,406","540","76","2","8,042","8,042","432","376","1,070","1,265","1,056","1,431","1,535","662","196","18","1","7,953","7,953","440","386","992","1,036","891","1,490","1,571","744","344","58","1"
"부산광역시 북구 구포제2동(2632052000)","25,084","25,084","1,261","1,666","3,315","3,032","3,308","4,851","4,734","2,049","783","81","4","12,819","12,819","656","886","1,800","1,676","1,764","2,356","2,383","993","295","10","0","12,265","12,265","605","780","1,515","1,356","1,544","2,495","2,351","1,056","488","71","4"
"부산광역시 북구 구포제3동(2632052100)","19,535","19,535","790","1,400","2,754","1,852","2,653","4,132","3,700","1,644","542","66","2","10,060","10,060","412","753","1,573","1,054","1,380","2,060","1,848","755","218","7","0","9,475","9,475","378","647","1,181","798","1,273","2,072","1,852","889","324","59","2"
"부산광역시 북구 금곡동(2632053000)","37,696","37,696","1,944","2,902","4,237","3,641","4,829","7,222","7,000","3,713","1,993","213","2","18,214","18,214","1,002","1,505","2,272","1,956","2,375","3,351","3,548","1,561","595","49","0","19,482","19,482","942","1,397","1,965","1,685","2,454","3,871","3,452","2,152","1,398","164","2"
"부산광역시 북구 화명제1동(2632054100)","41,334","41,334","3,843","4,327","5,354","5,128","6,366","8,011","5,716","1,864","632","91","2","20,243","20,243","1,961","2,229","2,830","2,459","2,957","3,661","2,997","926","211","12","0","21,091","21,091","1,882","2,098","2,524","2,669","3,409","4,350","2,719","938","421","79","2"
"부산광역시 북구 화명제2동(2632054200)","17,061","17,061","1,191","1,368","2,381","2,100","2,223","3,372","2,661","1,186","506","71","2","8,311","8,311","628","688","1,293","1,090","1,062","1,505","1,329","531","171","13","1","8,750","8,750","563","680","1,088","1,010","1,161","1,867","1,332","655","335","58","1"
"부산광역시 북구 화명제3동(2632054300)","29,602","29,602","2,413","3,739","3,760","3,101","5,216","5,378","3,370","1,765","762","96","2","14,447","14,447","1,227","1,966","1,988","1,475","2,386","2,618","1,658","799","304","26","0","15,155","15,155","1,186","1,773","1,772","1,626","2,830","2,760","1,712","966","458","70","2"
"부산광역시 북구 덕천제1동(2632055000)","11,015","11,015","372","476","1,362","1,242","1,249","1,923","2,406","1,297","609","75","4","5,432","5,432","179","257","731","703","659","955","1,128","596","209","15","0","5,583","5,583","193","219","631","539","590","968","1,278","701","400","60","4"
"부산광역시 북구 덕천제2동(2632056000)","11,900","11,900","408","558","1,733","1,492","1,404","2,144","2,446","1,175","474","66","0","5,909","5,909","211","280","895","874","747","1,037","1,170","525","159","11","0","5,991","5,991","197","278","838","618","657","1,107","1,276","650","315","55","0"
"부산광역시 북구 덕천제3동(2632056100)","10,684","10,684","388","611","1,346","1,070","1,397","1,865","2,154","1,290","520","43","0","5,210","5,210","208","322","714","584","765","907","994","548","160","8","0","5,474","5,474","180","289","632","486","632","958","1,160","742","360","35","0"
"부산광역시 북구 만덕제1동(2632057100)","16,599","16,599","1,416","1,022","1,780","2,995","2,290","2,550","2,833","1,268","399","46","0","8,146","8,146","718","541","873","1,575","1,182","1,134","1,355","621","143","4","0","8,453","8,453","698","481","907","1,420","1,108","1,416","1,478","647","256","42","0"
"부산광역시 북구 만덕제2동(2632057200)","26,322","26,322","2,146","2,256","2,951","3,218","4,051","4,306","4,619","1,999","680","96","0","12,911","12,911","1,101","1,161","1,568","1,614","2,027","2,023","2,186","965","249","17","0","13,411","13,411","1,045","1,095","1,383","1,604","2,024","2,283","2,433","1,034","431","79","0"
"부산광역시 북구 만덕제3동(2632057300)","18,554","18,554","1,132","1,259","2,247","2,186","2,496","3,187","3,888","1,558","523","76","2","9,024","9,024","601","667","1,220","1,123","1,265","1,377","1,791","762","205","13","0","9,530","9,530","531","592","1,027","1,063","1,231","1,810","2,097","796","318","63","2"
