"행정구역","2022년01월_거주자_총인구수","2022년01월_거주자_연령구간인구수","2022년01월_거주자_0~9세","2022년01월_거주자_10~19세","2022년01월_거주자_20~29세","2022년01월_거주자_30~39세","2022년01월_거주자_40~49세","2022년01월_거주자_50~59세","2022년01월_거주자_60~69세","2022년01월_거주자_70~79세","2022년01월_거주자_80~89세","2022년01월_거주자_90~99세","2022년01월_거주자_100세 이상","2022년01월_남_거주자_총인구수","2022년01월_남_거주자_연령구간인구수","2022년01월_남_거주자_0~9세","2022년01월_남_거주자_10~19세","2022년01월_남_거주자_20~29세","2022년01월_남_거주자_30~39세","2022년01월_남_거주자_40~49세","2022년01월_남_거주자_50~59세","2022년01월_남_거주자_60~69세","2022년01월_남_거주자_70~79세","2022년01월_남_거주자_80~89세","2022년01월_남_거주자_90~99세","2022년01월_남_거주자_100세 이상","2022년01월_여_거주자_총인구수","2022년01월_여_거주자_연령구간인구수","2022년01월_여_거주자_0~9세","2022년01월_여_거주자_10~19세","2022년01월_여_거주자_20~29세","2022년01월_여_거주자_30~39세","2022년01월_여_거주자_40~49세","2022년01월_여_거주자_50~59세","2022년01월_여_거주자_60~69세","2022년01월_여_거주자_70~79세","2022년01월_여_거주자_80~89세","2022년01월_여_거주자_90~99세","2022년01월_여_거주자_100세 이상"
"경기도 안성시 (4155000000)","188,549","188,549","13,043","17,650","22,949","22,592","29,968","31,759","27,702","13,834","7,894","1,129","29","97,337","97,337","6,737","9,167","12,674","12,438","16,022","16,829","14,003","6,413","2,809","243","2","91,212","91,212","6,306","8,483","10,275","10,154","13,946","14,930","13,699","7,421","5,085","886","27"
"경기도 안성시 공도읍(4155025000)","59,819","59,819","5,436","7,511","6,967","8,122","11,922","9,273","5,972","2,973","1,444","192","7","30,217","30,217","2,785","3,880","3,739","4,248","6,071","4,828","2,825","1,324","477","38","2","29,602","29,602","2,651","3,631","3,228","3,874","5,851","4,445","3,147","1,649","967","154","5"
"경기도 안성시 보개면(4155031000)","5,238","5,238","162","271","474","392","507","980","1,246","674","456","75","1","2,782","2,782","88","165","277","237","301","543","683","314","161","13","0","2,456","2,456","74","106","197","155","206","437","563","360","295","62","1"
"경기도 안성시 금광면(4155032000)","7,278","7,278","339","602","727","598","943","1,327","1,489","701","476","75","1","3,625","3,625","181","299","404","316","486","717","734","300","174","14","0","3,653","3,653","158","303","323","282","457","610","755","401","302","61","1"
"경기도 안성시 서운면(4155033000)","3,280","3,280","80","139","267","231","326","636","783","443","331","43","1","1,737","1,737","45","74","169","136","201","361","406","213","119","13","0","1,543","1,543","35","65","98","95","125","275","377","230","212","30","1"
"경기도 안성시 미양면(4155034000)","5,782","5,782","182","260","551","512","704","1,055","1,298","702","451","67","0","3,155","3,155","89","141","343","331","431","584","719","338","165","14","0","2,627","2,627","93","119","208","181","273","471","579","364","286","53","0"
"경기도 안성시 대덕면(4155035000)","15,235","15,235","1,227","1,077","2,093","2,385","2,628","2,331","2,036","915","477","65","1","8,547","8,547","657","564","1,199","1,430","1,599","1,359","1,079","456","194","10","0","6,688","6,688","570","513","894","955","1,029","972","957","459","283","55","1"
"경기도 안성시 양성면(4155036000)","5,197","5,197","128","265","435","371","535","999","1,265","637","460","96","6","2,717","2,717","69","129","249","212","318","567","683","309","160","21","0","2,480","2,480","59","136","186","159","217","432","582","328","300","75","6"
"경기도 안성시 원곡면(4155038000)","6,514","6,514","377","368","773","949","922","1,235","1,098","493","253","46","0","3,646","3,646","216","195","459","586","563","678","598","250","85","16","0","2,868","2,868","161","173","314","363","359","557","500","243","168","30","0"
"경기도 안성시 일죽면(4155039000)","7,420","7,420","253","406","643","571","789","1,290","1,797","984","592","91","4","3,878","3,878","130","224","354","348","469","702","914","497","221","19","0","3,542","3,542","123","182","289","223","320","588","883","487","371","72","4"
"경기도 안성시 죽산면(4155040000)","6,854","6,854","214","407","668","498","754","1,382","1,538","812","520","59","2","3,658","3,658","107","212","366","322","444","796","832","373","191","15","0","3,196","3,196","107","195","302","176","310","586","706","439","329","44","2"
"경기도 안성시 삼죽면(4155041000)","3,517","3,517","73","190","425","249","322","646","804","468","307","33","0","1,821","1,821","31","85","223","163","199","350","419","231","113","7","0","1,696","1,696","42","105","202","86","123","296","385","237","194","26","0"
"경기도 안성시 고삼면(4155042000)","1,920","1,920","48","75","190","141","171","365","493","236","168","30","3","1,006","1,006","24","40","114","85","102","195","259","115","68","4","0","914","914","24","35","76","56","69","170","234","121","100","26","3"
"경기도 안성시 안성1동(4155051000)","12,220","12,220","664","988","1,532","1,286","1,670","2,175","2,065","1,111","631","97","1","6,112","6,112","321","491","839","692","882","1,113","1,007","507","241","19","0","6,108","6,108","343","497","693","594","788","1,062","1,058","604","390","78","1"
"경기도 안성시 안성2동(4155052000)","25,926","25,926","2,140","2,661","3,959","3,663","4,318","4,102","3,039","1,336","628","79","1","13,199","13,199","1,123","1,388","2,134","1,958","2,244","2,061","1,487","587","196","21","0","12,727","12,727","1,017","1,273","1,825","1,705","2,074","2,041","1,552","749","432","58","1"
"경기도 안성시 안성3동(4155053000)","22,349","22,349","1,720","2,430","3,245","2,624","3,457","3,963","2,779","1,349","700","81","1","11,237","11,237","871","1,280","1,805","1,374","1,712","1,975","1,358","599","244","19","0","11,112","11,112","849","1,150","1,440","1,250","1,745","1,988","1,421","750","456","62","1"
