"행정구역","2022년01월_거주자_총인구수","2022년01월_거주자_연령구간인구수","2022년01월_거주자_0~9세","2022년01월_거주자_10~19세","2022년01월_거주자_20~29세","2022년01월_거주자_30~39세","2022년01월_거주자_40~49세","2022년01월_거주자_50~59세","2022년01월_거주자_60~69세","2022년01월_거주자_70~79세","2022년01월_거주자_80~89세","2022년01월_거주자_90~99세","2022년01월_거주자_100세 이상","2022년01월_남_거주자_총인구수","2022년01월_남_거주자_연령구간인구수","2022년01월_남_거주자_0~9세","2022년01월_남_거주자_10~19세","2022년01월_남_거주자_20~29세","2022년01월_남_거주자_30~39세","2022년01월_남_거주자_40~49세","2022년01월_남_거주자_50~59세","2022년01월_남_거주자_60~69세","2022년01월_남_거주자_70~79세","2022년01월_남_거주자_80~89세","2022년01월_남_거주자_90~99세","2022년01월_남_거주자_100세 이상","2022년01월_여_거주자_총인구수","2022년01월_여_거주자_연령구간인구수","2022년01월_여_거주자_0~9세","2022년01월_여_거주자_10~19세","2022년01월_여_거주자_20~29세","2022년01월_여_거주자_30~39세","2022년01월_여_거주자_40~49세","2022년01월_여_거주자_50~59세","2022년01월_여_거주자_60~69세","2022년01월_여_거주자_70~79세","2022년01월_여_거주자_80~89세","2022년01월_여_거주자_90~99세","2022년01월_여_거주자_100세 이상"
"서울특별시 은평구 (1138000000)","467,715","467,715","27,479","36,960","64,767","66,320","73,112","75,963","66,025","37,973","17,082","1,991","43","223,668","223,668","14,130","18,898","30,897","32,530","36,172","36,553","30,466","16,556","6,924","533","9","244,047","244,047","13,349","18,062","33,870","33,790","36,940","39,410","35,559","21,417","10,158","1,458","34"
"서울특별시 은평구 녹번동(1138051000)","36,361","36,361","2,363","2,162","4,868","5,906","5,459","5,766","5,212","3,068","1,382","175","0","17,208","17,208","1,187","1,056","2,283","2,870","2,788","2,758","2,332","1,320","572","42","0","19,153","19,153","1,176","1,106","2,585","3,036","2,671","3,008","2,880","1,748","810","133","0"
"서울특별시 은평구 불광제1동(1138052000)","38,047","38,047","2,165","2,533","5,048","5,299","5,614","6,522","5,641","3,367","1,655","199","4","17,933","17,933","1,106","1,342","2,408","2,620","2,720","3,022","2,573","1,419","654","68","1","20,114","20,114","1,059","1,191","2,640","2,679","2,894","3,500","3,068","1,948","1,001","131","3"
"서울특별시 은평구 불광제2동(1138053000)","27,197","27,197","995","1,631","4,147","3,769","3,538","4,702","4,453","2,672","1,161","128","1","13,180","13,180","503","838","2,049","1,960","1,856","2,212","2,078","1,177","477","30","0","14,017","14,017","492","793","2,098","1,809","1,682","2,490","2,375","1,495","684","98","1"
"서울특별시 은평구 갈현제1동(1138055100)","21,541","21,541","866","1,405","3,407","2,826","2,987","3,718","3,516","1,956","766","91","3","10,503","10,503","468","745","1,708","1,524","1,521","1,704","1,605","881","329","17","1","11,038","11,038","398","660","1,699","1,302","1,466","2,014","1,911","1,075","437","74","2"
"서울특별시 은평구 갈현제2동(1138055200)","27,896","27,896","1,374","2,296","4,256","3,757","4,412","4,682","3,807","2,238","974","99","1","13,226","13,226","711","1,147","2,058","1,854","2,148","2,198","1,714","954","411","31","0","14,670","14,670","663","1,149","2,198","1,903","2,264","2,484","2,093","1,284","563","68","1"
"서울특별시 은평구 구산동(1138056000)","31,897","31,897","1,602","2,764","4,301","3,971","4,859","5,567","4,775","2,711","1,203","141","3","15,625","15,625","797","1,358","2,076","2,000","2,461","2,755","2,337","1,288","510","43","0","16,272","16,272","805","1,406","2,225","1,971","2,398","2,812","2,438","1,423","693","98","3"
"서울특별시 은평구 대조동(1138057000)","26,363","26,363","1,034","1,521","4,746","4,232","3,759","4,068","3,582","2,259","1,053","107","2","12,253","12,253","545","697","2,034","2,082","1,834","1,993","1,625","976","438","29","0","14,110","14,110","489","824","2,712","2,150","1,925","2,075","1,957","1,283","615","78","2"
"서울특별시 은평구 응암제1동(1138058000)","32,632","32,632","2,504","2,692","4,403","5,425","5,495","4,830","3,895","2,257","1,018","111","2","15,442","15,442","1,265","1,401","2,007","2,595","2,695","2,369","1,734","934","406","35","1","17,190","17,190","1,239","1,291","2,396","2,830","2,800","2,461","2,161","1,323","612","76","1"
"서울특별시 은평구 응암제2동(1138059000)","27,508","27,508","3,186","2,383","2,589","4,780","5,393","3,699","2,973","1,656","762","84","3","13,361","13,361","1,660","1,237","1,306","2,238","2,751","1,801","1,355","706","286","21","0","14,147","14,147","1,526","1,146","1,283","2,542","2,642","1,898","1,618","950","476","63","3"
