"월별(1)",2019,2019,2019,2019,2019
"월별(1)",집계 관광지수 (개),방문객수 (명),방문객수 (명),방문객수 (명),방문객수 (명)
"월별(1)",소계,유료 관광지,유료 관광지,유료 관광지,무료 관광지
"월별(1)",소계,소계,내국인,외국인,소계
"합계",15,747400,745289,2111,208125
"1월",-,9270,9258,12,9995
"2월",-,10515,10497,18,5723
"3월",-,23811,23799,12,10227
"4월",-,38316,38045,271,11131
"5월",-,49210,49134,76,11866
"6월",-,35043,35011,32,13298
"7월",-,34660,34357,303,7377
"8월",-,41687,40487,1200,7927
"9월",-,28573,28561,12,12401
"10월",-,320902,320831,71,10529
"11월",-,29772,29717,55,9112
"12월",-,125641,125592,49,98539
