"행정구역","2021년_거주자_총인구수","2021년_거주자_연령구간인구수","2021년_거주자_0~9세","2021년_거주자_10~19세","2021년_거주자_20~29세","2021년_거주자_30~39세","2021년_거주자_40~49세","2021년_거주자_50~59세","2021년_거주자_60~69세","2021년_거주자_70~79세","2021년_거주자_80~89세","2021년_거주자_90~99세","2021년_거주자_100세 이상"
"전국  (0000000000)","51,317,389","51,317,389","3,758,343","4,700,982","6,633,334","6,685,475","8,100,749","8,550,773","7,102,805","3,692,803","1,825,263","259,893","6,969"
"서울특별시  (1100000000)","9,401,888","9,401,888","583,025","753,309","1,414,854","1,427,722","1,460,745","1,480,069","1,263,653","686,698","290,710","39,946","1,157"
"부산광역시  (2600000000)","3,330,119","3,330,119","219,511","265,672","414,434","403,202","498,156","549,342","544,562","296,636","123,117","15,138","349"
"대구광역시  (2700000000)","2,373,789","2,373,789","167,765","218,319","308,148","283,560","370,002","416,084","340,137","177,145","82,451","9,955","223"
"인천광역시  (2800000000)","2,927,910","2,927,910","217,238","270,588","389,515","399,161","476,888","505,480","395,423","178,095","82,374","12,774","374"
"광주광역시  (2900000000)","1,436,183","1,436,183","114,044","152,289","206,067","180,491","234,861","234,341","171,181","94,196","42,536","6,014","163"
"대전광역시  (3000000000)","1,445,245","1,445,245","107,507","142,018","208,815","188,701","229,400","238,082","189,348","92,046","43,072","6,094","162"
"울산광역시  (3100000000)","1,117,766","1,117,766","91,989","109,933","137,191","144,373","182,954","205,970","155,141","62,856","24,051","3,245","63"
"세종특별자치시  (3600000000)","371,138","371,138","47,056","45,786","38,471","61,604","72,582","48,693","33,382","14,728","7,535","1,275","26"
"경기도  (4100000000)","13,481,995","13,481,995","1,099,312","1,318,231","1,791,870","1,890,312","2,278,928","2,252,374","1,654,314","768,685","372,129","54,308","1,532"
"강원도  (4200000000)","1,531,487","1,531,487","100,937","133,723","174,942","162,056","217,963","262,785","258,754","132,098","76,358","11,528","343"
"충청북도  (4300000000)","1,591,483","1,591,483","116,939","146,301","193,952","189,776","235,930","269,274","240,698","119,765","69,056","9,536","256"
"충청남도  (4400000000)","2,111,258","2,111,258","162,676","200,495","237,723","258,502","323,554","338,432","298,438","171,628","103,977","15,432","401"
"전라북도  (4500000000)","1,779,949","1,779,949","119,645","169,994","206,025","181,320","258,234","296,944","267,130","169,802","95,769","14,705","381"
"전라남도  (4600000000)","1,826,609","1,826,609","123,678","163,013","193,290","177,684","250,898","310,868","283,806","190,504","115,318","17,104","446"
"경상북도  (4700000000)","2,616,627","2,616,627","178,462","221,778","275,372","278,122","374,889","451,905","431,231","243,563","140,655","20,127","523"
"경상남도  (4800000000)","3,301,135","3,301,135","250,598","319,233","361,952","378,237","524,252","576,300","491,688","248,899","131,053","18,541","382"
"제주특별자치도  (5000000000)","672,808","672,808","57,961","70,300","80,713","80,652","110,513","113,830","83,919","45,459","25,102","4,171","188"
