"행정구역","2022년01월_거주자_총인구수","2022년01월_거주자_연령구간인구수","2022년01월_거주자_0~9세","2022년01월_거주자_10~19세","2022년01월_거주자_20~29세","2022년01월_거주자_30~39세","2022년01월_거주자_40~49세","2022년01월_거주자_50~59세","2022년01월_거주자_60~69세","2022년01월_거주자_70~79세","2022년01월_거주자_80~89세","2022년01월_거주자_90~99세","2022년01월_거주자_100세 이상","2022년01월_남_거주자_총인구수","2022년01월_남_거주자_연령구간인구수","2022년01월_남_거주자_0~9세","2022년01월_남_거주자_10~19세","2022년01월_남_거주자_20~29세","2022년01월_남_거주자_30~39세","2022년01월_남_거주자_40~49세","2022년01월_남_거주자_50~59세","2022년01월_남_거주자_60~69세","2022년01월_남_거주자_70~79세","2022년01월_남_거주자_80~89세","2022년01월_남_거주자_90~99세","2022년01월_남_거주자_100세 이상","2022년01월_여_거주자_총인구수","2022년01월_여_거주자_연령구간인구수","2022년01월_여_거주자_0~9세","2022년01월_여_거주자_10~19세","2022년01월_여_거주자_20~29세","2022년01월_여_거주자_30~39세","2022년01월_여_거주자_40~49세","2022년01월_여_거주자_50~59세","2022년01월_여_거주자_60~69세","2022년01월_여_거주자_70~79세","2022년01월_여_거주자_80~89세","2022년01월_여_거주자_90~99세","2022년01월_여_거주자_100세 이상"
"전라남도 광양시 (4623000000)","151,442","151,442","12,668","15,747","19,557","18,182","23,156","29,542","18,462","8,407","4,840","864","17","79,077","79,077","6,439","8,176","11,353","9,764","12,034","16,027","9,715","3,871","1,555","143","0","72,365","72,365","6,229","7,571","8,204","8,418","11,122","13,515","8,747","4,536","3,285","721","17"
"전라남도 광양시 광양읍(4623025000)","48,500","48,500","4,114","5,092","5,924","5,654","7,748","8,627","6,331","3,047","1,652","308","3","24,810","24,810","2,073","2,667","3,242","2,919","4,075","4,571","3,280","1,407","522","54","0","23,690","23,690","2,041","2,425","2,682","2,735","3,673","4,056","3,051","1,640","1,130","254","3"
"전라남도 광양시 봉강면(4623031000)","2,164","2,164","64","125","177","145","191","442","435","298","234","53","0","1,123","1,123","46","73","109","85","108","256","228","126","79","13","0","1,041","1,041","18","52","68","60","83","186","207","172","155","40","0"
"전라남도 광양시 옥룡면(4623032000)","3,027","3,027","70","128","254","142","240","617","657","471","375","71","2","1,497","1,497","37","62","155","70","121","355","366","199","117","15","0","1,530","1,530","33","66","99","72","119","262","291","272","258","56","2"
"전라남도 광양시 옥곡면(4623033000)","5,008","5,008","262","270","622","496","533","1,147","808","494","325","51","0","2,572","2,572","137","139","355","284","258","623","422","227","119","8","0","2,436","2,436","125","131","267","212","275","524","386","267","206","43","0"
"전라남도 광양시 진상면(4623034000)","2,730","2,730","53","114","178","149","186","528","566","498","386","69","3","1,386","1,386","24","76","113","84","113","315","297","220","133","11","0","1,344","1,344","29","38","65","65","73","213","269","278","253","58","3"
"전라남도 광양시 진월면(4623035000)","2,759","2,759","76","84","183","138","241","467","604","546","342","76","2","1,366","1,366","36","44","109","79","153","289","292","240","113","11","0","1,393","1,393","40","40","74","59","88","178","312","306","229","65","2"
"전라남도 광양시 다압면(4623036000)","1,762","1,762","40","87","116","86","142","319","437","288","220","26","1","887","887","20","43","79","42","90","184","233","114","78","4","0","875","875","20","44","37","44","52","135","204","174","142","22","1"
"전라남도 광양시 골약동(4623051500)","4,087","4,087","613","252","422","926","495","499","367","274","199","38","2","2,184","2,184","319","137","236","492","291","301","192","138","72","6","0","1,903","1,903","294","115","186","434","204","198","175","136","127","32","2"
"전라남도 광양시 중마동(4623053000)","56,446","56,446","5,736","7,169","7,998","7,913","10,167","11,126","4,344","1,311","591","88","3","29,759","29,759","2,924","3,677","4,619","4,242","5,163","6,014","2,324","606","178","12","0","26,687","26,687","2,812","3,492","3,379","3,671","5,004","5,112","2,020","705","413","76","3"
"전라남도 광양시 광영동(4623054000)","11,739","11,739","812","1,100","1,485","1,183","1,763","2,714","1,788","589","260","44","1","6,205","6,205","410","559","865","659","956","1,485","924","276","67","4","0","5,534","5,534","402","541","620","524","807","1,229","864","313","193","40","1"
"전라남도 광양시 금호동(4623055000)","11,510","11,510","777","1,220","2,018","1,223","1,282","2,695","1,779","382","115","19","0","6,342","6,342","389","645","1,345","720","593","1,419","966","227","35","3","0","5,168","5,168","388","575","673","503","689","1,276","813","155","80","16","0"
"전라남도 광양시 태인동(4623057000)","1,710","1,710","51","106","180","127","168","361","346","209","141","21","0","946","946","24","54","126","88","113","215","191","91","42","2","0","764","764","27","52","54","39","55","146","155","118","99","19","0"
