"행정구역","2022년01월_거주자_총인구수","2022년01월_거주자_연령구간인구수","2022년01월_거주자_0~9세","2022년01월_거주자_10~19세","2022년01월_거주자_20~29세","2022년01월_거주자_30~39세","2022년01월_거주자_40~49세","2022년01월_거주자_50~59세","2022년01월_거주자_60~69세","2022년01월_거주자_70~79세","2022년01월_거주자_80~89세","2022년01월_거주자_90~99세","2022년01월_거주자_100세 이상","2022년01월_남_거주자_총인구수","2022년01월_남_거주자_연령구간인구수","2022년01월_남_거주자_0~9세","2022년01월_남_거주자_10~19세","2022년01월_남_거주자_20~29세","2022년01월_남_거주자_30~39세","2022년01월_남_거주자_40~49세","2022년01월_남_거주자_50~59세","2022년01월_남_거주자_60~69세","2022년01월_남_거주자_70~79세","2022년01월_남_거주자_80~89세","2022년01월_남_거주자_90~99세","2022년01월_남_거주자_100세 이상","2022년01월_여_거주자_총인구수","2022년01월_여_거주자_연령구간인구수","2022년01월_여_거주자_0~9세","2022년01월_여_거주자_10~19세","2022년01월_여_거주자_20~29세","2022년01월_여_거주자_30~39세","2022년01월_여_거주자_40~49세","2022년01월_여_거주자_50~59세","2022년01월_여_거주자_60~69세","2022년01월_여_거주자_70~79세","2022년01월_여_거주자_80~89세","2022년01월_여_거주자_90~99세","2022년01월_여_거주자_100세 이상"
"전라북도 임실군 (4575000000)","26,574","26,574","1,265","1,555","1,877","1,786","2,610","4,485","5,239","4,159","3,110","471","17","13,598","13,598","651","828","1,108","976","1,573","2,567","2,851","1,889","1,038","114","3","12,976","12,976","614","727","769","810","1,037","1,918","2,388","2,270","2,072","357","14"
"전라북도 임실군 임실읍(4575025000)","7,273","7,273","648","722","665","755","1,012","1,079","1,040","751","517","84","0","3,686","3,686","338","375","376","404","550","596","530","337","165","15","0","3,587","3,587","310","347","289","351","462","483","510","414","352","69","0"
"전라북도 임실군 청웅면(4575031000)","1,252","1,252","27","47","65","47","114","205","251","252","212","31","1","630","630","11","23","43","25","80","122","140","109","68","8","1","622","622","16","24","22","22","34","83","111","143","144","23","0"
"전라북도 임실군 운암면(4575032000)","1,580","1,580","51","52","95","85","133","304","413","253","163","30","1","830","830","24","35","50","42","79","176","230","127","57","10","0","750","750","27","17","45","43","54","128","183","126","106","20","1"
"전라북도 임실군 신평면(4575033000)","1,425","1,425","50","59","92","90","107","216","323","267","193","25","3","733","733","21","38","59","52","72","119","177","125","65","5","0","692","692","29","21","33","38","35","97","146","142","128","20","3"
"전라북도 임실군 성수면(4575034000)","1,639","1,639","44","76","87","77","135","275","354","306","251","33","1","854","854","23","46","58","49","87","151","206","135","90","9","0","785","785","21","30","29","28","48","124","148","171","161","24","1"
"전라북도 임실군 오수면(4575035500)","3,538","3,538","101","199","247","200","317","587","775","584","457","70","1","1,789","1,789","60","116","149","112","187","336","400","262","146","21","0","1,749","1,749","41","83","98","88","130","251","375","322","311","49","1"
"전라북도 임실군 신덕면(4575036000)","1,303","1,303","44","40","85","63","107","222","284","237","190","30","1","682","682","23","16","54","35","66","140","170","104","67","6","1","621","621","21","24","31","28","41","82","114","133","123","24","0"
"전라북도 임실군 삼계면(4575037000)","1,470","1,470","39","51","70","59","103","237","313","303","250","45","0","748","748","20","26","41","32","71","141","171","150","90","6","0","722","722","19","25","29","27","32","96","142","153","160","39","0"
"전라북도 임실군 관촌면(4575038000)","3,228","3,228","146","154","228","217","270","619","671","515","355","50","3","1,655","1,655","77","72","131","114","168","362","355","243","115","18","0","1,573","1,573","69","82","97","103","102","257","316","272","240","32","3"
"전라북도 임실군 강진면(4575039000)","1,490","1,490","36","54","125","62","140","302","305","251","186","27","2","788","788","18","33","76","42","101","173","175","106","59","5","0","702","702","18","21","49","20","39","129","130","145","127","22","2"
"전라북도 임실군 덕치면(4575040000)","1,186","1,186","28","49","65","64","78","233","267","227","158","13","4","605","605","9","22","35","36","51","142","153","97","57","2","1","581","581","19","27","30","28","27","91","114","130","101","11","3"
"전라북도 임실군 지사면(4575041000)","1,190","1,190","51","52","53","67","94","206","243","213","178","33","0","598","598","27","26","36","33","61","109","144","94","59","9","0","592","592","24","26","17","34","33","97","99","119","119","24","0"
